Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
OBIO-610-600,11,3,0,0,0,14,3.785,0,0,0,0,0,14,SVOBODA K
OBIO-611-600,22,9,0,0,0,31,3.709,1,0,0,0,0,32,BUSCHANG P
OBIO-630-600,16,2,1,0,0,19,3.714,0,0,0,0,0,19,RUEST L
OBIO-631-600,24,0,0,0,0,24,4.000,0,0,0,0,0,24,RUEST L
OBIO-674-600,8,0,0,0,0,8,4.000,0,0,0,0,0,8,NEWMAN J
OBIO-677-600,7,0,0,0,0,7,4.000,0,0,0,0,0,7,SVOBODA K
OBIO-687-600,7,0,0,0,0,7,4.000,0,0,0,0,0,7,SVOBODA K
DEPARTMENT TOTAL:,95,14,1,0,0,110,3.845,1,0,0,0,0,111,
DDHS-3110-500,22,8,0,0,0,30,3.733,0,0,0,0,0,30,FOX E
DDHS-3120-500,19,13,1,0,0,33,3.545,0,0,0,0,0,33,FOX E
DDHS-3160-500,20,10,0,0,0,30,3.666,0,0,0,0,0,30,WYATT L
DDHS-3250-500,8,17,2,4,2,33,2.757,0,0,0,0,0,33,LU Y
DDHS-3425-500,7,19,4,0,0,30,3.100,0,0,0,0,0,30,COTTER J
DDHS-4015-500,21,7,0,0,0,28,3.750,0,0,0,0,0,28,ABRAHAM C
DDHS-4025-500,11,14,2,1,0,28,3.250,0,0,0,0,0,28,WRIGHT J
DDHS-4140-500,23,5,0,0,0,28,3.821,0,0,0,0,0,28,VU M
DDHS-4210-500,27,1,0,0,0,28,3.964,0,0,0,0,0,28,COBB S
DDHS-4410-500,28,0,0,0,0,28,4.000,0,0,0,0,0,28,CAMPBELL P
DDHS-4610-500,13,15,0,0,0,28,3.464,0,0,0,0,0,28,ABRAHAM C
DDHS-4620-500,3,23,2,0,0,28,3.035,0,0,0,0,0,28,MUZZIN K
DDHS-4715-500,22,6,0,0,0,28,3.785,0,0,0,0,0,28,KABANI F
DEPARTMENT TOTAL:,224,138,11,5,2,380,3.422,0,0,0,0,0,380,
AEGD-601-600,9,0,0,0,0,9,0.000,0,0,0,0,0,9,ZANDINEJAD A
AEGD-606-600,9,0,0,0,0,9,4.000,0,0,0,0,0,9,ZANDINEJAD A
AEGD-607-600,9,0,0,0,0,9,4.000,0,0,0,0,0,9,ZANDINEJAD A
AEGD-611-600,9,0,0,0,0,9,4.000,0,0,0,0,0,9,ZANDINEJAD A
AEGD-614-600,9,0,0,0,0,9,4.000,0,0,0,0,0,9,ZANDINEJAD A
AEGD-616-600,9,0,0,0,0,9,4.000,0,0,0,0,0,9,ZANDINEJAD A
AEGD-619-600,9,0,0,0,0,9,4.000,0,0,0,0,0,9,ZANDINEJAD A
DEPARTMENT TOTAL:,63,0,0,0,0,63,4.000,0,0,0,0,0,63,
OMFS-610-600,13,0,0,0,0,13,4.000,0,0,0,0,0,13,HENDERSON B
OMFS-650-600,9,0,0,0,0,9,4.000,0,0,0,0,0,9,REDDY L
DEPARTMENT TOTAL:,22,0,0,0,0,22,4.000,0,0,0,0,0,22,
ORTH-601-600,6,0,0,0,0,6,0.000,0,0,0,0,0,6,POLSON J
ORTH-602-600,6,0,0,0,0,6,0.000,0,0,0,0,0,6,POLSON J
ORTH-603-601,6,0,0,0,0,6,0.000,0,0,0,0,0,6,POLSON J
ORTH-606-600,6,0,0,0,0,6,0.000,0,0,0,0,0,6,TADLOCK L
ORTH-608-600,6,0,0,0,0,6,0.000,0,0,0,0,0,6,TADLOCK L
ORTH-610-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,TADLOCK L
ORTH-613-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,BUSCHANG P
ORTH-614-600,6,0,0,0,0,6,0.000,0,0,0,0,0,6,ADAMS T
ORTH-616-600,6,0,0,0,0,6,0.000,0,0,0,0,0,6,ADAMS T
ORTH-618-600,6,0,0,0,0,6,0.000,0,0,0,0,0,6,ADAMS T
ORTH-622-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,TADLOCK L
ORTH-625-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,TADLOCK L
ORTH-628-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,TADLOCK L
ORTH-630-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,TADLOCK L
ORTH-635-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,BUSCHANG P
ORTH-638-600,5,1,0,0,0,6,3.833,0,0,0,0,0,6,BUSCHANG P
ORTH-640-600,2,4,0,0,0,6,3.333,0,0,0,0,0,6,TADLOCK L
ORTH-642-600,3,3,0,0,0,6,3.500,0,0,0,0,0,6,TADLOCK L
ORTH-648-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,JULIEN K
ORTH-651-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,JULIEN K
ORTH-654-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,JULIEN K
DEPARTMENT TOTAL:,118,8,0,0,0,126,3.954,0,0,0,0,0,126,
PEDD-612-600,11,0,0,0,0,11,4.000,0,0,0,0,0,11,KERINS C
PEDD-615-600,10,0,0,0,0,10,4.000,0,0,0,0,0,10,KERINS C
PEDD-622-600,11,0,0,0,0,11,4.000,0,0,0,0,0,11,KERINS C
PEDD-625-600,10,0,0,0,0,10,4.000,0,0,0,0,0,10,KERINS C
PERI-650-600,7,0,0,0,0,7,4.000,0,0,0,0,0,7,STENBERG W
DEPARTMENT TOTAL:,7,0,0,0,0,7,4.000,0,0,0,0,0,7,
COLLEGE TOTAL:,571,160,12,5,2,750,3.626,1,0,0,0,0,751,
