Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
BUSH-602-600,15,6,3,0,3,27,0.000,0,0,0,0,3,30,RAISOR C
BUSH-631-601,19,5,0,0,0,24,3.791,0,0,0,0,0,24,CORTES K
BUSH-631-602,18,1,2,0,0,21,3.761,0,0,0,0,0,21,CORTES K
BUSH-631-603,11,4,1,1,0,17,3.470,0,0,0,2,0,19,LAHEY J
BUSH-631-604,6,7,0,0,0,13,3.461,0,0,0,1,0,14,LAHEY J
BUSH-631-605,16,9,0,0,0,25,3.640,0,0,0,0,0,25,LENZ E
BUSH-631-606,26,3,0,0,0,29,3.896,0,0,0,0,0,29,LENZ E
BUSH-631-700,16,1,0,0,1,18,3.722,0,0,0,0,0,18,BULLOCK J
INTA-601-601,19,6,1,0,0,26,3.692,0,0,0,0,0,26,CREAN J
INTA-603-601,5,3,0,0,0,8,3.625,0,0,0,0,0,8,NAPPER L
INTA-603-602,1,7,0,0,0,8,3.125,0,0,0,0,0,8,NAPPER L
INTA-603-603,5,3,0,0,0,8,3.625,0,0,0,0,0,8,NAPPER L
INTA-604-600,9,4,0,0,0,13,3.692,0,0,0,1,0,14,TABAAR M
INTA-605-600,11,6,3,0,0,20,3.400,1,0,0,0,0,21,MAYBORN W
INTA-605-601,8,10,0,0,1,19,3.263,1,0,0,0,0,20,CESARIO B
INTA-605-700,6,5,1,0,0,12,3.416,0,0,0,0,0,12,TALBOT B
INTA-606-601,16,7,0,0,0,23,3.695,0,0,0,0,2,25,HERMANN C
INTA-606-602,10,16,0,0,0,26,3.384,0,0,0,0,0,26,SCHUESSLER J
INTA-606-603,25,0,0,0,0,25,4.000,0,0,0,0,0,25,MARIN THORNTON G
INTA-606-604,6,10,0,0,0,16,3.375,0,0,0,0,0,16,ROSS A
INTA-608-600,13,15,0,0,0,28,3.464,1,0,0,0,0,29,MU R
INTA-608-601,26,9,1,0,0,36,3.694,0,0,0,0,0,36,ROBERTSON R
INTA-609-600,17,6,1,0,0,24,3.666,0,0,0,1,1,26,SIEVERT R
INTA-612-600,12,6,1,0,1,20,3.400,0,0,0,0,0,20,SIEVERT R
INTA-616-600,6,0,1,0,0,7,3.714,0,0,0,0,0,7,MU R
INTA-620-600,7,1,0,0,0,8,3.875,0,0,0,0,0,8,MAYBORN W
INTA-635-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,NATSIOS A
INTA-637-600,5,2,0,0,0,7,3.714,0,0,0,0,0,7,GOTTLIEB J
INTA-642-600,7,5,0,0,0,12,3.583,0,0,0,0,0,12,GOTTLIEB J
INTA-643-600,7,7,0,0,0,14,3.500,1,0,0,0,0,15,HAMIE C
INTA-645-600,20,1,0,0,0,21,3.952,2,0,0,0,0,23,HUDSON V
INTA-646-600,8,3,1,0,0,12,3.583,0,0,0,0,0,12,HUDSON V
INTA-648-600,14,5,0,0,0,19,3.736,0,0,0,0,0,19,HUANG R
INTA-651-700,12,3,0,0,1,16,3.562,0,0,0,1,0,17,RUSSELL R
INTA-652-600,12,12,0,0,0,24,3.500,0,0,0,0,0,24,OLSON J
