Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
CHEM-101-200,4,5,3,0,0,12,3.083,0,0,0,0,0,12,GALAN J
CHEM-101-401,5,24,24,18,3,74,2.135,1,0,0,7,0,82,TOWNSEND G
CHEM-101-402,10,10,12,10,8,50,2.080,0,0,0,8,0,58,ARONSON C
CHEM-101-403,2,8,19,8,7,44,1.772,0,0,0,7,0,51,ARONSON C
CHEM-102-401,7,4,7,11,5,34,1.911,0,0,0,2,0,36,GALAN J
CHEM-107-401,6,25,16,12,5,64,2.234,0,0,0,3,0,67,NAIR R
CHEM-107-402,7,24,21,9,4,65,2.323,0,0,0,4,0,69,NAIR R
CHEM-107-403,9,31,16,7,1,64,2.625,0,0,0,3,0,67,NAIR R
CHEM-107-404,7,24,19,14,1,65,2.338,0,0,0,3,1,69,ULLOA O
CHEM-107-405,6,40,33,15,3,97,2.319,0,0,0,2,0,99,TOWNSEND G
CHEM-107-406,8,12,13,8,6,47,2.170,0,0,0,5,0,52,ARONSON C
CHEM-111-200,5,5,1,1,0,12,3.166,0,0,0,0,0,12,TOWNSEND G
CHEM-111-401,1,4,1,3,2,11,1.909,0,0,0,0,0,11,TOWNSEND G
CHEM-111-402,4,5,2,0,3,14,2.500,0,0,0,0,0,14,TOWNSEND G
CHEM-111-404,10,5,3,0,0,18,3.388,0,0,0,0,0,18,TOWNSEND G
CHEM-111-405,7,6,2,1,0,16,3.187,0,0,0,0,0,16,TOWNSEND G
CHEM-111-406,7,4,5,1,1,18,2.833,0,0,0,1,0,19,TOWNSEND G
CHEM-111-407,5,6,3,2,1,17,2.705,0,0,0,0,0,17,TOWNSEND G
CHEM-111-408,6,6,1,0,0,13,3.384,0,0,0,0,0,13,TOWNSEND G
CHEM-111-410,3,7,1,2,1,14,2.642,0,0,0,0,0,14,TOWNSEND G
CHEM-111-411,3,8,4,0,1,16,2.750,0,0,0,0,0,16,TOWNSEND G
CHEM-111-412,3,11,1,0,1,16,2.937,1,0,0,0,0,17,TOWNSEND G
CHEM-111-413,10,5,2,0,0,17,3.470,0,0,0,0,0,17,TOWNSEND G
CHEM-112-401,4,5,1,2,1,13,2.692,0,0,0,0,0,13,TOWNSEND G
CHEM-112-403,2,9,2,2,1,16,2.562,0,0,0,0,0,16,TOWNSEND G
CHEM-117-401,5,9,2,0,0,16,3.187,0,0,0,1,0,17,TOWNSEND G
CHEM-117-402,4,9,2,2,2,19,2.578,0,0,0,0,0,19,TOWNSEND G
CHEM-117-403,4,8,3,1,0,16,2.937,0,0,0,0,0,16,TOWNSEND G
CHEM-117-404,2,8,4,2,2,18,2.333,0,0,0,0,0,18,TOWNSEND G
CHEM-117-405,0,7,4,4,3,18,1.833,0,0,0,0,0,18,TOWNSEND G
CHEM-117-406,5,4,5,3,0,17,2.647,0,0,0,0,0,17,TOWNSEND G
CHEM-117-407,5,8,1,2,0,16,3.000,0,0,0,0,0,16,TOWNSEND G
CHEM-117-408,5,6,2,1,2,16,2.687,0,0,0,0,0,16,TOWNSEND G
CHEM-117-409,5,7,4,1,1,18,2.777,0,0,0,0,0,18,TOWNSEND G
CHEM-117-410,2,8,3,4,2,19,2.210,0,0,0,0,0,19,TOWNSEND G
CHEM-117-411,0,10,7,1,0,18,2.500,0,0,0,0,0,18,TOWNSEND G
CHEM-117-412,3,7,4,1,2,17,2.470,0,0,0,0,0,17,TOWNSEND G
CHEM-117-413,0,7,3,3,3,16,1.875,0,0,0,0,0,16,TOWNSEND G
CHEM-117-416,3,6,2,6,0,17,2.352,0,0,0,0,0,17,TOWNSEND G
CHEM-117-418,4,8,2,1,2,17,2.647,0,0,0,0,0,17,TOWNSEND G
CHEM-117-419,0,5,8,4,0,17,2.058,0,0,0,0,0,17,TOWNSEND G
CHEM-117-420,0,7,9,0,2,18,2.166,0,0,0,0,0,18,TOWNSEND G
CHEM-117-421,1,10,5,2,2,20,2.300,0,0,0,0,0,20,TOWNSEND G
CHEM-117-424,1,10,3,2,2,18,2.333,0,0,0,0,0,18,TOWNSEND G
CHEM-117-425,4,7,3,3,1,18,2.555,0,0,0,0,0,18,TOWNSEND G
CHEM-117-426,1,5,4,2,5,17,1.705,0,0,0,0,0,17,TOWNSEND G
CHEM-117-427,6,2,8,1,0,17,2.764,0,0,0,0,0,17,TOWNSEND G
CHEM-117-428,9,7,0,0,1,17,3.352,0,0,0,0,0,17,TOWNSEND G
