Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
AERS-101-502,38,8,0,0,0,46,3.826,0,0,0,0,0,46,SILVA H
AERS-101-503,27,15,0,0,0,42,3.642,0,0,0,0,0,42,SILVA H
AERS-101-504,34,11,0,0,0,45,3.755,0,0,0,0,0,45,SILVA H
AERS-101-505,34,9,1,0,0,44,3.750,0,0,0,0,0,44,SILVA H
AERS-101-507,42,4,0,0,0,46,3.913,0,0,0,1,1,48,SILVA H
AERS-101-508,23,3,0,0,0,26,3.884,0,0,0,1,0,27,SILVA H
AERS-101-509,24,0,0,0,0,24,4.000,0,0,0,0,0,24,SILVA H
AERS-105-501,86,0,0,0,0,86,4.000,0,0,0,1,1,88,PETTIT B
AERS-105-502,98,0,0,0,1,99,3.959,0,0,0,0,0,99,PETTIT B
AERS-105-503,87,0,0,0,0,87,4.000,0,0,0,0,0,87,PETTIT B
AERS-105-504,44,0,0,0,0,44,4.000,0,0,0,0,0,44,PETTIT B
AERS-105-505,29,0,0,0,1,30,3.866,0,0,0,0,0,30,PETTIT B
AERS-105-506,102,0,0,0,1,103,3.961,0,0,0,1,0,104,PETTIT B
AERS-105-507,51,0,0,0,0,51,4.000,0,0,0,1,0,52,PETTIT B
AERS-105-508,81,0,0,0,0,81,4.000,0,0,0,0,0,81,PETTIT B
AERS-105-509,33,0,0,0,0,33,4.000,0,0,0,0,0,33,PETTIT B
AERS-105-510,15,0,0,0,0,15,4.000,0,0,0,0,0,15,PETTIT B
AERS-201-501,28,6,0,0,0,34,3.823,0,0,0,0,0,34,TATER C
AERS-201-502,27,7,0,0,0,34,3.794,0,0,0,0,0,34,TATER C
AERS-201-503,27,11,0,0,0,38,3.710,0,0,0,0,0,38,TATER C
AERS-201-505,27,8,0,0,0,35,3.771,0,0,0,0,0,35,TATER C
AERS-201-506,26,7,0,0,0,33,3.787,0,0,0,0,0,33,TATER C
AERS-201-507,25,5,0,0,1,31,3.709,0,0,0,0,0,31,TATER C
AERS-201-510,34,3,0,0,0,37,3.918,0,0,0,0,0,37,TATER C
AERS-303-501,15,6,2,0,0,23,3.565,0,0,0,0,0,23,STANTON J
AERS-303-502,17,1,0,1,0,19,3.789,0,0,0,0,0,19,STANTON J
AERS-303-503,20,1,0,0,0,21,3.952,0,0,0,0,0,21,STANTON J
AERS-303-504,19,1,1,0,0,21,3.857,0,0,0,0,0,21,STANTON J
AERS-403-501,24,4,0,0,0,28,3.857,0,0,0,0,0,28,COLLINS T
AERS-403-502,24,2,0,0,0,26,3.923,0,0,0,0,0,26,COLLINS T
AERS-403-504,25,2,0,0,0,27,3.925,0,0,0,0,0,27,COLLINS T
AERS-485-500,28,0,0,0,0,28,4.000,0,0,0,0,0,28,COHN W
SOMS-111-501,24,8,4,2,0,38,3.421,0,0,0,1,0,39,QUIN C
