Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
VMID-925-301,37,75,20,2,0,134,3.097,0,0,0,0,0,134,GRIFFIN J
VMID-935-301,130,4,0,0,0,134,3.970,0,0,0,0,0,134,STICKNEY M
DEPARTMENT TOTAL:,167,79,20,2,0,268,3.679,0,0,0,0,0,268,
VIBS-910-301,24,72,37,7,8,148,2.655,0,0,0,0,0,148,HOFFMAN A
VIBS-911-301,68,73,7,0,0,148,3.412,0,0,0,0,0,148,KNEESE D
VIBS-928-300,79,54,4,0,0,137,3.547,0,0,0,0,0,137,BUDKE C
VIBS-936-301,147,1,0,0,0,148,3.993,0,0,0,0,0,148,VEMULAPALLI T
VLCS-948-302,40,0,0,0,0,40,4.000,0,0,0,0,0,40,DOMINGUEZ B
VLCS-948-330,11,0,0,0,0,11,4.000,0,0,0,0,0,11,HARDY J
VLCS-948-331,10,0,0,0,0,10,4.000,0,0,0,0,0,10,HARDY J
VLCS-948-352,15,0,0,0,0,15,4.000,0,0,0,0,0,15,HARDY J
VLCS-948-356,41,0,0,0,0,41,4.000,0,0,0,0,0,41,BISSETT W
VLCS-953-301,66,0,0,0,0,66,4.000,0,0,0,0,0,66,EASTERWOOD L
VLCS-954-301,37,79,18,0,0,134,3.141,0,0,0,0,0,134,WASHBURN K
VTPP-910-301,69,56,17,3,3,148,3.250,0,0,0,0,0,148,STEWART R
VTPP-914-301,80,66,1,0,0,147,3.537,1,0,0,0,0,148,BLUE MCLENDON A
VTPP-924-300,52,74,11,0,0,137,3.299,0,0,0,0,0,137,FAJT V
VTPP-948-302,9,2,0,0,0,11,3.818,0,0,0,0,0,11,FAJT V
VTPP-948-303,7,0,0,0,0,7,4.000,0,0,0,0,0,7,FAJT V
VTPP-948-314,21,0,0,0,0,21,4.000,0,0,0,0,0,21,BAILEY E
VTPP-948-315,20,0,0,0,0,20,4.000,0,0,0,0,0,20,BAILEY E
VTPP-948-316,10,0,0,0,0,10,4.000,0,0,0,0,0,10,BAILEY E
VTPP-948-317,22,0,0,0,0,22,4.000,0,0,0,0,0,22,BAILEY E
VTPP-948-345,10,0,0,0,0,10,4.000,0,0,0,0,0,10,BLUE MCLENDON A
DEPARTMENT TOTAL:,300,198,29,3,3,533,3.369,1,0,0,0,0,534
VSCS-910-301,65,78,5,0,0,148,3.405,0,0,0,0,0,148,ECKMAN S
VSCS-926-300,56,55,0,0,0,111,3.504,26,0,0,0,0,137,SCALLAN E
VSCS-948-301,85,1,0,0,0,86,3.988,0,0,0,0,0,86,HEATLEY J
VSCS-948-302,74,2,0,0,0,76,3.973,0,0,0,0,0,76,DAVIDSON J
VSCS-948-303,19,11,0,0,0,30,3.633,0,0,0,0,0,30,CORNELL K
VSCS-948-311,56,3,0,0,0,59,3.949,0,0,0,0,0,59,WILSON-ROBLES H
VSCS-948-318,78,3,0,0,0,81,3.962,0,0,0,0,0,81,DIESEL A
VSCS-948-325,99,0,0,0,0,99,4.000,0,0,0,0,0,99,SAUNDERS A
VSCS-948-329,22,2,0,0,0,24,3.916,0,0,0,0,0,24,HEATLEY J
VSCS-948-333,6,0,0,0,0,6,4.000,0,0,0,0,0,6,BEAVER B
VSCS-948-340,29,0,0,0,0,29,4.000,0,0,0,0,0,29,BARTON C
VSCS-953-301,60,8,0,0,0,68,3.882,0,0,0,0,0,68,ECKMAN S
VSCS-954-301,91,43,0,0,0,134,3.679,0,0,0,0,0,134,BARTON C
DEPARTMENT TOTAL:,740,206,5,0,0,951,3.669,26,0,0,0,0,977,
VTPB-910-301,56,66,22,2,2,148,3.162,0,0,0,0,0,148,VALMULAPALLI R
VTPB-923-300,50,68,19,0,0,137,3.226,0,0,0,0,0,137,PORTER B
VTPB-927-300,63,65,9,0,0,137,3.394,0,0,0,0,0,137,RUSSELL K
VTPB-930-300,89,48,0,0,0,137,3.649,0,0,0,0,0,137,LAWHON S
VTPB-948-302,31,0,0,0,0,31,4.000,0,0,0,0,0,31,COOK W
VTPB-948-321,29,0,0,0,0,29,4.000,0,0,0,0,0,29,COOK W
VTPB-948-322,40,0,0,0,0,40,4.000,0,0,0,0,0,40,JOHNSON M
VTPB-948-323,7,7,1,0,0,15,3.400,0,0,0,0,0,15,COOK W
DEPARTMENT TOTAL:,365,254,51,2,2,674,3.424,0,0,0,0,0,674
COLLEGE TOTAL:,2110,1016,171,14,13,3324,3.454,27,0,0,0,0,3351
