Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
ACCT-209-501,85,157,114,30,16,402,2.659,0,0,0,37,0,439,CLARKE M
ACCT-209-502,68,143,158,31,10,410,2.556,0,0,0,47,0,457,CLARKE M
ACCT-209-503,0,2,7,2,0,11,2.000,0,0,0,3,0,14,CLARKE M
ACCT-210-501,36,64,45,12,18,175,2.502,0,0,0,20,0,195,STRAWSER R
ACCT-229-202,10,13,1,0,0,24,3.375,0,0,0,0,0,24,STRAWSER J
ACCT-229-501,10,8,9,11,0,38,2.447,0,0,0,3,0,41,BARRETT J
ACCT-229-502,9,8,10,11,1,39,2.333,0,0,0,4,0,43,BARRETT J
ACCT-229-503,11,9,15,9,1,45,2.444,0,0,0,9,1,55,BARRETT J
ACCT-229-504,16,19,14,15,0,64,2.562,0,0,0,12,0,76,KNOOP J
ACCT-229-505,18,18,15,9,4,64,2.578,0,0,0,11,0,75,KNOOP J
ACCT-229-506,6,11,14,5,0,36,2.500,0,0,0,9,0,45,ARNOSKY C
ACCT-229-507,6,6,12,7,1,32,2.281,0,0,0,6,0,38,ARNOSKY C
ACCT-229-509,4,14,10,10,2,40,2.200,0,0,0,18,0,58,ARNOSKY C
ACCT-229-510,5,10,4,5,2,26,2.423,0,0,0,9,0,35,HEAD M
ACCT-229-511,3,10,13,5,0,31,2.354,0,0,0,3,0,34,ZHAO W
ACCT-229-512,8,4,7,5,3,27,2.333,0,0,0,5,0,32,TORI E
ACCT-230-200,13,8,3,1,0,25,3.320,0,0,0,4,0,29,MCGOWAN A
ACCT-230-201,25,3,2,0,0,30,3.766,0,0,0,0,0,30,STRAWSER R
ACCT-230-500,72,80,43,15,1,211,2.981,0,0,0,6,0,217,ALLEN N
ACCT-230-501,5,11,15,8,4,43,2.116,0,0,0,10,0,53,ALLEN N
ACCT-230-502,61,76,50,16,1,204,2.882,0,0,0,14,0,218,ALLEN N
ACCT-327-501,9,10,6,1,0,26,3.038,1,0,0,8,0,35,BLASOR T
ACCT-327-502,8,15,5,1,0,29,3.034,0,0,0,3,0,32,BLASOR T
ACCT-327-503,10,10,5,3,1,29,2.862,0,0,0,5,0,34,BLASOR T
ACCT-327-504,7,12,9,0,2,30,2.733,0,0,0,3,0,33,LARKIN R
ACCT-327-505,11,13,5,1,0,30,3.133,0,0,0,5,0,35,LARKIN R
ACCT-327-506,1,10,13,1,0,25,2.440,0,0,0,7,0,32,LARKIN R
ACCT-327-507,5,18,7,0,1,31,2.838,0,0,0,2,0,33,LARKIN R
ACCT-327-508,7,12,11,1,0,31,2.806,1,0,0,2,0,34,LOUDDER M
ACCT-327-509,5,16,7,2,0,30,2.800,0,0,0,1,0,31,SHARP N
ACCT-327-510,5,22,5,3,0,35,2.828,0,0,0,2,0,37,SHARP N
ACCT-327-511,8,13,7,3,1,32,2.750,0,0,0,3,0,35,CLINE K
ACCT-327-512,11,12,3,3,1,30,2.966,0,0,0,6,0,36,CLINE K
ACCT-327-516,6,10,13,1,0,30,2.700,0,0,0,3,0,33,CLINE K
ACCT-328-500,14,11,4,1,2,32,3.062,0,0,0,6,0,38,KOLASINSKI A
ACCT-328-501,16,8,10,2,0,36,3.055,0,0,0,7,0,43,RHODES A
ACCT-328-502,16,19,6,0,1,42,3.166,0,0,0,1,0,43,RHODES A
ACCT-328-503,17,17,7,1,0,42,3.190,0,0,0,2,0,44,RHODES A
ACCT-328-504,14,19,8,1,0,42,3.095,0,0,0,1,0,43,GROSSMAN S
ACCT-328-505,14,20,4,2,2,42,3.000,0,0,0,1,0,43,GROSSMAN S
ACCT-328-506,17,21,0,3,0,41,3.268,0,0,0,1,0,42,GROSSMAN S
ACCT-328-509,14,18,5,0,0,37,3.243,0,0,0,5,0,42,SHAFRON E
ACCT-328-510,19,9,10,3,0,41,3.073,0,0,0,1,0,42,SHAFRON E
ACCT-329-501,102,29,5,0,0,136,3.713,0,0,0,1,0,137,FARMER K
ACCT-403-500,2,2,2,0,0,6,3.000,0,0,0,0,0,6,MILLER K
ACCT-405-501,11,40,6,0,1,58,3.034,0,0,0,1,0,59,LASSILA D
ACCT-407-901,12,14,5,0,0,31,3.225,0,0,0,0,0,31,EGE M
ACCT-407-902,18,10,3,0,1,32,3.375,0,0,0,0,0,32,EGE M
ACCT-407-903,5,20,4,1,0,30,2.966,0,0,0,0,0,30,EGE M
ACCT-407-904,9,19,3,0,0,31,3.193,0,0,0,0,0,31,GARZA B
ACCT-407-905,15,12,4,0,0,31,3.354,0,0,0,0,0,31,GARZA B
ACCT-407-906,7,18,3,1,0,29,3.068,0,0,0,0,0,29,GARZA B
ACCT-407-907,11,15,4,0,0,30,3.233,0,0,0,1,0,31,SHAUB M
ACCT-407-908,4,12,11,1,0,28,2.678,0,0,0,0,0,28,FLAGG J
ACCT-408-500,16,18,1,1,0,36,3.361,0,0,0,0,0,36,BLASOR T
ACCT-410-500,18,1,0,0,0,19,3.947,0,0,0,0,0,19,HEAD M
ACCT-421-930,42,2,0,0,0,44,3.954,0,0,0,0,0,44,STASNY M
ACCT-421-931,40,0,0,0,0,40,4.000,0,0,0,0,0,40,STASNY M
ACCT-421-932,40,0,0,0,0,40,4.000,0,0,0,0,0,40,STASNY M
ACCT-427-501,11,10,8,0,1,30,3.000,0,0,0,0,0,30,DIAZ M
ACCT-427-502,3,17,4,2,0,26,2.807,1,0,0,2,0,29,DIAZ M
ACCT-447-501,3,5,1,0,0,9,3.222,0,0,0,2,0,11,REDMAN K
ACCT-447-502,2,5,1,0,0,8,3.125,0,0,0,1,0,9,REDMAN K
ACCT-447-503,5,0,0,0,0,5,4.000,0,0,0,0,0,5,WEAVER A
ACCT-450-500,8,1,1,0,0,10,3.700,0,0,0,0,0,10,HEAD M
ACCT-603-600,10,8,3,0,0,21,3.333,0,0,0,1,0,22,MILLER K
ACCT-607-600,15,11,0,0,0,26,3.576,0,0,0,0,0,26,FLAGG J
ACCT-610-601,11,20,0,0,0,31,3.354,0,0,0,0,0,31,RICE S
ACCT-610-602,15,13,1,0,0,29,3.482,0,0,0,0,0,29,RICE S
ACCT-610-661,34,17,2,0,0,53,3.603,0,0,0,0,0,53,MCANALLY M
ACCT-611-602,9,15,0,0,0,24,3.375,0,0,0,0,0,24,HEPFER B
