Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
AERO-201-200,11,13,3,0,0,27,3.296,0,0,0,0,0,27,SHRYOCK K
AERO-201-201,5,18,5,0,0,28,3.000,0,0,0,0,0,28,SHRYOCK K
AERO-201-500,5,29,10,1,0,45,2.844,0,0,0,0,0,45,SHRYOCK K
AERO-201-501,11,12,8,0,0,31,3.096,0,0,0,1,0,32,VALASEK J
AERO-201-502,6,15,12,0,0,33,2.818,0,0,0,0,0,33,VALASEK J
AERO-201-503,8,19,3,0,0,30,3.166,0,0,0,0,0,30,VALASEK J
AERO-211-200,19,3,1,0,0,23,3.782,0,0,0,0,0,23,MOBLE B
AERO-211-201,11,10,4,1,0,26,3.192,0,0,0,1,0,27,MAJJI M
AERO-211-500,15,7,1,0,0,23,3.608,0,0,0,0,0,23,MOBLE B
AERO-211-501,20,21,3,0,0,44,3.386,0,0,0,1,0,45,MOBLE B
AERO-211-502,10,5,3,2,0,20,3.150,0,0,0,1,0,21,MAJJI M
AERO-211-503,6,23,10,7,0,46,2.608,0,0,0,0,0,46,MAJJI M
AERO-211-504,8,14,13,4,1,40,2.600,0,0,0,1,0,41,VADALI S
AERO-212-234,4,1,0,0,0,5,3.800,0,0,0,0,0,5,KARPETIS A
AERO-212-500,10,11,10,2,2,35,2.714,0,0,0,3,0,38,KARPETIS A
AERO-214-200,3,1,1,0,0,5,3.400,0,0,0,0,0,5,NARAGHI M
AERO-214-500,10,11,16,5,1,43,2.558,0,0,0,7,0,50,NARAGHI M
AERO-214-550,7,5,0,0,0,12,3.583,0,0,0,0,0,12,TALREJA R
AERO-222-500,8,1,0,0,0,9,3.888,0,0,0,0,0,9,MORTARI D
AERO-291-541,5,0,0,0,0,5,4.000,0,0,0,0,0,5,DIAZ ARTILES A
AERO-301-200,12,8,3,0,0,23,3.391,0,0,0,0,0,23,GERAKIS A
AERO-301-500,17,13,8,1,0,39,3.179,0,0,0,0,0,39,GERAKIS A
AERO-301-501,21,28,9,2,0,60,3.133,0,0,0,1,0,61,TROPINA A
AERO-301-502,7,14,8,2,2,33,2.666,1,0,0,2,0,36,TROPINA A
AERO-303-500,9,26,5,4,1,45,2.844,0,0,0,1,0,46,REED H
AERO-304-200,9,3,0,0,0,12,3.750,0,0,0,0,0,12,KINRA V
AERO-304-500,12,24,9,0,1,46,3.000,0,0,0,4,0,50,KINRA V
AERO-304-501,3,14,29,8,2,56,2.142,2,0,0,1,0,59,BENZERGA A
AERO-306-500,11,15,19,8,1,54,2.500,0,0,0,8,0,62,WHITCOMB J
AERO-306-501,5,4,5,3,0,17,2.647,0,0,0,2,0,19,WHITCOMB J
AERO-310-500,55,17,0,2,0,74,3.689,0,0,0,2,0,76,BHATTACHARYA R
AERO-310-501,13,28,8,1,0,50,3.060,0,0,0,7,0,57,CHAKRAVORTY S
AERO-321-500,8,26,18,5,3,60,2.516,0,0,0,5,0,65,VADALI S
AERO-351-500,2,9,25,10,3,49,1.938,0,0,0,2,0,51,CIZMAS P
AERO-351-550,5,0,1,0,0,6,3.666,0,0,0,0,0,6,KARPETIS A
AERO-401-501,47,0,0,0,0,47,4.000,0,0,0,0,0,47,VALASEK J
AERO-401-502,40,0,0,0,0,40,4.000,0,0,0,0,0,40,VALASEK J
AERO-402-501,23,0,0,0,0,23,4.000,0,0,0,0,0,23,ELMENDORF H
AERO-402-502,8,4,0,0,0,12,3.666,1,0,0,0,0,13,POLLOCK T
AERO-402-503,21,1,0,0,0,22,3.954,0,0,0,0,0,22,CHAMITOFF G
AERO-405-500,12,16,0,0,0,28,3.428,0,0,0,2,0,30,HARTL D
AERO-413-501,12,22,19,3,0,56,2.767,0,0,0,1,0,57,BOYD J
AERO-413-550,5,2,0,0,0,7,3.714,0,0,0,0,0,7,TALREJA R
AERO-419-500,18,14,0,0,0,32,3.562,0,0,0,1,0,33,KARPETIS A
AERO-420-500,11,9,3,0,0,23,3.347,0,0,0,0,0,23,STRGANAC T
AERO-422-500,30,33,9,0,0,72,3.291,0,0,0,0,0,72,DAS N
AERO-423-500,33,28,13,2,0,76,3.210,0,0,0,3,0,79,ALFRIEND K
AERO-426-500,47,6,2,1,0,56,3.767,0,0,0,0,0,56,CHAMITOFF G
AERO-430-500,21,7,1,0,0,29,3.689,0,0,0,0,0,29,STROUBOULIS T
AERO-435-500,6,8,1,0,0,15,3.333,0,0,0,1,0,16,LIMBACH C
AERO-452-500,15,29,26,2,0,72,2.791,1,0,0,1,0,74,DONZIS D
AERO-455-500,15,7,0,0,0,22,3.681,0,0,0,0,0,22,MOBLE B
AERO-472-500,40,9,1,0,1,51,3.705,0,0,0,1,0,52,WHITE E
AERO-485-503,9,14,11,2,0,36,2.833,0,0,0,0,0,36,MORTARI D
AERO-485-506,22,0,0,0,0,22,4.000,0,0,0,0,0,22,TICHENOR N
AERO-485-507,16,3,0,1,0,20,3.700,0,0,0,0,0,20,TICHENOR N
AERO-485-508,13,4,1,0,2,20,3.300,0,0,0,0,0,20,TICHENOR N
AERO-485-509,19,1,0,0,0,20,3.950,0,0,0,0,0,20,TICHENOR N
AERO-485-510,14,0,2,0,0,16,3.750,0,0,0,0,0,16,TICHENOR N
AERO-485-511,21,1,0,0,0,22,3.954,0,0,0,0,0,22,TICHENOR N
AERO-485-550,7,1,0,0,0,8,3.875,0,0,0,0,0,8,KARPETIS A
AERO-601-600,16,7,0,0,0,23,3.695,0,0,0,0,0,23,WHITE E
AERO-603-600,14,16,0,0,1,31,3.354,2,0,0,2,0,35,BOYD J
AERO-604-600,9,1,0,0,0,10,3.900,0,0,0,1,0,11,HARTL D
AERO-622-600,17,24,5,0,0,46,3.260,0,0,0,1,0,47,DEMARS K
AERO-626-600,14,5,0,0,0,19,3.736,1,0,0,0,1,21,CHAKRAVORTY S
AERO-676-600,14,5,0,0,0,19,3.736,0,0,0,1,0,20,LIMBACH C
AERO-689-600,12,1,0,0,0,13,3.923,1,0,0,0,0,14,MAJJI M
AERO-689-601,5,5,0,0,0,10,3.500,0,0,0,0,0,10,ANDRIENKO D
AERO-689-602,7,0,0,0,0,7,4.000,0,0,0,0,0,7,WITHERDEN F
MEMA-602-600,1,5,0,0,0,6,3.166,1,0,0,2,0,9,BOYD J
MEMA-646-600,12,1,0,0,0,13,3.923,0,0,0,1,0,14,STROUBOULIS T
BMEN-101-200,17,0,1,0,0,18,3.888,0,0,0,0,0,18,PEAK C
BMEN-101-201,18,1,0,0,0,19,3.947,0,0,0,0,0,19,PEAK C
BMEN-101-500,54,7,2,0,1,64,3.765,0,0,0,0,0,64,PEAK C
BMEN-101-501,56,8,0,0,0,64,3.875,0,0,0,0,0,64,PEAK C
BMEN-207-200,13,2,0,0,0,15,3.866,0,0,0,0,0,15,KELLER B
BMEN-207-201,12,0,0,0,0,12,4.000,0,0,0,0,0,12,KELLER B
BMEN-207-500,42,13,1,0,0,56,3.732,0,0,0,3,0,59,KELLER B
BMEN-207-501,49,11,1,0,0,61,3.786,0,0,0,2,0,63,KELLER B
