Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
ANTH-201-501,12,15,17,5,6,55,2.400,0,1,0,5,0,61,ALVARD M
ANTH-201-502,9,16,8,1,2,36,2.805,0,0,0,0,0,36,ANDERSON M
ANTH-201-599,9,19,24,9,2,63,2.380,1,0,0,9,0,73,BRYANT V
ANTH-202-501,4,18,23,5,0,50,2.420,3,0,0,5,0,58,THOMS A
ANTH-204-500,34,49,22,0,1,106,3.084,0,0,0,6,0,112,PRATT J
ANTH-205-501,27,54,37,3,1,122,2.844,0,0,0,0,0,122,VIEIRA DE CASTRO L
ANTH-205-502,19,69,25,5,1,119,2.840,0,0,0,5,0,124,VIEIRA DE CASTRO L
ANTH-205-503,48,43,25,3,1,120,3.116,0,1,0,2,0,123,LYNCH D
ANTH-205-504,51,48,15,6,3,123,3.121,0,0,0,2,0,125,LYNCH D
ANTH-205-505,33,17,1,1,0,52,3.576,0,0,0,1,0,53,YOUNG J
ANTH-205-506,35,13,2,0,3,53,3.452,0,0,0,0,0,53,JOHNSON T
ANTH-205-508,65,10,7,0,2,84,3.619,0,0,0,0,0,84,MATHENY R
ANTH-205-512,21,21,4,2,1,49,3.204,0,0,0,1,0,50,GAUTHIER-BERUBE M
ANTH-205-513,22,24,6,6,2,60,2.966,0,0,0,7,0,67,BURKE A
ANTH-205-599,9,40,24,11,4,88,2.443,0,1,0,34,1,124,BRYANT V
ANTH-210-501,25,53,18,4,2,102,2.931,0,0,0,0,0,102,WINKING J
ANTH-210-502,37,12,4,0,0,53,3.622,0,0,0,1,0,54,FARRAR J
ANTH-225-500,8,23,16,14,1,62,2.370,0,0,0,5,1,68,ANDERSON M
ANTH-226-501,15,1,2,0,0,18,3.722,0,0,0,0,0,18,IZZO V
ANTH-226-502,11,5,1,0,0,17,3.588,0,0,0,0,0,17,GANDARILLA M
ANTH-229-500,6,11,7,1,0,25,2.880,0,0,0,1,0,26,GREEN T
ANTH-300-500,12,5,1,0,1,19,3.421,0,0,0,0,0,19,LYNCH D
ANTH-304-500,13,0,0,0,0,13,4.000,0,0,0,0,0,13,GRAF K
ANTH-305-900,5,7,1,0,1,14,3.071,0,0,0,1,0,15,LINDERHOLM A
ANTH-313-500,9,5,3,0,0,17,3.352,0,0,0,0,0,17,BENDIG C
ANTH-324-200,7,1,0,0,0,8,3.875,0,0,0,0,0,8,REGAN M
ANTH-340-500,8,12,6,0,2,28,2.857,0,0,0,2,0,30,GREEN T
ANTH-370-501,16,14,9,3,2,44,2.886,0,0,0,0,0,44,LAPORTE C
ANTH-410-500,10,12,3,0,2,27,3.037,0,0,0,1,0,28,LAPORTE C
ANTH-412-900,10,9,2,0,0,21,3.380,1,0,0,0,0,22,GOEBEL F
ANTH-415-900,3,6,5,1,0,15,2.733,1,0,0,0,0,16,WHITE J
ANTH-419-500,0,4,3,0,1,8,2.250,0,0,0,6,0,14,THOMS A
ANTH-421-500,11,3,2,0,0,16,3.562,0,0,0,0,0,16,THAKAR H
ANTH-435-500,8,12,4,1,1,26,2.961,0,0,0,0,0,26,HOPKINS A
ANTH-437-500,13,7,0,0,1,21,3.476,0,0,0,0,0,21,HOPKINS A
ANTH-458-500,1,2,4,1,2,10,1.900,0,0,0,1,0,11,WINKING J
ANTH-484-501,7,0,0,0,0,7,4.000,0,0,0,0,0,7,THAKAR H
ANTH-601-600,9,2,1,0,0,12,3.666,0,0,0,0,0,12,GURSKY S
ANTH-603-600,3,3,0,0,0,6,3.500,0,0,0,0,0,6,CRISMAN K
ANTH-605-600,4,5,0,0,0,9,3.444,0,0,0,0,0,9,HAMILTON D
ANTH-611-600,4,3,0,0,0,7,3.571,0,0,0,0,0,7,PULAK C
ANTH-613-600,6,3,0,0,0,9,3.666,0,0,0,0,0,9,CARLSON D
ANTH-615-600,4,3,0,0,0,7,3.571,0,0,0,0,0,7,PULAK C
ANTH-617-600,2,2,1,0,0,5,3.200,0,0,0,0,0,5,DOSTAL C
ANTH-627-600,5,0,0,0,0,5,4.000,0,0,0,0,0,5,WRIGHT L
ANTH-652-600,7,0,0,0,0,7,4.000,0,0,0,0,0,7,WATERS M
ANTH-670-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,GURSKY S
ANTH-672-600,10,0,0,0,0,10,4.000,0,0,0,0,0,10,LINDERHOLM A
AFST-201-501,24,8,0,0,3,35,3.428,0,0,0,0,0,35,LAWO-SUKAM A
AFST-300-500,0,3,2,0,0,5,2.600,0,0,0,0,0,5,BROUSSARD A
AFST-303-500,0,3,1,0,1,5,2.200,0,0,0,0,0,5,CARTER-SOWELL A
AFST-317-501,1,3,1,0,1,6,2.500,0,0,0,1,0,7,DURAN R
AFST-317-502,8,4,1,0,1,14,3.285,0,0,0,0,0,14,MOORE W
AFST-339-500,1,2,1,0,1,5,2.400,0,0,0,0,0,5,TUHKANEN M
AFST-425-900,2,4,1,0,1,8,2.750,0,0,0,1,0,9,POIROT K
FILM-215-500,16,21,10,0,0,47,3.127,0,0,0,3,0,50,CECCHINI F
FILM-251-501,37,10,4,0,2,53,3.509,0,0,0,1,0,54,SIMMS M
FILM-251-502,12,6,3,0,0,21,3.428,0,0,0,1,0,22,SIMMS M
FILM-251-503,3,2,0,0,0,5,3.600,0,0,0,0,0,5,EMBREE D
