Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
ENGR-689-305,0,0,0,0,25,4.000,0,0,0,0,25,SEARS N
DEPARTMENT TOTAL:,0,0,0,0,25,4.000,0,0,0,0,25,
COLLEGE TOTAL:,0,0,0,0,25,4.000,0,0,0,0,25,
IMED-800-35D,3,9,0,0,12,3.250,0,0,0,0,12,PIERATT W
IMED-800-35H,2,7,0,0,9,3.222,0,0,0,1,10,PIERATT W
IMED-800-35R,3,4,0,0,7,3.428,0,0,0,0,7,PIERATT W
IMED-800-35T,0,5,0,0,5,3.000,0,0,0,0,5,PIERATT W
IMED-800-36D,2,10,0,0,12,3.166,0,0,0,0,12,PIERATT W
IMED-800-36H,4,5,0,0,9,3.444,0,0,0,0,9,PIERATT W
IMED-800-36R,2,4,0,1,7,2.857,0,0,0,0,7,PIERATT W
MEID-605-300,15,82,0,0,97,3.154,1,0,0,0,98,CHICO D
MEID-605-301,1,24,0,0,25,2.923,0,0,0,0,25,PETERSON T
MEID-606-300,15,82,0,1,98,3.122,0,0,0,0,98,MAXWELL S
MEID-606-301,4,21,0,0,25,3.160,0,0,0,0,25,PETERSON T
SECTION,H,P,F/P,F,,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
MEID-607-300,15,82,0,0,,97,3.154,0,0,0,1,98,CHEN W
MEID-607-301,3,22,0,0,,25,3.000,0,0,0,0,25,CHEN W
MEID-619-301,4,22,0,0,,26,3.153,0,0,0,0,26,WATSON P
MEID-619-30B,15,79,0,0,,94,3.159,3,0,0,0,97,WATSON P
MEID-701-300,9,52,0,0,,61,3.147,0,0,0,0,61,CANNADAY R
MEID-701-301,5,39,0,0,,44,3.113,0,0,0,0,44,CANNADAY R
MEID-701-303,5,20,0,0,,25,3.200,0,0,0,0,25,CANNADAY R
MEID-704-300,8,52,1,0,,61,3.098,0,0,0,0,61,JONES K
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
MEID-704-301,6,36,2,0,44,3.045,0,0,0,0,44,JONES K
MEID-704-302,5,20,0,0,25,3.200,0,0,0,0,25,JONES K
MEID-706-300,9,52,0,0,61,3.147,0,0,0,0,61,GLASER S
MEID-706-301,7,37,0,0,44,3.159,0,0,0,0,44,GLASER S
MEID-706-303,4,21,0,0,25,3.160,0,0,0,0,25,GLASER S
MEID-707-300,11,48,1,1,61,3.098,0,0,0,0,61,BRANDT P
MEID-707-301,5,39,0,0,44,3.113,0,0,0,0,44,BRANDT P
MEID-707-303,4,20,1,0,25,3.080,0,0,0,0,25,BRANDT P
MEID-708-300,9,51,0,0,60,3.150,1,0,0,0,61,MEININGER C
MEID-708-301,8,37,0,0,45,3.177,0,0,0,0,45,MEININGER C
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
MEID-708-303,3,21,0,0,24,3.125,0,0,0,0,24,MEININGER C
MEID-712-30B,15,45,0,0,60,3.250,0,0,0,0,60,HOLLAND P
MEID-712-30D,5,39,0,0,44,3.113,0,0,0,0,44,HOLLAND P
MEID-712-30T,3,22,0,0,25,3.120,0,0,0,0,25,HOLLAND P
MEID-750-30R,5,23,0,0,28,3.178,0,0,0,0,28,JINADATHA C
MFCM-800-35D,2,3,0,0,5,3.400,0,0,0,0,5,VIA R
MFCM-800-35H,2,3,0,0,5,3.400,0,0,0,0,5,VIA R
MFCM-800-36H,4,2,0,0,6,3.666,0,0,0,0,6,VIA R
MFCM-800-37D,0,6,0,0,6,3.000,0,0,0,0,6,VIA R
MFCM-800-37T,1,4,0,0,5,3.200,0,0,0,0,5,VIA R
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
MFCM-800-38T,2,3,0,0,5,3.400,0,0,0,0,5,VIA R
MPED-800-35T,2,3,0,0,5,3.400,0,0,0,0,5,PARR J
MPED-800-36D,1,4,0,0,5,3.200,0,0,0,1,6,PARR J
MPED-800-36H,2,3,0,0,5,3.400,0,0,0,0,5,PARR J
MPED-800-38D,3,4,0,0,7,3.428,0,0,0,0,7,PARR J
MPED-800-38H,1,5,0,0,6,3.166,0,0,0,0,6,PARR J
MPSY-800-35H,1,5,0,0,6,3.166,0,0,0,0,6,MCLAUGHLIN D
MPSY-800-36D,0,5,0,0,5,3.000,0,0,0,0,5,MCLAUGHLIN D
MPSY-800-36H,1,5,0,0,6,3.166,0,0,0,0,6,MCLAUGHLIN D
MPSY-800-37T,0,5,0,0,5,3.000,1,0,0,0,6,MCLAUGHLIN D
MPSY-800-38D,2,4,0,0,6,3.333,0,0,0,0,6,MCLAUGHLIN D
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
MPSY-800-38H,1,4,0,0,5,3.200,0,0,0,0,5,MCLAUGHLIN D
MPSY-800-38T,1,4,0,0,5,3.200,0,0,0,0,5,MCLAUGHLIN D
MRAD-800-30D,24,20,0,0,44,3.545,0,0,0,2,46,PHILIP J
MRAD-800-30H,26,10,0,0,36,3.722,0,0,0,3,39,PHILIP J
MRAD-800-30R,5,6,0,0,11,3.454,0,0,0,2,13,PHILIP J
MRAD-800-30T,20,29,0,0,49,3.408,0,0,0,0,49,PHILIP J
OBGY-800-35D,0,5,0,0,5,3.000,0,0,0,1,6,BROWNING A
OBGY-800-36D,1,4,0,0,5,3.200,0,0,0,0,5,BROWNING A
OBGY-800-36H,1,4,0,0,5,3.200,0,0,0,1,6,BROWNING A
OBGY-800-36T,1,4,0,0,5,3.200,0,0,0,0,5,BROWNING A
OBGY-800-37D,4,3,0,0,7,3.571,0,0,0,0,7,BROWNING A
