Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
AGCJ-105-501,28,14,5,0,1,48,3.416,0,0,0,0,0,48,BAKER C
AGCJ-105-502,27,10,0,0,0,37,3.729,0,0,0,0,0,37,BAKER C
AGCJ-281-500,54,11,3,2,3,73,3.520,0,0,0,1,0,74,DUNSFORD D
AGCJ-305-599,31,25,8,1,2,67,3.223,0,0,0,1,0,68,PARRELLA J
AGCJ-307-599,19,10,2,0,1,32,3.437,0,0,0,1,0,33,TOPP K
AGCJ-308-501,23,6,0,0,1,30,3.666,0,0,0,0,0,30,REDWINE T
AGCJ-312-501,16,12,6,3,4,41,2.804,0,0,0,0,0,41,MCGRATH P
AGCJ-313-901,4,10,0,0,0,14,3.285,0,0,0,1,0,15,LEGGETTE H
AGCJ-313-902,2,10,1,0,0,13,3.076,0,0,0,2,0,15,LEGGETTE H
AGCJ-314-901,10,4,1,0,0,15,3.600,0,0,0,0,0,15,REDWINE T
AGCJ-314-902,13,6,1,0,0,20,3.600,0,0,0,0,0,20,REDWINE T
AGCJ-366-501,11,3,0,1,0,15,3.600,0,0,0,0,0,15,MCKIM B
AGCJ-404-500,13,0,0,0,0,13,4.000,0,0,0,0,0,13,DUNSFORD D
AGCJ-405-501,20,0,0,0,0,20,4.000,0,0,0,0,0,20,REDWINE T
AGCJ-406-500,19,11,1,0,1,32,3.468,0,0,0,0,0,32,DUNSFORD D
AGCJ-408-700,5,13,5,0,0,23,3.000,0,0,0,0,0,23,WEGENER R
AGCJ-411-500,7,8,2,2,1,20,2.900,0,0,0,2,0,22,MCKIM B
AGCJ-413-500,16,3,3,0,2,24,3.291,0,0,0,0,0,24,HOMEYER M
AGCJ-494-556,4,2,1,0,0,7,3.300,0,0,0,0,0,7,DUNSFORD D
AGSC-302-900,8,2,3,0,0,13,3.384,0,0,0,0,0,13,SHEEHAN C
AGSC-373-500,14,2,0,0,0,16,3.875,0,0,0,0,0,16,HANCOCK J
AGSC-383-501,12,4,0,0,0,16,3.750,0,0,0,0,0,16,HANCOCK J
AGSC-402-900,7,3,1,0,0,11,3.545,0,0,0,0,0,11,MOORE L
AGSC-405-500,6,2,3,0,0,11,3.272,0,0,0,0,0,11,MURPHY T
AGSC-425-502,9,3,0,0,0,12,3.750,0,0,0,0,0,12,MURPHY T
AGSC-436-502,9,3,0,0,0,12,3.750,0,0,0,0,0,12,MURPHY T
AGSC-481-501,12,0,0,0,0,12,4.000,0,0,0,0,0,12,MURPHY T
AGSC-484-501,7,5,0,0,0,12,3.583,0,0,0,0,0,12,MURPHY T
ALEC-350-500,15,12,0,0,0,27,3.555,0,0,0,0,0,27,ELLIOT J
ALEC-425-700,19,6,2,0,2,29,3.379,0,0,0,0,0,29,ELBERT C
ALEC-608-699,8,0,0,0,0,8,4.000,0,0,0,0,0,8,BOYD B
ALEC-610-600,15,0,0,0,0,15,4.000,0,0,0,0,0,15,DOOLEY K
ALEC-610-699,3,2,0,0,0,5,3.600,0,0,0,0,0,5,MOORE L
ALEC-610-700,8,0,1,0,1,10,3.400,0,0,0,0,0,10,MOORE L
ALEC-613-699,7,0,0,0,0,7,4.000,0,0,0,0,0,7,MURPHREY T
ALEC-615-601,15,1,0,0,1,17,3.705,0,0,0,0,0,17,BRIERS G
ALEC-623-699,5,0,0,0,0,5,4.000,0,0,0,0,0,5,MURPHREY T
ALEC-624-600,3,3,0,0,0,6,3.500,1,0,0,0,0,7,PINA M
ALEC-640-600,7,2,0,0,0,9,3.777,0,0,0,0,0,9,STRONG R
ALEC-695-600,16,3,0,0,0,19,3.842,0,0,0,0,0,19,STRONG R
ALEC-695-699,0,3,2,0,0,5,2.600,0,0,0,0,0,5,WINGENBACH G
ALEC-695-700,3,2,0,0,1,6,3.000,1,0,0,2,0,9,WINGENBACH G
ALED-125-500,18,0,0,0,0,18,4.000,0,0,0,0,0,18,MASTROGIOVANNI M
ALED-125-501,7,0,0,0,0,7,4.000,0,0,0,0,0,7,MASTROGIOVANNI M
ALED-202-501,45,18,3,1,1,68,3.544,0,0,0,0,0,68,MASTROGIOVANNI M
