Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
ARCH-205-902,11,5,3,0,0,19,3.421,0,0,0,1,0,20,CATAO CARTAXO
ARCH-205-903,19,0,0,0,0,19,4.000,0,0,0,0,0,19,ESQUIVEL J
ARCH-205-904,4,12,2,0,0,18,3.111,0,0,0,0,0,18,HAWKINS A
ARCH-205-905,13,3,3,0,0,19,3.526,0,0,0,0,0,19,DE LIMA VAZ XAVIER
ARCH-205-906,8,9,2,0,0,19,3.315,1,0,0,0,0,20,LOUIE J
ARCH-205-907,15,4,0,0,0,19,3.789,0,0,0,1,0,20,LUTZ S
ARCH-212-500,79,58,10,0,0,147,3.469,0,0,0,0,0,147,ZHU X
ARCH-212-700,30,8,8,0,1,47,3.404,0,0,0,0,0,47,LU Z
ARCH-216-501,11,9,0,0,0,20,3.550,0,0,0,4,0,24,GAYK M
ARCH-221-500,6,4,3,0,1,14,3.000,0,0,0,0,0,14,KLEIN N
ARCH-246-500,10,3,0,0,0,13,3.769,0,0,0,0,0,13,JAIN P
ARCH-249-200,4,0,1,0,0,5,3.600,0,0,0,1,0,6,GLOWACKI K
ARCH-249-201,9,1,0,0,0,10,3.900,0,0,0,0,0,10,CAFFEY S
ARCH-249-501,6,6,2,1,0,15,3.133,0,0,0,0,0,15,GLOWACKI K
ARCH-249-502,76,56,14,1,4,151,3.317,0,0,0,0,0,151,GLOWACKI K
ARCH-249-503,11,2,0,0,0,13,3.846,0,0,0,0,0,13,CAFFEY S
ARCH-249-504,78,3,4,0,0,85,3.870,0,0,0,0,0,85,CAFFEY S
ARCH-249-700,80,9,5,0,1,95,3.757,0,0,0,2,0,97,CAFFEY S
ARCH-250-200,4,0,1,0,0,5,3.600,0,0,0,0,0,5,KLEIN N
ARCH-250-201,6,0,1,0,1,8,3.250,0,0,0,0,0,8,STEWART Z
ARCH-250-501,12,2,1,0,0,15,3.733,0,0,0,0,0,15,KLEIN N
ARCH-250-502,69,20,7,2,0,98,3.591,0,0,0,0,0,98,KLEIN N
ARCH-250-503,3,6,4,1,0,14,2.785,0,0,0,1,0,15,STEWART Z
ARCH-250-504,35,27,9,3,4,78,3.102,0,0,0,3,0,81,STEWART Z
ARCH-250-700,68,21,6,1,1,97,3.587,0,0,0,2,0,99,CAMPAGNOL G
ARCH-250-701,63,22,11,1,1,98,3.479,0,0,0,1,0,99,CAMPAGNOL G
ARCH-305-931,16,2,0,0,0,18,3.888,0,0,0,0,0,18,ALI A
ARCH-305-932,14,4,0,0,0,18,3.777,0,0,0,0,0,18,CATAO CARTAXO
ARCH-305-933,9,0,0,0,0,9,4.000,0,0,0,0,0,9,ERMINY M
ARCH-305-934,14,1,0,0,0,15,3.933,0,0,0,0,1,16,MANN G
ARCH-305-935,13,2,0,0,1,16,3.625,0,0,0,0,0,16,STEWART K
ARCH-317-500,14,1,0,0,0,15,3.933,1,0,0,0,0,16,ESQUIVEL J
ARCH-330-200,8,0,0,0,0,8,4.000,0,0,0,0,0,8,OBRIEN M
ARCH-330-500,47,46,8,3,0,104,3.317,0,0,0,0,0,104,OBRIEN M
ARCH-331-500,10,38,25,4,1,78,2.666,1,0,0,3,1,83,NICHOLS A
ARCH-335-500,41,37,10,4,0,92,3.250,0,0,0,0,0,92,HABERL J
ARCH-350-500,47,40,15,2,1,105,3.238,0,0,0,1,0,106,CAMPAGNOL G
ARCH-350-700,30,22,8,2,1,63,3.238,0,0,0,0,0,63,BIEBER S
ARCH-353-500,24,1,0,0,0,25,3.960,0,0,0,1,0,26,ESQUIVEL J
ARCH-381-500,26,0,1,0,0,27,3.925,0,0,0,1,0,28,CLAYTON M
ARCH-405-201,9,2,1,0,0,12,3.666,0,0,0,0,0,12,OBRIEN M
ARCH-405-500,18,0,0,0,0,18,4.000,0,0,0,0,0,18,CLAYTON M
ARCH-405-501,16,4,0,0,0,20,3.800,1,0,0,0,0,21,ERMINY M
ARCH-405-502,11,3,2,0,0,16,3.562,0,0,0,0,0,16,TRIPP A
ARCH-405-503,16,2,2,0,0,20,3.700,0,0,0,0,0,20,AITANI K
ARCH-405-504,8,9,0,0,0,17,3.470,0,0,0,0,0,17,LUTZ S
ARCH-413-500,8,1,1,0,0,10,3.700,0,0,0,0,0,10,TATE J
ARCH-421-500,12,1,0,0,1,14,3.642,1,0,0,1,0,16,CULP C
ARCH-431-201,2,7,3,0,0,12,2.916,0,0,0,0,0,12,NICHOLS A
ARCH-431-501,5,7,8,0,0,20,2.850,1,0,0,0,0,21,NICHOLS A
ARCH-431-503,3,14,3,0,0,20,3.000,0,0,0,0,0,20,NICHOLS A
ARCH-435-201,11,0,0,0,1,12,3.666,0,0,0,0,0,12,CULP C
ARCH-435-501,15,0,5,0,0,20,3.500,1,0,0,0,0,21,BALTAZAR CERVANTES
ARCH-435-503,19,1,0,0,0,20,3.950,0,0,0,0,0,20,BELTRAN L
ARCH-458-200,6,0,0,0,0,6,4.000,0,0,0,0,0,6,HILL R
ARCH-458-500,127,4,1,0,0,132,3.954,0,0,0,0,0,132,HILL R
ARCH-601-600,8,6,0,0,0,14,3.571,1,0,0,0,0,15,HE W
ARCH-605-601,5,4,0,0,0,9,3.555,0,0,0,0,0,9,ESQUIVEL J
ARCH-605-602,6,2,0,0,0,8,3.750,0,0,0,0,0,8,LU Z
ARCH-605-603,5,3,1,0,0,9,3.444,0,0,0,0,0,9,LOPEZ DINARDI M
ARCH-605-604,7,2,0,0,0,9,3.777,0,0,0,0,0,9,TATE J
ARCH-607-601,10,0,0,1,0,11,3.727,0,0,0,0,0,11,HOLLIDAY R
ARCH-607-602,7,3,1,0,0,11,3.545,0,0,0,0,0,11,HALIBURTON J
ARCH-610-600,8,6,0,0,0,14,3.571,1,0,0,0,0,15,HE W
ARCH-612-600,11,1,2,0,0,14,3.642,1,0,0,0,0,15,HOLLIDAY S
ARCH-628-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,BELTRAN L
ARCH-631-600,1,5,10,0,0,16,2.437,0,0,0,2,0,18,NICHOLS A
