Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
DDDS-601-300,54,0,35,0,14,0,3,106,3.292,0,0,0,0,106,SVOBODA K
DDDS-602-300,68,0,27,0,11,0,0,106,3.537,0,0,0,0,106,KESTERKE M
DDDS-614-300,39,0,56,0,8,0,0,103,3.300,3,0,0,0,106,CRAMER G
DDDS-701-300,67,0,33,0,3,0,0,103,3.621,0,0,0,0,103,REUBEN J
DDDS-716-300,75,0,23,0,1,0,0,99,3.747,4,0,0,0,103,ALLEN S
DDDS-717-300,67,0,22,0,0,0,0,89,3.752,14,0,0,0,103,ALLEN S
DDDS-721-300,96,0,7,0,0,0,0,103,3.932,0,0,0,0,103,HENNESSY B
DDDS-7270-301,1,0,4,0,1,0,0,6,3.000,0,0,0,0,6,REGAN D
DDDS-731-300,80,0,24,0,1,0,0,105,3.752,0,0,0,0,105,GONZALEZ M
DDDS-741-300,81,0,22,0,0,0,0,103,3.786,0,0,0,0,103,GONZALEZ M
DDDS-742-300,105,0,0,0,0,0,0,105,4.000,0,0,0,0,105,ELLIS M
DDDS-8060-300,44,0,53,0,6,0,1,104,3.336,0,0,0,1,105,SCHWEITZER J
DDDS-8080-300,38,0,51,0,10,0,6,105,3.095,0,0,0,0,105,ROTHMAN STOLER A
DDDS-8140-300,23,0,22,0,1,0,0,46,3.478,59,0,0,0,105,TIMOTHE P
DDDS-8220-300,71,0,32,0,2,0,0,105,3.657,0,0,0,0,105,CRAMER G
DDDS-8240-300,37,0,44,0,14,0,9,104,2.961,0,0,0,1,105,GONZALEZ M
DDDS-8280-300,85,0,19,0,0,0,0,104,3.817,1,0,0,0,105,WOO V
DDDS-8360-301,0,0,4,0,1,0,0,5,2.800,0,0,0,0,5,REGAN D
DDDS-8370-300,103,0,2,0,0,0,0,105,3.980,0,0,0,0,105,SIMONS P
DDDS-8380-300,34,0,56,0,12,0,2,104,3.153,1,0,0,0,105,REUBEN J
DDDS-8400-300,44,0,50,0,5,0,1,100,3.360,5,0,0,0,105,ALLEN S
DDDS-8500-300,75,0,27,0,0,0,2,104,3.663,1,0,0,0,105,GONZALEZ M
DDDS-8610-300,66,0,28,0,4,0,7,105,3.390,0,0,0,0,105,REGAN D
DDDS-8610-301,4,0,3,0,0,0,0,7,3.571,0,0,0,0,7,REGAN D
DDDS-9070-300,44,0,51,0,7,0,0,102,3.362,0,0,0,0,102,TAYLOR R
DDDS-9090-300,60,0,37,0,1,0,0,98,3.602,4,0,0,0,102,MCWHORTER A
DDDS-9110-300,69,0,20,0,13,0,0,102,3.549,0,0,0,0,102,REUBEN J
DDDS-9190-300,89,0,13,0,0,0,0,102,3.872,0,0,0,0,102,PATEL P
DDDS-9230-300,32,0,52,0,17,0,1,102,3.117,0,0,0,0,102,GLICKMAN G
DEPARTMENT TOTAL:,1651,0,817,0,132,0,32,2632,3.584,92,0,0,2,2726
COLLEGE TOTAL:,1651,0,817,0,132,0,32,2632,3.584,92,0,0,2,2726
EDHP-633-700,7,0,1,0,0,0,0,8,3.875,0,0,0,0,9,ARNOLD S
DEPARTMENT TOTAL:,7,0,1,0,0,0,0,8,3.875,0,0,0,0,9,
COLLEGE TOTAL:,7,0,1,0,0,0,0,8,3.875,0,0,0,0,9,
