Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
EDHP-630-700,13,1,0,0,0,14,3.928,0,0,0,0,0,14,ARNOLD S
HCPI-655-700,8,1,0,0,0,9,3.888,0,0,0,0,0,9,MIRANDA M
MPHY-624-601,19,1,0,0,0,20,3.950,0,0,0,0,0,20,VANBUREN V
MPHY-624-602,7,2,0,0,0,9,3.777,0,0,0,0,0,9,VANBUREN V
MPIM-663-600,7,5,0,0,0,12,3.583,0,0,0,1,0,13,WILSON V
MSCI-601-601,13,3,0,0,0,16,3.812,0,0,0,0,0,16,CHAKRABORTY S
MSCI-605-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,WANG H
MSCI-609-305,10,0,0,0,0,10,4.000,0,0,0,0,0,10,WILSON V
MSCI-609-600,29,0,0,0,0,29,4.000,0,0,0,0,0,29,WILSON V
MSCI-689-601,5,0,0,0,0,5,4.000,0,0,0,0,0,5,CHAKRABORTY S
MSCI-689-604,15,0,0,0,0,15,4.000,0,0,0,0,0,15,HETTEMA J
DEPARTMENT TOTAL:,132,13,0,0,0,145,3.883,0,0,0,1,0,146
COLLEGE TOTAL:,132,13,0,0,0,145,3.883,0,0,0,1,0,146
