Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
PHEO-600-600,15,0,1,0,0,16,3.875,0,0,0,0,0,16,BENDEN M
PHEO-605-600,28,0,0,0,0,28,4.000,0,0,0,0,0,28,MCDONALD T
PHEO-613-700,7,0,0,0,0,7,4.000,0,0,0,0,0,7,CARRILLO G
PHEO-618-600,7,8,0,0,0,15,3.466,0,0,0,2,0,17,PICKENS A
PHEO-630-600,27,1,0,0,0,28,3.964,0,0,0,0,0,28,JOHNSON N
PHEO-676-699,7,0,0,0,0,7,4.000,0,0,0,0,0,7,SHARMA V
PHEO-678-600,16,2,0,1,0,19,3.736,0,0,0,0,0,19,BENDEN M
PHEO-682-600,8,5,0,0,0,13,3.615,0,0,0,0,0,13,BENDEN M
PHEO-689-600,10,3,0,0,0,13,3.769,0,0,0,0,0,13,PERES C
DEPARTMENT TOTAL:,125,19,1,1,0,146,3.837,0,0,0,2,0,148,
PHEB-602-600,10,12,2,0,0,24,3.333,0,0,0,0,0,24,HAN G
PHEB-602-699,4,10,4,0,0,18,3.000,0,0,0,0,0,18,HAN G
PHEB-602-700,8,13,9,0,0,30,2.966,0,0,0,0,0,30,HAN G
PHEB-605-600,19,1,0,0,0,20,3.950,0,0,0,0,0,20,GORMAN D
PHEB-605-700,6,8,1,0,0,15,3.333,0,0,0,1,0,16,XU X
PHEB-609-699,28,7,1,0,0,36,3.750,0,0,0,1,0,37,ZHENG Q
PHEB-609-700,5,8,2,0,0,15,3.200,0,0,0,0,0,15,ZHENG Q
PHEB-610-600,26,10,1,0,0,37,3.675,0,0,0,0,0,37,DUPONT-REYES M
PHEB-610-700,17,2,0,0,0,19,3.894,0,0,0,0,0,19,ROH T
PHEB-618-600,19,1,0,0,0,20,3.950,0,0,0,0,0,20,HAN D
PHEB-619-600,24,0,0,0,0,24,4.000,0,0,0,1,1,26,FISCHER R
PHEB-619-700,22,0,0,0,0,22,4.000,0,0,0,0,0,22,ZANWAR P
PHEB-620-600,2,4,1,0,0,7,3.142,0,0,0,0,0,7,TAYLOR N
PHEB-689-600,16,0,0,0,0,16,4.000,0,0,0,0,0,16,MADDOCK J
PHPM-601-699,39,0,0,0,0,39,4.000,0,0,0,0,0,39,RAMIREZ G
PHPM-602-600,20,6,0,0,0,26,3.769,0,0,0,0,0,26,COTE M
PHPM-604-600,14,0,0,0,0,14,4.000,0,0,0,0,0,14,MCDONALD T
PHPM-605-600,13,5,0,0,0,18,3.722,0,0,0,0,0,18,FERDINAND A
PHPM-606-600,28,0,0,0,0,28,4.000,0,0,0,0,0,28,TOMASZEWSKI L
PHPM-606-601,14,0,0,0,0,14,4.000,0,0,0,0,0,14,FISH J
PHPM-615-600,24,4,0,0,0,28,3.857,0,0,0,0,0,28,WASHBURN D
PHPM-616-600,27,0,0,0,0,27,4.000,0,0,0,0,0,27,TOMASZEWSKI L
PHPM-616-601,10,0,0,0,0,10,4.000,0,0,0,0,0,10,TOMASZEWSKI L
PHPM-620-600,11,15,0,0,0,26,3.423,0,0,0,0,0,26,COTE M
PHPM-620-601,10,0,0,0,0,10,4.000,0,0,0,0,0,10,COTE M
PHPM-623-600,28,0,0,0,0,28,4.000,0,0,0,0,1,29,FISH J
PHPM-633-600,13,2,0,0,0,15,3.866,0,0,0,0,0,15,FERDINAND A
PHPM-655-600,9,1,0,0,0,10,3.900,0,0,0,0,0,10,CALLAGHAN T
PHPM-661-600,23,19,1,0,0,43,3.511,0,0,0,0,0,43,RADCLIFF T
DEPARTMENT TOTAL:,283,52,1,0,0,336,3.846,0,0,0,0,1,337,
HPCH-604-600,9,0,0,0,0,9,4.000,0,0,0,0,0,9,COLWELL G
HPCH-607-699,7,0,1,0,0,8,3.750,0,0,0,0,0,8,TAI-SEALE T
HPCH-613-600,21,1,1,0,0,23,3.869,0,0,0,0,0,23,MA P
HPCH-625-600,15,0,0,0,0,15,4.000,0,0,0,0,0,15,CRUDO C
HPCH-635-600,16,0,0,0,0,16,4.000,0,0,0,0,0,16,BURDINE J
