Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
LAW-601-601,2,3,1,0,0,6,3.166,0,0,0,0,0,6,WELSH N
LAW-606-602,6,5,0,0,0,11,3.545,0,0,0,0,0,11,LUNNEY J
LAW-614-600,5,0,0,0,0,5,4.000,0,0,0,0,0,5,HENNING W
LAW-622-600,2,5,1,0,0,8,3.125,0,0,0,0,0,8,MARVIN E
LAW-667-700,29,1,0,0,0,30,3.966,1,0,0,0,0,31,BURGE M
LAW-689-600,21,3,0,0,2,26,3.576,1,0,0,0,0,27,HELGE K
LAW-689-601,17,9,1,0,0,27,3.592,0,0,0,0,0,27,KU C
LAW-689-609,10,0,0,0,0,10,4.000,0,0,0,0,0,10,BEASLEY J
LAW-689-610,5,0,0,0,0,5,4.000,0,0,0,0,0,5,TOPINKA J
LAW-689-611,8,1,0,0,0,9,3.888,0,0,0,0,0,9,TOPINKA J
LAW-689-612,6,3,0,0,0,9,3.666,0,0,0,0,0,9,KAPLAN M
LAW-689-701,6,2,1,0,0,9,3.555,0,0,0,0,0,9,SULLIVAN H
LAW-689-702,21,7,1,0,0,29,3.689,2,0,0,0,1,32,KISER J
LAW-689-703,21,11,1,0,0,33,3.606,0,0,0,2,0,35,PAULI C
LAW-689-704,21,8,0,0,0,29,3.724,0,0,0,1,1,31,BURGE M
LAW-689-705,18,13,5,1,0,37,3.297,1,0,0,0,0,38,BURT J
LAW-689-706,16,7,0,2,5,30,2.900,3,0,0,0,0,33,MAROUF F
LAW-689-707,35,0,0,0,0,35,4.000,0,0,0,0,0,35,SNYDER F
LAW-689-708,18,9,0,0,0,27,3.666,1,0,0,0,1,29,HELGE K
LAW-689-709,22,7,0,0,0,29,3.758,0,0,0,0,0,29,HELGE K
LAW-689-710,17,11,0,0,0,28,3.607,0,0,0,0,0,28,KU C
LAW-689-711,23,8,0,0,2,33,3.515,2,0,0,0,0,35,BROWN T
LAW-689-712,7,0,0,0,0,7,4.000,0,0,0,0,0,7,SRINIVASAN N
LAW-689-714,12,1,0,0,0,13,3.923,0,0,0,0,0,13,BYRNES W
LAW-689-715,17,0,0,0,0,17,4.000,0,0,0,1,0,18,BYRNES W
LAW-689-716,26,3,0,0,0,29,3.896,0,0,0,0,1,30,EMMERT W
LAW-689-717,9,1,0,0,0,10,3.900,0,0,0,0,0,10,BOKOBO S
LAW-689-718,27,2,0,0,0,29,3.931,1,0,0,0,0,30,DEWITTE P
LAW-689-719,12,1,0,0,0,13,3.923,0,0,0,0,0,13,BYRNES W
LAW-689-720,17,1,0,0,0,18,3.944,0,0,0,0,1,19,DEWITTE P
LAW-689-721,18,0,0,0,0,18,4.000,0,0,0,1,0,19,BYRNES W
LAW-689-722,16,9,0,0,2,27,3.370,0,0,0,0,0,27,DYE D
LAW-689-723,17,8,5,0,0,30,3.400,2,0,0,0,0,32,BURT J
LAW-706-700,17,4,0,0,2,23,3.478,0,0,0,0,0,23,NEWMAN N
LAW-772-700,39,0,0,0,0,39,4.000,0,0,0,1,0,40,KRAVITZ R
LAW-772-701,37,0,0,0,0,37,4.000,2,0,0,0,0,39,KRAVITZ R
LAW-773-700,27,9,0,1,2,39,3.487,1,0,0,0,0,40,MARKSON D
LAW-775-700,27,0,1,0,0,28,3.928,0,0,0,0,1,29,BRILL A
LAW-775-701,9,0,0,0,1,10,3.600,0,0,0,1,0,11,BRILL A
LAW-776-700,26,5,2,0,1,34,3.617,0,0,0,0,0,34,HARNESS N
LAW-777-700,25,0,0,0,0,25,4.000,0,0,0,1,3,29,HERZIG B
LAW-778-700,14,13,0,0,0,27,3.518,0,0,0,0,1,28,GUIORA A
LAW-778-701,9,7,0,0,1,17,3.352,0,0,0,0,0,17,GUIORA A
DEPARTMENT TOTAL:,737,177,19,4,18,955,3.676,17,0,0,8,10,990,
COLLEGE TOTAL:,737,177,19,4,18,955,3.676,17,0,0,8,10,990,
