Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
CEHD-603-600,9,1,0,0,0,10,3.900,0,0,0,0,0,10,GOODSON P
DEPARTMENT TOTAL:,9,1,0,0,0,10,3.900,0,0,0,0,0,10,
EDAD-601-601,14,1,0,0,0,15,3.933,0,0,0,1,0,16,HAYNES DAVISON C
EDAD-605-700,8,1,0,0,0,9,3.888,0,0,0,0,0,9,HOLLEY S
EDAD-606-700,9,0,0,0,0,9,4.000,0,0,0,0,0,9,FAHRENWALD C
EDAD-606-701,36,3,1,0,0,40,3.875,0,0,0,0,0,40,FAHRENWALD C
EDAD-608-700,6,3,1,0,0,10,3.500,0,0,0,0,0,10,SAAVEDRA A
EDAD-610-600,15,0,0,0,0,15,4.000,0,0,0,0,0,15,BROWN J
EDAD-611-600,12,4,0,0,0,16,3.750,4,0,0,0,0,20,MUSOBA G
EDAD-618-600,11,0,0,0,1,12,3.666,0,0,0,0,0,12,LECHUGA V
EDAD-623-600,15,0,0,0,0,15,4.000,0,0,0,0,0,15,ROUMELL E
EDAD-624-700,10,0,0,0,0,10,4.000,0,0,0,0,0,10,FAHRENWALD C
EDAD-631-600,14,0,0,0,0,14,4.000,0,0,0,0,0,14,MUSOBA G
EDAD-638-701,43,7,0,0,0,50,3.860,0,0,0,0,0,50,WEBB-JOHNSON G
EDAD-639-600,9,2,0,0,0,11,3.818,0,0,0,1,0,12,LECHUGA V
EDAD-639-601,12,1,0,0,0,13,3.923,0,0,0,1,0,14,JAMES GALLAWAY C
EDAD-639-700,19,0,0,0,0,19,4.000,0,0,0,0,0,19,FAHRENWALD C
EDAD-650-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,STANLEY C
EDAD-655-600,15,2,0,0,0,17,3.882,0,0,0,0,0,17,STANLEY C
EDAD-669-600,7,5,0,0,0,12,3.583,0,0,0,0,0,12,SALAZAR C
EDAD-683-600,8,0,0,0,0,8,4.000,0,0,0,0,0,8,BAILEY K
EDAD-689-601,13,1,0,0,0,14,3.928,0,0,0,0,0,14,MUSOBA G
EHRD-203-501,33,8,0,1,0,42,3.738,0,0,0,0,0,42,COLE S
EHRD-210-500,36,3,0,0,0,39,3.923,0,0,0,0,0,39,COLE S
EHRD-210-597,17,15,8,0,0,40,3.225,0,0,0,0,0,40,MCNAUGHTEN D
EHRD-315-500,21,10,3,1,0,35,3.457,0,0,0,0,0,35,MARK C
EHRD-315-597,24,15,2,0,0,41,3.536,0,0,0,0,0,41,MARK C
EHRD-371-700,8,11,4,0,1,24,3.041,0,0,0,0,0,24,SANDLIN J
EHRD-371-701,5,3,0,0,0,8,3.625,0,0,0,1,18,27,RICKETTS C
EHRD-371-901,22,6,1,0,0,29,3.724,0,0,0,1,0,30,HWANG J
