Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
ATMO-201-501,15,14,7,0,0,36,3.222,0,0,0,0,0,36,CONLEE D
ATMO-201-502,63,124,11,0,0,198,3.262,0,0,0,3,0,201,LOGAN T
ATMO-201-503,17,23,11,0,2,53,3.000,1,0,0,2,0,56,BOWMAN K
ATMO-201-505,45,41,19,2,3,110,3.118,1,0,0,11,0,122,CONLEE D
ATMO-201-599,95,43,11,3,4,156,3.423,0,0,0,12,0,168,ETTEN-BOHM M
ATMO-202-501,17,3,3,0,1,24,3.458,0,0,0,0,0,24,CONLEE D
ATMO-202-502,19,3,1,0,0,23,3.782,0,0,0,0,0,23,CONLEE D
ATMO-202-504,14,5,2,0,0,21,3.571,0,0,0,2,0,23,CONLEE D
ATMO-202-506,19,4,1,0,0,24,3.750,0,0,0,0,0,24,CONLEE D
ATMO-202-507,15,7,0,1,1,24,3.416,0,0,0,1,0,25,CONLEE D
ATMO-203-501,11,7,1,0,0,19,3.526,0,0,0,0,0,19,NIELSEN E
ATMO-203-502,10,8,0,1,0,19,3.421,0,0,0,0,0,19,NIELSEN E
ATMO-203-503,8,4,3,0,1,16,3.125,0,0,0,0,0,16,NIELSEN E
ATMO-251-501,6,10,4,2,0,22,2.909,1,0,0,1,0,24,NIELSEN E
ATMO-251-502,10,10,3,2,0,25,3.120,0,0,0,0,0,25,NIELSEN E
ATMO-321-500,12,3,6,1,0,22,3.181,0,0,0,3,0,25,XU Y
ATMO-335-501,22,19,5,0,1,47,3.297,0,0,0,0,0,47,BROOKS S
ATMO-336-501,13,7,3,0,1,24,3.291,1,0,0,0,0,25,EPIFANIO C
ATMO-336-502,10,8,2,0,0,20,3.400,0,0,0,0,0,20,EPIFANIO C
ATMO-363-500,11,21,0,1,0,33,3.272,0,0,0,0,0,33,ZHANG Y
ATMO-443-500,6,10,4,1,0,21,3.000,0,0,0,1,0,22,NOWOTARSKI C
ATMO-446-500,8,14,4,3,0,29,2.931,0,0,0,0,0,29,RAPP A
ATMO-459-900,7,11,2,0,0,20,3.250,0,0,0,0,0,20,SCHUMACHER C
ATMO-485-501,5,0,0,0,0,5,4.000,0,0,0,0,0,5,CONLEE D
ATMO-601-600,7,6,0,0,0,13,3.538,0,0,0,0,0,13,SARAVANAN R
ATMO-602-600,10,4,0,0,0,14,3.714,0,0,0,0,0,14,LIU X
ATMO-604-600,4,1,0,0,0,5,3.800,0,0,0,0,0,5,NIELSEN-GAMMON J
ATMO-606-600,6,8,0,0,0,14,3.428,0,0,0,0,0,14,ZHANG R
GEOS-101-502,19,0,0,0,0,19,4.000,0,0,0,0,0,19,ROARK E
GEOS-101-504,15,0,0,0,0,15,0.000,0,0,0,0,0,15,ROARK E
GEOS-101-505,13,9,0,0,0,22,3.571,0,0,0,0,0,22,SYLVAN J
GEOS-101-511,19,0,0,0,0,19,4.000,0,0,0,0,0,19,NUNEZ J
GEOS-105-500,62,25,5,0,0,92,3.619,0,0,0,0,0,92,ESTES E
GEOS-205-500,44,1,1,0,2,48,3.770,0,0,0,2,0,50,ROARK E
GEOS-210-500,55,22,9,0,1,87,3.494,0,0,0,8,0,95,DICKEY J
GEOS-210-599,65,69,35,8,5,182,2.994,0,0,0,17,0,199,DESSLER A
GEOS-401-500,20,0,0,0,0,20,4.000,0,0,0,0,0,20,ORSI A
GEOS-405-901,12,3,2,0,0,17,3.588,0,0,0,0,0,17,DOYLE S
GEOS-405-902,8,3,0,0,0,11,3.727,0,0,0,0,0,11,EVERETT M
GEOS-405-903,7,4,3,0,0,14,3.285,0,0,0,0,0,14,KNAPPETT P
GEOS-405-905,5,5,0,0,1,11,3.181,0,0,0,0,0,11,GOLD BOUCHOT G
GEOS-410-500,16,19,8,2,3,48,2.895,1,0,0,0,0,49,THORNTON D
GEOS-470-500,1,5,2,1,2,11,2.181,0,0,0,1,0,12,POTTER H
GEOS-470-501,6,2,0,2,1,11,2.909,0,0,0,0,0,11,POTTER H
GEOS-470-502,2,3,3,2,0,10,2.500,0,0,0,0,0,10,POTTER H
GEOS-481-500,9,2,1,1,0,13,3.461,0,0,0,0,0,13,DESSLER A
GEOS-611-776,5,2,1,0,0,8,3.500,0,0,0,0,0,8,BELABBASSI L
GEOS-676-775,10,4,1,0,0,15,3.600,0,0,0,0,0,15,KLEIN A
GEOG-201-500,112,28,14,5,2,161,3.509,0,0,0,2,0,163,KEEGAN C
GEOG-201-501,96,40,10,2,2,150,3.506,0,0,0,1,0,151,BRYSCH C
GEOG-201-599,132,38,19,2,7,198,3.444,1,0,0,3,0,202,THOMPSON C
GEOG-202-503,224,46,4,0,1,275,3.789,0,0,0,1,7,283,BRYSCH C
GEOG-202-504,28,44,31,5,5,113,2.752,0,0,0,1,0,114,O'REILLY K
GEOG-202-599,118,79,31,3,6,237,3.265,2,0,0,29,1,269,SMITH J
GEOG-203-501,69,44,19,5,8,145,3.110,0,0,0,4,0,149,LAFON C
GEOG-203-502,22,12,1,1,7,43,2.953,0,0,0,1,0,44,LAFON C
GEOG-203-503,69,63,26,3,0,161,3.229,0,0,0,3,0,164,FRAUENFELD O
GEOG-203-599,450,113,21,5,1,590,3.705,0,0,0,4,0,594,LOISEL J
GEOG-205-599,188,51,10,3,5,257,3.610,1,0,0,15,0,273,SANSOM L
GEOG-213-501,15,3,4,0,0,22,3.500,0,0,0,2,0,24,BOMBARDI R
GEOG-213-502,19,4,0,0,1,24,3.666,0,0,0,0,0,24,BOMBARDI R
GEOG-213-503,21,3,0,0,0,24,3.875,0,0,0,0,0,24,BOMBARDI R
GEOG-213-506,14,8,1,0,0,23,3.565,0,0,0,1,0,24,BOMBARDI R
GEOG-213-507,15,5,2,0,0,22,3.590,0,0,0,1,0,23,BOMBARDI R
GEOG-213-509,12,10,1,1,0,24,3.375,0,0,0,0,0,24,BOMBARDI R
GEOG-213-510,17,7,0,0,0,24,3.708,0,0,0,0,0,24,BOMBARDI R
GEOG-213-511,15,5,0,0,1,21,3.571,0,0,0,0,0,21,BOMBARDI R
GEOG-213-513,14,5,0,1,0,20,3.600,0,0,0,1,0,21,BOMBARDI R
GEOG-215-930,14,4,1,0,1,20,3.500,0,0,0,0,0,20,GOLDBERG D
GEOG-215-931,11,3,2,0,2,18,3.166,0,0,0,1,0,19,GOLDBERG D
GEOG-215-932,13,1,2,0,2,18,3.277,0,0,0,2,0,20,GOLDBERG D
GEOG-232-501,7,8,3,1,1,20,2.950,0,0,0,0,0,20,BREYER E
GEOG-232-502,5,5,4,0,5,19,2.263,0,0,0,0,0,19,BREYER E
GEOG-232-503,7,6,3,0,0,16,3.250,0,0,0,1,0,17,BREYER E
GEOG-301-500,211,60,6,0,2,279,3.713,0,0,0,2,0,281,BRYSCH C
GEOG-304-500,39,9,8,2,2,60,3.350,0,0,0,3,0,63,KEEGAN C
GEOG-305-500,26,38,27,1,6,98,2.785,0,0,0,10,0,108,PROUT E
GEOG-306-500,15,14,7,3,4,43,2.767,0,0,0,0,0,43,GUNERALP B
GEOG-309-500,17,13,13,3,2,48,2.833,0,0,0,0,0,48,BRANNSTROM C
GEOG-311-500,9,9,4,0,2,24,2.958,0,0,0,2,0,26,SMITH J
GEOG-324-900,11,5,3,2,0,21,3.190,0,0,0,1,0,22,GHATAK D
GEOG-330-500,103,29,5,1,2,140,3.642,0,0,0,2,0,142,CASELLAS CONNORS J
GEOG-352-500,13,1,3,0,1,18,3.388,0,0,0,1,0,19,LYLE S
GEOG-352-501,13,3,2,0,0,18,3.611,0,0,0,0,0,18,LYLE S
GEOG-352-503,13,2,2,0,1,18,3.444,0,0,0,1,0,19,LYLE S
GEOG-360-500,24,3,0,0,0,27,3.888,1,0,0,0,0,28,GHATAK D
GEOG-361-500,7,6,1,1,3,18,2.722,0,0,0,1,0,19,FILIPPI A
GEOG-361-501,2,5,4,1,3,15,2.133,0,0,0,0,0,15,FILIPPI A
