Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
ARCH-205-900,10,5,0,0,0,15,3.666,0,0,0,0,0,15,ENNEMOSER B
ARCH-205-901,3,8,2,1,0,14,2.928,0,0,0,0,0,14,CLAYTON M
ARCH-205-902,6,7,0,0,0,13,3.461,0,0,0,0,0,13,KEY S
ARCH-205-903,11,2,1,0,1,15,3.466,0,0,0,0,0,15,WARDEN R
ARCH-205-904,14,0,0,0,0,14,4.000,0,0,0,0,0,14,CAMPAGNOL G
ARCH-205-905,12,1,0,0,0,13,3.923,0,0,0,0,0,13,JAIN P
ARCH-205-906,12,2,0,0,0,14,3.857,0,0,0,0,0,14,ENNEMOSER B
ARCH-212-500,57,91,16,0,0,164,3.250,0,0,0,2,0,166,ZHU X
ARCH-212-700,29,14,3,0,1,47,3.489,0,0,0,2,0,49,LU Z
ARCH-216-500,42,3,0,0,0,45,3.933,0,0,0,0,0,45,TUZUN CANADINC S
ARCH-221-500,2,2,0,1,0,5,3.000,0,0,0,2,0,7,KLEIN N
ARCH-246-500,28,0,0,0,0,28,4.000,0,0,0,0,0,28,BILLINGSLEY A
ARCH-249-200,6,1,0,0,0,7,3.857,1,0,0,1,0,9,GLOWACKI K
ARCH-249-501,15,16,7,1,0,39,3.153,0,0,0,1,0,40,GLOWACKI K
ARCH-249-502,52,77,29,9,4,171,2.959,0,0,0,6,0,177,GLOWACKI K
ARCH-249-700,197,32,7,2,3,241,3.734,0,0,0,8,0,249,CAFFEY S
ARCH-250-200,4,1,0,0,0,5,3.800,0,0,0,1,0,6,KLEIN N
ARCH-250-501,19,13,6,2,0,40,3.225,1,0,0,1,0,42,KLEIN N
ARCH-250-502,83,66,21,1,0,171,3.350,1,0,0,8,0,180,KLEIN N
ARCH-250-700,56,25,12,1,1,95,3.410,0,0,0,3,0,98,CAMPAGNOL G
ARCH-260-500,11,4,0,0,0,15,3.733,0,0,0,0,0,15,LOPEZ DINARDI M
ARCH-305-900,12,2,0,0,0,14,3.857,0,0,0,0,0,14,KIM S
ARCH-305-931,10,6,0,0,0,16,3.625,0,0,0,0,0,16,GELLES R
ARCH-305-932,11,3,0,0,0,14,3.785,0,0,0,0,0,14,AITANI K
ARCH-305-933,14,3,0,0,0,17,3.823,0,0,0,0,0,17,CALVESBERT T
ARCH-305-934,13,3,0,0,1,17,3.588,0,0,0,0,0,17,LOPEZ DINARDI M
ARCH-317-500,7,6,0,0,0,13,3.538,0,0,0,2,0,15,GAYK M
ARCH-330-200,3,2,0,0,0,5,3.600,0,0,0,0,0,5,OBRIEN M
ARCH-330-500,20,33,15,3,4,75,2.826,0,0,0,1,0,76,OBRIEN M
ARCH-331-500,45,29,7,0,1,82,3.426,0,0,0,0,0,82,DUDLEY D
ARCH-335-500,24,36,13,5,2,80,2.937,0,0,0,2,0,82,HABERL J
ARCH-350-500,41,23,1,2,1,68,3.485,0,0,0,0,0,68,CAMPAGNOL G
ARCH-350-700,6,21,13,3,3,46,2.521,0,0,0,4,0,50,BIEBER S
ARCH-353-500,26,1,0,0,0,27,3.962,0,0,0,0,0,27,YOO W
ARCH-381-502,18,2,1,0,0,21,3.809,0,0,0,0,0,21,CLAYTON M
ARCH-381-503,24,1,0,1,0,26,3.846,0,0,0,1,0,27,CLAYTON M
ARCH-405-204,3,2,0,0,0,5,3.600,0,0,0,0,0,5,OBRIEN M
ARCH-405-501,13,5,0,1,0,19,3.578,0,0,0,0,2,21,FAULKNER M
ARCH-405-503,15,9,0,0,0,24,3.625,0,0,0,0,0,24,HAWKINS A
ARCH-405-504,15,3,2,0,0,20,3.650,0,0,0,0,0,20,OBRIEN M
ARCH-405-505,14,9,1,0,0,24,3.541,0,0,0,0,0,24,ERMINY M
ARCH-421-500,8,4,0,0,2,14,3.142,0,0,0,0,0,14,CULP C
ARCH-431-201,2,3,0,0,0,5,3.400,0,0,0,0,0,5,GESSNER T
ARCH-431-204,3,2,0,0,0,5,3.600,0,0,0,0,0,5,GESSNER T
ARCH-431-501,12,9,0,0,0,21,3.571,0,0,0,0,0,21,GESSNER T
ARCH-431-503,6,18,0,0,0,24,3.250,0,0,0,0,0,24,GESSNER T
ARCH-431-504,10,6,4,0,0,20,3.300,0,0,0,0,0,20,GESSNER T
