Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
ANTH-201-501,29,11,6,1,0,47,3.446,0,0,0,2,0,49,SARATHI A
ANTH-201-502,32,15,1,0,0,48,3.645,0,0,0,2,0,50,SARATHI A
ANTH-201-503,37,9,3,0,0,49,3.693,0,0,0,0,0,49,SARATHI A
ANTH-201-599,67,32,12,4,4,119,3.294,0,0,0,2,0,121,GURSKY S
ANTH-202-501,38,12,3,1,1,55,3.545,0,0,0,2,0,57,PERRI A
ANTH-204-500,27,14,3,1,1,46,3.413,0,0,0,2,0,48,BENTLEY N
ANTH-204-501,32,15,1,0,1,49,3.571,0,0,0,1,0,50,SHELLEY N
ANTH-204-502,36,8,4,0,1,49,3.591,0,0,0,0,0,49,O'BRIEN S
ANTH-204-503,26,4,2,1,1,34,3.558,0,0,0,2,0,36,SARATHI A
ANTH-205-500,22,29,8,2,4,65,2.969,0,0,0,0,0,65,WHITE J
ANTH-205-501,44,19,4,1,1,69,3.507,0,0,0,1,0,70,BORD A
ANTH-205-502,71,5,2,1,0,79,3.848,0,0,0,0,0,79,BOJAKOWSKI K
ANTH-205-503,43,35,11,4,0,93,3.258,0,0,0,7,0,100,LYNCH D
ANTH-205-504,60,11,3,0,1,75,3.720,0,0,0,0,0,75,BECKTELL B
ANTH-205-505,35,0,0,0,0,35,4.000,0,0,0,1,0,36,IZZO V
ANTH-205-506,18,9,4,1,2,34,3.176,0,0,0,1,0,35,BROOKS C
ANTH-205-507,30,3,2,0,0,35,3.800,0,0,0,0,0,35,BOJAKOWSKI K
ANTH-205-508,28,35,15,1,1,80,3.100,0,0,0,8,0,88,LYNCH D
ANTH-205-509,19,16,7,3,5,50,2.820,0,0,0,4,0,54,ALVARD M
ANTH-205-512,32,27,5,4,1,69,3.231,0,0,0,3,0,72,LYNCH D
ANTH-205-599,18,44,38,11,3,114,2.552,0,0,0,9,0,123,ALVARD M
ANTH-210-501,20,63,33,3,1,120,2.816,0,0,0,14,0,134,LEMUS S
ANTH-210-502,47,14,6,0,0,67,3.611,0,0,0,3,3,73,KHAUMYEN B
ANTH-210-503,17,17,2,0,0,36,3.416,0,0,0,0,0,36,JOHNSON K
ANTH-225-500,10,14,11,2,2,39,2.717,0,0,0,9,0,48,ANDERSON M
ANTH-225-599,11,17,6,1,0,35,3.085,0,0,0,2,0,37,GURSKY S
ANTH-226-501,7,3,2,0,2,14,2.928,0,0,0,1,0,15,JAIN H
ANTH-226-502,9,2,0,0,0,11,3.818,0,0,0,1,0,12,GANDARILLA M
ANTH-300-500,11,7,0,1,0,19,3.473,0,0,0,1,0,20,LYNCH D
ANTH-305-900,13,4,0,0,1,18,3.555,0,0,0,1,0,19,BOJAKOWSKI K
ANTH-312-500,5,6,4,0,1,16,2.875,0,0,0,2,1,19,ANDERSON M
ANTH-313-500,7,7,5,1,5,25,2.400,0,0,0,5,0,30,KENNEDY C
ANTH-324-500,28,7,2,0,1,38,3.605,0,0,0,0,0,38,CAMPBELL M
ANTH-324-501,34,9,2,0,0,45,3.711,0,0,0,0,0,45,CAMPBELL M
ANTH-350-500,25,3,2,2,2,34,3.382,0,0,0,0,0,34,THOMAS O
ANTH-370-501,35,2,3,2,2,44,3.500,0,0,0,0,0,44,THAKAR H
ANTH-402-500,4,4,1,0,1,10,3.000,0,0,0,0,0,10,KENNEDY C
ANTH-412-500,10,4,5,0,3,22,2.818,1,0,0,1,0,24,THAKAR H
ANTH-415-900,12,7,2,1,3,25,2.960,0,0,0,1,0,26,ANDERSON M
ANTH-437-500,5,9,2,1,1,18,2.888,0,0,0,1,0,19,HOPKINS A
ANTH-484-501,5,0,0,0,0,5,4.000,0,0,0,0,0,5,KENNEDY C
ANTH-489-501,6,5,1,0,0,12,3.416,0,0,0,0,0,12,BOJAKOWSKI P
ANTH-489-503,4,1,0,0,0,5,3.800,0,0,0,0,1,6,LEMUS S
ANTH-605-600,3,1,1,0,0,5,3.400,0,0,0,0,0,5,DOSTAL C
ANTH-608-600,6,0,1,0,0,7,3.714,0,0,0,0,0,7,WACHSMANN S
ANTH-610-600,5,0,0,0,0,5,4.000,0,0,0,0,0,5,CRISMAN K
ANTH-613-600,7,0,0,0,0,7,4.000,0,0,0,0,0,7,CARLSON D
ANTH-640-600,9,0,0,0,0,9,4.000,0,0,0,0,0,9,WRIGHT L
MUST-221-500,5,7,2,0,1,15,3.000,0,0,0,1,0,16,KLEIN N
DEPARTMENT TOTAL:,1104,566,227,50,53,2000,3.306,1,0,0,90,5,2096
ATMO-201-501,27,8,8,2,0,45,3.333,0,0,0,0,0,45,CONLEE D
ATMO-201-502,97,62,27,3,1,190,3.321,0,0,0,11,0,201,NIELSEN E
ATMO-201-505,52,92,28,1,0,173,3.127,0,0,0,3,0,176,LOGAN T
ATMO-201-599,113,117,61,3,3,297,3.124,1,0,0,24,0,322,EPIFANIO C
ATMO-202-501,20,2,1,0,0,23,3.826,0,0,0,0,0,23,CONLEE D
ATMO-202-502,18,3,2,0,0,23,3.695,0,0,0,0,0,23,CONLEE D
ATMO-202-504,21,2,0,0,1,24,3.750,0,0,0,0,0,24,CONLEE D
ATMO-202-506,18,4,2,0,0,24,3.666,0,0,0,0,0,24,CONLEE D
ATMO-202-507,23,1,1,0,0,25,3.880,0,0,0,0,0,25,CONLEE D
ATMO-203-501,10,8,2,0,0,20,3.400,0,0,0,0,0,20,NIELSEN E
ATMO-251-501,5,5,8,2,0,20,2.650,0,0,0,0,0,20,NIELSEN E
ATMO-251-502,9,9,3,2,0,23,3.086,0,0,0,0,0,23,NIELSEN E
ATMO-321-500,12,4,2,1,2,21,3.095,0,0,0,4,0,25,XU Y
ATMO-335-501,24,10,1,0,0,35,3.657,0,0,0,0,0,35,ZHANG R
ATMO-336-501,11,5,5,0,0,21,3.285,1,0,0,0,0,22,EPIFANIO C
ATMO-336-502,9,7,4,0,0,20,3.250,0,0,0,0,0,20,EPIFANIO C
ATMO-363-500,33,18,5,1,0,57,3.456,0,0,0,0,0,57,ZHANG Y
ATMO-443-500,9,8,2,3,0,22,3.045,0,0,0,0,0,22,NOWOTARSKI C
ATMO-446-500,29,9,5,1,0,44,3.500,1,0,0,0,0,45,BROOKS S
ATMO-459-900,4,4,5,2,0,15,2.666,0,0,0,0,0,15,CONLEE D
ATMO-459-901,8,6,3,0,0,17,3.294,0,0,0,1,0,18,SCHUMACHER C
ATMO-491-510,15,0,0,0,0,15,4.000,0,0,0,0,0,15,NOWOTARSKI C
ATMO-601-600,7,9,2,0,0,18,3.277,0,0,0,0,0,18,KORTY R
ATMO-602-600,12,6,0,0,0,18,3.666,0,0,0,0,0,18,LIU X
