Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
EDAD-601-601,17,0,0,0,0,17,4.000,0,0,0,0,0,17,STANLEY C
EDAD-602-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,JAMES GALLAWAY C
EDAD-605-700,17,0,0,0,0,17,4.000,0,0,0,0,0,17,HOLLEY S
EDAD-606-700,5,0,0,0,0,5,4.000,0,0,0,0,0,5,FAHRENWALD C
EDAD-606-701,17,0,0,0,0,17,4.000,0,0,0,0,0,17,FAHRENWALD C
EDAD-610-600,16,0,0,0,0,16,4.000,0,0,0,0,0,16,BROWN J
EDAD-611-600,5,0,0,0,0,5,4.000,0,0,0,0,0,5,PUGH D
EDAD-615-600,7,0,0,0,0,7,4.000,0,0,0,0,0,7,SAAVEDRA A
EDAD-618-600,14,0,0,0,0,14,4.000,0,0,0,0,0,14,LECHUGA V
EDAD-623-600,9,0,0,0,0,9,4.000,0,0,0,0,0,9,LINCOLN Y
EDAD-631-600,11,0,0,0,0,11,4.000,0,0,0,1,0,12,PUGH D
EDAD-638-701,5,0,0,0,0,5,4.000,0,0,0,0,0,5,WEBB-JOHNSON G
EDAD-639-600,7,0,0,0,0,7,4.000,0,0,0,0,0,7,LECHUGA V
EDAD-639-601,10,0,0,0,0,10,4.000,1,0,0,0,0,11,JAMES GALLAWAY C
EDAD-639-602,14,4,1,0,0,19,3.684,1,0,0,0,0,20,HILL-JACKSON V
EDAD-639-700,15,1,1,0,0,17,3.823,0,0,0,0,0,17,FAHRENWALD C
EDAD-655-600,16,1,0,0,0,17,3.941,0,0,0,0,0,17,PUGH D
EDAD-669-600,11,2,0,0,0,13,3.846,0,0,0,0,0,13,SALAZAR C
EDAD-683-600,9,0,0,0,0,9,4.000,0,0,0,0,0,9,BAILEY K
EDAD-688-600,14,0,0,0,0,14,4.000,1,0,0,0,0,15,MADSEN J
EDAD-689-602,4,1,0,0,0,5,3.800,1,0,0,1,0,7,MUSOBA G
EHRD-203-501,23,7,4,0,0,34,3.558,0,0,0,0,0,34,COLE S
EHRD-203-502,33,6,0,0,0,39,3.846,0,0,0,1,0,40,JABARKHAIL S
EHRD-203-503,15,0,0,0,0,15,4.000,0,0,0,1,0,16,STEPHENS M
EHRD-203-599,31,6,4,2,0,43,3.534,0,0,0,1,0,44,YODER P
EHRD-210-500,29,0,0,0,0,29,4.000,0,0,0,0,0,29,COLE S
EHRD-210-597,30,11,2,0,0,43,3.651,0,0,0,1,0,44,MCNAUGHTEN D
EHRD-315-500,13,3,1,0,0,17,3.705,0,0,0,0,0,17,MARK C
EHRD-315-597,10,17,1,0,2,30,3.100,0,0,0,0,0,30,MARK C
EHRD-371-901,17,9,3,0,1,30,3.366,0,0,0,0,0,30,HWANG J
EHRD-371-902,28,0,0,0,0,28,4.000,0,0,0,1,0,29,STEPHENS M
EHRD-371-998,10,12,0,0,0,22,3.454,0,0,0,1,0,23,SANDLIN J
EHRD-371-999,14,4,3,0,2,23,3.217,0,0,0,2,0,25,RICKETTS C
EHRD-372-500,23,0,0,0,0,23,4.000,0,0,0,0,0,23,MUYIA M
EHRD-372-501,16,0,0,0,0,16,4.000,0,0,0,0,0,16,MUYIA M
EHRD-372-569,35,0,1,0,2,38,3.736,0,0,0,0,0,38,MUYIA M
EHRD-374-599,37,2,1,0,0,40,3.900,0,0,0,0,0,40,MUYIA M
EHRD-391-501,6,19,11,2,0,38,2.763,0,0,0,1,0,39,SANDLIN J
EHRD-391-502,7,12,10,3,0,32,2.718,0,0,0,5,0,37,SANDLIN J
EHRD-405-599,29,13,3,0,2,47,3.425,0,0,0,0,0,47,FERGUSON-CAMMARATA
EHRD-408-500,24,3,2,0,0,29,3.758,0,0,0,0,0,29,COLE S
EHRD-408-550,12,7,1,0,1,21,3.380,0,0,0,1,0,22,SANDLIN J
EHRD-413-500,20,1,0,0,0,21,3.952,0,0,0,0,0,21,IRELAND J
EHRD-413-501,24,0,0,0,1,25,3.840,0,0,0,0,0,25,IRELAND J
EHRD-477-598,20,4,0,0,1,25,3.680,0,0,0,0,0,25,SMITH B
