Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
EDHP-630-700,6,1,0,0,0,7,3.857,0,0,0,0,0,7,KURZ T
EDHP-631-700,4,1,0,0,0,5,3.800,0,0,0,0,0,5,ARNOLD S
HCPI-655-700,11,0,0,0,0,11,4.000,0,0,0,0,0,11,MIRANDA M
HCPI-658-700,4,3,0,0,0,7,3.571,0,0,0,0,0,7,BITOUNI A
MPHY-624-601,12,0,0,0,0,12,4.000,0,0,0,0,0,12,VANBUREN V
MPHY-624-602,6,0,0,0,0,6,4.000,0,0,0,0,0,6,VANBUREN V
MPHY-689-601,6,8,0,0,0,14,3.428,1,0,0,1,0,16,MUTHUCHAMY M
MSCI-601-601,11,5,0,0,0,16,3.687,0,0,0,2,0,18,CHAKRABORTY S
MSCI-601-603,5,1,0,0,0,6,3.833,0,0,0,0,0,6,SIWKO S
MSCI-605-600,12,0,0,0,0,12,4.000,0,0,0,0,0,12,WANG H
MSCI-609-305,6,0,0,0,0,6,4.000,0,0,0,0,0,6,WILSON V
MSCI-609-600,34,0,0,0,0,34,4.000,0,0,0,0,0,34,WILSON V
MSCI-635-601,18,1,1,0,0,20,3.850,0,0,0,1,0,21,WEST A
MSCI-650-650,9,0,0,0,0,9,4.000,0,0,0,0,0,9,HUSTON D
MSCI-685-614,8,0,0,0,0,8,4.000,0,0,0,0,0,8,SHAPIRO L
MSCI-689-602,8,0,0,0,0,8,4.000,0,0,0,0,0,8,MITCHELL B
MSCI-689-603,8,0,0,0,0,8,4.000,0,0,0,0,0,8,MITCHELL B
DEPARTMENT TOTAL:,168,20,1,0,0,189,3.833,1,0,0,4,0,194,
COLLEGE TOTAL:,168,20,1,0,0,189,3.833,1,0,0,4,0,194,
