Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
ITDE-611-601,0,0,0,0,46,3.456,0,0,0,0,46,SEARS N
ITDE-613-601,0,0,0,0,48,3.062,0,0,0,0,48,ROBBINS A
ITDE-625-601,0,0,0,0,34,4.000,0,0,0,0,34,SEARS N
ITDE-641-601,0,0,0,0,14,4.000,1,0,0,0,15,SEARS N
IMED-800-31D,3,9,0,0,12,3.250,0,0,0,0,12,CHRISTENSEN W
IMED-800-31H,2,14,0,0,16,3.125,3,0,0,0,19,CLEWING J
IMED-800-31R,2,3,0,0,5,3.400,0,0,0,0,5,FADER R
IMED-800-31T,2,7,0,0,9,3.222,0,0,0,0,9,BROWN A
IMED-800-32D,3,8,0,0,11,3.272,0,0,0,0,11,CHRISTENSEN W
IMED-800-32H,5,11,0,0,16,3.312,0,0,0,0,16,CLEWING J
IMED-800-32T,3,4,0,0,7,3.428,1,0,0,0,8,BROWN A
MEID-617-30B,10,56,0,0,66,3.151,0,0,0,0,66,DUBOIS D
MEID-617-30D,11,43,0,0,54,3.203,0,0,0,1,55,BLACK R
MEID-617-30H,7,41,0,0,48,3.145,0,0,0,0,48,MURRAY I
MEID-617-30R,5,42,0,0,47,3.106,0,0,0,0,47,DUBOIS D
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
MEID-701-30B,11,55,0,0,66,3.166,0,0,0,0,66,CANNADAY R
MEID-701-30D,13,42,0,1,56,3.178,0,0,0,0,56,CANNADAY R
MEID-701-30H,7,41,0,0,48,3.145,0,0,0,0,48,HOFFMANN H
MEID-701-30R,2,44,0,2,48,2.916,0,0,0,0,48,CANNADAY R
MEID-704-30B,13,53,0,0,66,3.196,0,0,0,0,66,CHAFFER S
MEID-704-30D,9,46,0,0,55,3.163,0,0,0,1,56,CHAFFER S
MEID-704-30H,7,41,0,0,48,3.145,0,0,0,0,48,PETERSON T
MEID-704-30R,4,37,0,6,47,2.702,0,0,0,0,47,CHAFFER S
MEID-706-30B,11,54,0,1,66,3.121,0,0,0,0,66,BRANDT P
MEID-706-30D,11,43,0,0,54,3.203,0,0,0,0,54,BRANDT P
MEID-706-30H,7,41,0,0,48,3.145,0,0,0,0,48,CROMER W
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
MEID-706-30R,3,43,0,1,47,3.000,0,0,0,0,47,BRANDT P
MEID-708-30B,10,56,0,0,66,3.151,0,0,0,0,66,BRAKORA K
MEID-708-30D,12,41,1,0,54,3.185,1,0,0,0,55,BRAKORA K
MEID-708-30H,7,41,0,0,48,3.145,0,0,0,0,48,DAY L
MEID-708-30R,3,39,3,0,45,2.933,2,0,0,0,47,BRAKORA K
MEID-712-30B,15,50,0,0,65,3.230,0,0,0,0,65,CASANOVA M
MEID-712-30D,8,46,0,0,54,3.148,1,0,0,0,55,HOLLAND P
MEID-712-30H,7,41,0,0,48,3.145,0,0,0,0,48,SIMPSON E
MEID-712-30R,3,44,0,0,47,3.063,1,0,0,0,48,MILMAN R
