Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
------------ ----- ----- ----- -----,-----,-----,,----- -----,,-----,-----,-----,-----,----- ------,-----,---,---,---,------
LAW-7001-601   0   4   6   4,3,2,,1   0,,0,0,0,0,0 20,3.400,0,0,0,20
PHILLIPS S 0.00% 20.00% 30.00% 20.00% 15.00% 10.00%,,,,5.00% 0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,
LAW-7001-602   1   3   4   4,6,2,,0   0,,0,0,0,0,0 20,3.367,0,0,0,20
BURGE M 5.00% 15.00% 20.00% 20.00% 30.00% 10.00%,,,,0.00% 0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,
LAW-7001-603   0   2   6   5,4,0,,1   0,,0,0,0,0,0 18,3.388,0,0,0,18
MORRISON A 0.00% 11.11% 33.33% 27.78% 22.22%,,0.00%,,5.56% 0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,
LAW-7001-604   0   4   5   3,2,4,,0   0,,0,0,0,0,0 18,3.390,0,0,0,18
PAULI C 0.00% 22.22% 27.78% 16.67% 11.11% 22.22%,,,,0.00% 0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,
LAW-7001-605   0   2   6   3,3,0,,0   0,,1,0,0,0,0 15,3.378,0,0,0,15
MURPHY J 0.00% 13.33% 40.00% 20.00% 20.00%,,0.00%,,0.00% 0.00%,,6.67%,0.00%,0.00%,0.00%,0.00%,,,,,
LAW-7001-606   3   2   1   5,4,2,,0   0,,0,0,0,0,0 17,3.393,0,0,0,17
MURPHY J 17.65% 11.76% 5.88% 29.41% 23.53% 11.76%,,,,0.00% 0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,
LAW-7001-607   0   4   4   3,4,0,,0   2,,0,0,0,0,0 17,3.333,0,0,0,17
PAULI C 0.00% 23.53% 23.53% 17.65% 23.53%,,0.00%,,0.00% 11.76%,,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,
COURSE TOTAL :4 21 32 27,26,10,,2 2,,1,0,0,0,0125,3.379,0,0,0,125
3.20% 16.80% 25.60% 21.60% 20.80%,,8.00%,,1.60% 1.60%,,0.80%,0.00%,0.00%,0.00%,0.00%,,,,,
LAW-7005-601   2   3   7   7,11,4,,3   3,,0,0,0,0,0 40,3.142,0,0,0,40
GEORGE J 5.00% 7.50% 17.50% 17.50% 27.50% 10.00%,,,,7.50% 7.50%,,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,
LAW-7005-602   1   3   6  20,4,5,,3   0,,2,0,0,0,0 44,3.188,0,0,0,44
WELSH N 2.27% 6.82% 13.64% 45.45%,9.09% 11.36%,,,6.82% 0.00%,,4.55%,0.00%,0.00%,0.00%,0.00%,,,,,
LAW-7005-603   1   5   4  11,8,11,,1   0,,0,0,0,0,0 41,3.195,0,0,0,41
MAHER B 2.44% 12.20% 9.76% 26.83% 19.51% 26.83%,,,,2.44% 0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,
COURSE TOTAL :4 11 17 38,23,20,,7 3,,2,0,0,0,0125,3.176,0,0,0,125
LAW-7010-601   2,10,5  11,11,14,,,3,1,0,0,0,0,0,57,3.199,0,0,0,57
PENROSE M 3.51% 17.54%,,8.77% 19.30% 19.30% 24.56%,,,,,5.26%,1.75%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
LAW-7010-602   0,4,8  18,11,6,,,1,0,2,0,0,0,0,50,3.199,0,0,0,50
HOLLAND H 0.00%,8.00% 16.00% 36.00% 22.00% 12.00%,,,,,,2.00%,0.00%,4.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
COURSE TOTAL :2,14,13 29,22,20,,,4,1,2,0,0,0,0,107,3.199,0,0,0,107
1.87% 13.08% 12.15% 27.10% 20.56% 18.69%,,,,,,,3.74%,0.93%,1.87%,0.00%,0.00%,0.00%,0.00%,,,,,,
LAW-7042-601   1,6,5   9,9,6,,,2,1,1,0,0,0,0,40,3.192,0,0,0,40
SHORT A 2.50% 15.00% 12.50% 22.50% 22.50% 15.00%,,,,,,,5.00%,2.50%,2.50%,0.00%,0.00%,0.00%,0.00%,,,,,,
LAW-7042-602   1,4,5  11,15,6,,,2,0,0,0,0,0,0,44,3.197,0,0,0,44
LUNNEY J 2.27%,9.09% 11.36% 25.00% 34.09% 13.64%,,,,,,4.55%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
LAW-7042-603   2,3,6  12,7,7,,,4,0,0,0,0,0,0,41,3.195,0,0,0,41
BARNES W 4.88%,7.32% 14.63% 29.27% 17.07% 17.07%,,,,,,9.76%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
COURSE TOTAL :4,13,16 32,31,19,,,8,1,1,0,0,0,0,125,3.194,0,0,0,125
3.20% 10.40% 12.80% 25.60% 24.80% 15.20%,,,,,,,6.40%,0.80%,0.80%,0.00%,0.00%,0.00%,0.00%,,,,,,
LAW-7056-601   4,0,11  16,31,8,,,0,0,0,0,0,0,0,70,3.200,0,0,0,70
MAGNUSON W 5.71%,0.00% 15.71% 22.86% 44.29% 11.43%,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
COURSE TOTAL :4,0,11 16,31,8,,,0,0,0,0,0,0,0,70,3.200,0,0,0,70
5.71%,0.00% 15.71% 22.86% 44.29% 11.43%,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
LAW-7065-601   2,7,7  13,14,9,,,3,2,0,0,0,0,0,57,3.193,0,1,0,57
PENROSE M 3.51% 12.28% 12.28% 22.81% 24.56% 15.79%,,,,,,,5.26%,3.51%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
COURSE TOTAL :2,7,7 13,14,9,,,3,2,0,0,0,0,0,57,3.193,0,1,0,57
3.51% 12.28% 12.28% 22.81% 24.56% 15.79%,,,,,,,5.26%,3.51%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
LAW-7076-601   7,2,10  13,22,9,,,8,2,0,0,0,0,0,73,3.133,0,1,1,74
COURSE TOTAL :7,2 10,13,22,9,,8,2,,0,0,0,0,0,73,3.133,0,1,1,74
