Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
ARTS-115-501,29,3,2,0,0,34,3.794,0,0,0,1,0,35,PUGH R
ARTS-115-502,15,15,5,0,0,35,3.285,0,0,0,0,0,35,KOUSTOV D
ARTS-115-503,14,17,4,1,0,36,3.222,0,0,0,0,0,36,KOUSTOV D
ARTS-149-200,3,3,1,0,0,7,3.285,0,0,0,0,0,7,SUTHERLAND S
ARTS-149-500,80,71,13,1,0,165,3.393,0,0,0,6,0,171,SUTHERLAND S
ARTS-149-501,7,5,1,0,1,14,3.214,0,0,0,0,0,14,SUTHERLAND S
ARTS-149-701,36,28,4,2,0,70,3.400,0,0,0,1,0,71,SUTHERLAND S
ARTS-149-702,51,13,4,1,0,69,3.652,0,0,0,0,0,69,SUTHERLAND S
ARTS-150-501,13,5,3,0,0,21,3.476,0,0,0,1,0,22,UCHACZ T
ARTS-150-502,66,57,21,6,5,155,3.116,0,0,0,7,0,162,UCHACZ T
ARTS-150-701,27,21,12,1,0,61,3.213,0,0,0,9,0,70,LEIDERMAN D
ARTS-150-702,36,13,9,1,3,62,3.258,0,0,0,8,0,70,SCHULD D
ARTS-210-500,10,5,2,0,0,17,3.470,1,0,0,1,0,19,VIGUS G
ARTS-212-501,18,3,0,0,0,21,3.857,1,0,0,1,0,23,WOODFIN S
ARTS-212-502,8,12,2,0,0,22,3.272,0,0,0,2,0,24,KOUSTOV D
ARTS-212-503,17,6,0,0,0,23,3.739,0,0,0,0,0,23,LEE H
ARTS-303-500,10,2,1,0,0,13,3.692,0,0,0,1,0,14,HONEYCUTT A
ARTS-303-701,14,3,0,0,0,17,3.823,0,0,0,0,0,17,HONEYCUTT A
ARTS-304-500,6,2,1,0,0,9,3.555,0,0,0,1,0,10,BOLOGAN A
ARTS-305-502,9,8,1,0,0,18,3.444,0,0,0,0,0,18,HOUSE F
ARTS-308-500,8,2,0,0,0,10,3.800,0,0,0,0,0,10,GAYK M
ARTS-315-500,16,2,0,0,0,18,3.888,1,0,0,0,0,19,WOODFIN S
ARTS-325-700,24,2,1,0,2,29,3.586,1,0,0,1,0,31,WOODFIN S
ARTS-349-700,11,31,19,4,1,66,2.712,0,0,0,5,0,71,BIEBER S
ARTS-353-500,13,6,0,0,0,19,3.684,0,0,0,0,0,19,PUGH R
DCED-201-500,15,0,0,0,0,15,4.000,0,0,0,0,0,15,PETUCH J
DCED-202-594,134,10,1,2,2,149,3.825,0,0,0,1,0,150,POOLEY-DETWILER A
DCED-202-595,64,16,2,2,2,86,3.604,0,0,0,3,0,89,ALVAREZ A
DCED-202-596,75,13,1,0,1,90,3.788,0,0,0,0,0,90,POOLEY-DETWILER A
DCED-202-597,73,7,4,1,0,85,3.788,0,0,0,4,0,89,POOLEY-DETWILER A
DCED-202-598,102,12,1,1,2,118,3.788,1,0,0,1,0,120,POOLEY-DETWILER A
DCED-202-599,93,15,7,1,1,117,3.692,0,0,0,3,0,120,ALVAREZ A
DCED-203-500,19,2,0,0,0,21,3.904,0,0,0,0,0,21,HOWARD B
DCED-222-500,11,5,1,1,0,18,3.444,0,0,0,0,0,18,BERGERON C
DCED-260-500,18,0,0,0,0,18,4.000,1,0,0,1,0,20,BEDFORD D
