Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
BIMS-602-599,5,0,0,0,0,5,4.000,0,0,0,0,0,5,CRISCITIELLO M
BIMS-602-600,18,0,0,0,0,18,4.000,0,0,0,1,0,19,CRISCITIELLO M
DEPARTMENT TOTAL:,23,0,0,0,0,23,4.000,0,0,0,1,0,24,
VIBS-111-500,88,0,0,0,0,88,4.000,0,0,0,0,0,88,YOUNG C
VIBS-111-501,74,2,0,0,0,76,3.973,0,0,0,0,0,76,YOUNG C
VIBS-111-M99,15,2,0,0,0,17,3.882,0,0,0,0,0,17,SILKWOOD C
VIBS-211-501,65,1,0,0,1,67,3.925,0,0,0,0,0,67,YOUNG C
VIBS-211-502,25,1,0,0,0,26,3.961,0,0,0,0,0,26,YOUNG C
VIBS-243-500,30,8,1,0,1,40,3.650,0,0,0,0,0,40,KNEESE D
VIBS-243-501,27,9,0,1,0,37,3.675,0,0,0,0,0,37,KNEESE D
VIBS-243-M01,7,2,1,0,0,10,3.600,0,0,0,1,0,11,KNEESE D
VIBS-277-500,35,19,6,5,2,67,3.194,0,0,0,2,0,69,KO G
VIBS-305-501,15,32,22,7,3,79,2.620,0,0,0,6,0,85,WILSON P
VIBS-305-502,19,25,15,13,4,76,2.552,0,0,0,5,0,81,WILSON P
VIBS-305-503,4,22,16,3,3,48,2.437,0,0,0,3,0,51,WILSON P
VIBS-343-500,6,11,4,0,0,21,3.095,0,0,0,14,0,35,JOHNSON G
VIBS-401-500,8,7,4,0,0,19,3.210,0,0,0,2,0,21,SRIVASTAVA V
VIBS-404-200,22,0,0,0,0,22,4.000,0,0,0,0,0,22,PHILLIPS T
VIBS-424-204,8,5,0,0,0,13,3.615,0,0,0,0,0,13,AROSH J
VIBS-445-500,15,0,0,0,0,15,4.000,0,0,0,0,0,15,PINE M
VIBS-450-500,8,4,5,2,1,20,2.800,0,0,0,12,0,32,KO G
VIBS-485-522,11,0,0,0,0,11,4.000,0,0,0,0,0,11,KNEESE D
VIBS-602-601,17,16,1,0,0,34,3.470,0,0,0,8,0,42,JOHNSON G
VIBS-603-600,2,6,0,0,0,8,3.250,0,0,0,0,0,8,FRANK-CANNON T
VIBS-604-604,22,1,0,0,0,23,3.956,1,0,0,0,0,24,AROSH J
VIBS-619-600,4,2,0,0,0,6,3.666,0,0,0,0,0,6,PHILLIPS T
VIBS-627-600,8,0,0,0,0,8,4.000,0,0,0,0,0,8,BURGHARDT R
VIBS-641-600,8,2,0,0,0,10,3.800,0,0,0,0,0,10,CHIU W
VIBS-650-601,26,1,0,0,0,27,3.962,0,0,0,0,0,27,RIJNKELS M
VIBS-655-601,10,0,0,0,0,10,4.000,0,0,0,0,0,10,GASTEL B
VIBS-657-600,9,0,0,0,0,9,4.000,0,0,0,0,0,9,HARTBERG Y
VIBS-660-600,6,2,0,0,0,8,3.750,0,0,0,0,0,8,GASTEL B
VIBS-688-600,3,2,0,0,0,5,3.600,0,0,0,0,0,5,MBAH M
DEPARTMENT TOTAL:,597,182,75,31,15,900,3.225,1,0,0,53,0,954,
VTPP-207-501,69,0,0,0,0,69,4.000,0,0,0,0,0,69,LYONS L
VTPP-232-502,28,0,0,0,0,28,4.000,1,0,0,0,0,29,CISNEROS M
VTPP-232-503,9,0,0,0,1,10,3.600,1,0,0,0,0,11,CISNEROS M
VTPP-234-505,40,0,0,0,0,40,4.000,0,0,0,0,0,40,LYONS L
VTPP-234-506,40,0,0,0,0,40,4.000,0,0,0,0,0,40,IVANOV I
VTPP-285-508,5,0,0,0,0,5,4.000,8,0,0,0,0,13,BLUE MCLENDON A
VTPP-323-500,5,5,5,5,4,24,2.083,0,0,0,1,0,25,BLUE MCLENDON A
VTPP-423-501,21,18,23,24,4,90,2.285,1,0,0,4,0,95,HERMAN J
VTPP-423-502,15,21,17,24,10,87,2.080,0,0,0,5,0,92,HERMAN J
VTPP-423-503,22,26,26,17,1,92,2.554,0,0,0,4,0,96,HERMAN J
VTPP-423-504,14,28,25,17,5,89,2.325,1,0,0,5,0,95,HERMAN J
VTPP-423-M01,0,3,4,1,0,8,2.250,0,0,0,0,0,8,CAVAZOS C
VTPP-425-500,5,3,2,0,0,10,3.300,0,0,0,2,0,12,HERMAN J
VTPP-427-500,15,27,33,13,6,94,2.315,2,0,0,2,0,98,NEWELL-FUGATE A
VTPP-434-501,19,39,24,3,0,85,2.870,0,0,0,0,0,85,DAVIS A
VTPP-434-502,13,29,32,4,0,78,2.653,0,0,0,3,0,81,DAVIS A
VTPP-444-500,32,0,0,0,0,32,4.000,0,0,0,0,0,32,LYONS L
VTPP-444-501,43,0,0,0,0,43,4.000,0,0,0,0,0,43,LYONS L
VTPP-485-500,25,0,0,0,0,25,4.000,0,0,0,0,0,25,CISNEROS M
VTPP-485-504,11,0,0,0,0,11,4.000,0,0,0,0,0,11,LYONS L
VTPP-485-508,5,0,0,0,0,5,4.000,19,0,0,0,0,24,BLUE MCLENDON A
VTPP-485-509,27,0,0,0,0,27,0.000,0,0,0,0,0,27,BLUE MCLENDON A
VTPP-610-603,5,3,0,0,0,8,3.625,0,0,0,0,0,8,GADDY D
VTPP-625-600,3,11,0,0,0,14,3.214,0,0,0,3,0,17,HERMAN J
VTPP-673-600,1,5,1,0,0,7,3.000,0,0,0,0,0,7,SAFE S
VTPP-685-608,5,0,0,0,0,5,4.000,0,0,0,0,0,5,BLUE MCLENDON A
DEPARTMENT TOTAL:,477,218,192,108,31,1026,2.862,33,0,0,29,0,1088,
VTMI-649-600,23,20,6,0,1,50,3.280,1,0,0,3,0,54,FARNELL M
VTMI-663-601,8,3,0,0,0,11,3.727,0,0,0,2,0,13,YANG Z
VTPB-221-500,30,44,10,0,1,85,3.200,0,0,0,4,0,89,LOGAN L
VTPB-303-550,7,0,0,0,0,7,4.000,0,0,0,0,0,7,BRIGHTSMITH D
VTPB-405-501,35,38,9,0,1,83,3.277,0,0,0,0,0,83,DABRAL N
VTPB-405-502,26,38,15,2,0,81,3.086,0,0,0,0,0,81,DABRAL N
VTPB-405-503,48,28,5,0,1,82,3.487,0,0,0,0,0,82,SUBASHCHANDRABOSE S
VTPB-405-504,37,29,8,2,0,76,3.328,0,0,0,0,0,76,SUBASHCHANDRABOSE S
VTPB-405-550,5,2,0,0,0,7,3.714,0,0,0,0,0,7,MUSSER J
VTPB-405-M01,5,3,1,0,0,9,3.444,0,0,0,0,0,9,MIRHOSSEINI N
VTPB-409-500,53,29,15,1,4,102,3.235,1,0,0,10,0,113,DABRAL N
VTPB-411-550,7,0,0,0,0,7,4.000,0,0,0,0,0,7,BRIGHTSMITH D
VTPB-438-M01,7,3,2,0,0,12,3.416,0,0,0,1,0,13,MIRHOSSEINI N
VTPB-485-506,42,0,0,0,0,42,4.000,0,0,0,0,1,43,TURNER K
VTPB-485-M01,8,0,0,0,0,8,4.000,0,0,0,0,0,8,MIRHOSSEINI N
VTPB-487-500,45,7,0,3,0,55,3.709,0,0,0,0,0,55,MULENGA A
DEPARTMENT TOTAL:,386,244,71,8,8,717,3.370,2,0,0,20,1,740,
COLLEGE TOTAL:,1483,644,338,147,54,2666,3.120,36,0,0,103,1,2806,
