Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
ATMO-201-501,31,26,22,3,0,82,3.036,1,0,0,6,0,89,CONLEE D
ATMO-201-502,97,58,10,0,0,165,3.527,1,0,0,2,0,168,LOGAN T
ATMO-201-503,25,35,15,5,1,81,2.962,0,0,0,5,0,86,SCHUMACHER C
ATMO-201-504,19,32,24,7,4,86,2.639,0,0,0,3,0,89,NIELSEN-GAMMON J
ATMO-201-505,2,8,2,1,0,13,2.846,0,0,0,0,0,13,SCHADE G
ATMO-201-506,78,81,11,0,0,170,3.394,0,0,0,0,0,170,LOGAN T
ATMO-201-507,38,36,12,0,0,86,3.302,0,0,0,1,0,87,LOGAN T
ATMO-202-501,15,5,3,0,0,23,3.521,0,0,0,0,0,23,LOGAN T
ATMO-202-502,21,2,0,0,0,23,3.913,0,0,0,0,0,23,LOGAN T
ATMO-202-504,16,3,1,0,0,20,3.750,0,0,0,2,0,22,LOGAN T
ATMO-202-505,18,5,0,0,1,24,3.625,0,0,0,0,0,24,LOGAN T
ATMO-202-508,14,7,0,0,0,21,3.666,0,0,0,1,0,22,LOGAN T
ATMO-203-501,8,7,3,0,0,18,3.277,0,0,0,0,0,18,CONLEE D
ATMO-203-502,10,7,2,0,0,19,3.421,0,0,0,0,0,19,CONLEE D
ATMO-321-500,11,6,3,0,0,20,3.400,0,0,0,1,0,21,XU Y
ATMO-324-501,9,2,2,1,2,16,2.937,0,0,0,0,0,16,NIELSEN-GAMMON J
ATMO-324-502,7,3,0,0,0,10,3.700,0,0,0,0,0,10,NIELSEN-GAMMON J
ATMO-352-501,14,3,2,0,0,19,3.631,0,0,0,0,0,19,EPIFANIO C
ATMO-352-502,2,9,0,0,0,11,3.181,0,0,0,0,0,11,EPIFANIO C
ATMO-435-501,11,11,5,2,0,29,3.068,0,0,0,0,0,29,KORTY R
ATMO-441-501,3,5,2,0,1,11,2.818,0,0,0,1,0,12,BOWMAN K
ATMO-455-500,9,3,0,0,0,12,3.750,1,0,0,0,0,13,SZUNYOGH I
ATMO-456-900,13,6,0,1,0,20,3.550,0,0,0,0,0,20,CONLEE D
ATMO-461-501,12,0,0,0,0,12,4.000,0,0,0,0,0,12,WINKLEY S
ATMO-463-500,2,3,1,0,0,6,3.166,0,0,0,0,0,6,COLLINS D
ATMO-463-900,3,3,1,1,0,8,3.000,0,0,0,0,0,8,COLLINS D
ATMO-491-530,42,0,0,0,0,42,0.000,0,1,0,0,0,43,CONLEE D
ATMO-611-600,0,5,1,0,0,6,2.833,0,0,0,0,0,6,PANETTA R
ATMO-613-600,2,2,1,0,0,5,3.200,0,0,0,0,0,5,ZHANG R
GEOS-105-500,11,26,12,2,0,51,2.901,0,0,0,2,0,53,THORNTON D
GEOS-205-500,19,3,1,0,1,24,3.625,0,0,0,0,0,24,ROARK E
GEOS-210-500,13,28,4,4,0,49,3.020,0,0,0,4,0,53,SARAVANAN R
GEOS-210-501,14,21,8,1,0,44,3.090,0,0,0,2,0,46,SARAVANAN R
GEOS-405-901,19,1,0,0,0,20,3.950,0,0,0,0,0,20,JOCHENS A
GEOS-405-902,10,6,1,0,0,17,3.529,0,0,0,0,0,17,ROARK E
GEOS-405-905,16,1,0,0,1,18,3.722,0,0,0,0,0,18,WILLIAMS T
GEOS-430-500,30,7,0,0,0,37,3.810,0,0,0,0,0,37,JOCHENS A
GEOS-444-500,12,20,9,0,0,41,3.073,1,0,0,2,0,44,SCHADE G
GEOS-470-500,4,3,1,1,0,9,3.111,0,0,0,0,0,9,DIMARCO S
GEOS-470-501,2,5,0,2,2,11,2.272,1,0,0,2,0,14,POTTER H
GEOS-481-900,7,3,1,1,0,12,3.333,0,0,0,1,0,13,RICHARDSON M
GEOS-481-901,13,0,0,0,0,13,4.000,0,0,0,0,0,13,RICHARDSON M
GEOS-489-501,18,0,0,0,0,18,4.000,0,0,0,0,0,18,JEPSON W
GEOG-201-501,48,53,14,6,1,122,3.155,0,0,0,3,0,125,WATKINS J
GEOG-201-502,8,8,3,0,1,20,3.100,0,0,0,0,0,20,SWANSON N
GEOG-201-503,103,10,5,1,1,120,3.775,0,0,0,0,0,120,THOMPSON C
GEOG-202-501,14,16,13,1,1,45,2.911,0,0,0,1,0,46,PATZEWITSCH W
GEOG-202-502,54,44,22,8,2,130,3.076,0,0,0,6,0,136,PROUT E
GEOG-202-503,26,8,2,0,0,36,3.666,0,0,0,0,0,36,PROUT E
GEOG-202-506,19,21,19,5,1,65,2.800,0,0,0,3,0,68,PATZEWITSCH W
GEOG-202-599,116,92,37,10,3,258,3.193,0,0,0,7,0,265,SMITH J
GEOG-203-501,12,17,3,0,1,33,3.181,0,0,0,2,0,35,BOMBARDI R
GEOG-203-503,47,52,41,11,0,151,2.894,1,0,0,15,0,167,FRAUENFELD O
GEOG-203-504,28,39,23,3,1,94,2.957,0,0,0,6,0,100,LAFON C
GEOG-203-505,46,64,25,8,0,143,3.034,0,0,0,6,0,149,LAFON C
GEOG-205-501,202,44,15,4,2,267,3.647,0,0,0,15,0,282,PATZEWITSCH W
GEOG-213-501,9,8,1,0,0,18,3.444,0,0,0,1,0,19,GUNERALP I
GEOG-213-502,12,5,2,2,0,21,3.285,0,0,0,0,0,21,GUNERALP I
GEOG-213-503,14,9,1,1,0,25,3.440,0,0,0,0,0,25,GUNERALP I
GEOG-213-505,14,3,1,1,0,19,3.578,0,0,0,1,0,20,GUNERALP I
GEOG-213-506,6,4,7,6,0,23,2.434,0,0,0,1,0,24,GUNERALP I
GEOG-213-508,19,4,0,0,0,23,3.826,0,0,0,1,0,24,GUNERALP I
GEOG-213-509,10,3,6,0,0,19,3.210,0,0,0,3,0,22,GUNERALP I
GEOG-213-510,15,3,3,1,0,22,3.454,0,0,0,2,0,24,GUNERALP I
GEOG-213-512,7,8,1,2,0,18,3.111,0,0,0,1,0,19,GUNERALP I
GEOG-213-516,10,1,0,1,1,13,3.384,0,0,0,0,0,13,GUNERALP I
GEOG-213-519,3,9,5,1,0,18,2.777,0,0,0,2,0,20,GUNERALP I
GEOG-213-523,9,4,1,1,1,16,3.187,0,0,0,0,0,16,GUNERALP I
GEOG-301-500,52,36,18,6,3,115,3.113,0,0,0,11,0,126,SMITH J
GEOG-304-500,31,46,20,3,4,104,2.932,1,0,0,1,0,106,SWANSON N
GEOG-305-500,31,36,17,1,0,85,3.141,0,0,0,5,0,90,PROUT E
GEOG-306-500,18,19,11,2,2,52,2.942,0,0,0,4,0,56,GUNERALP B
GEOG-312-500,29,30,7,1,2,69,3.202,0,0,0,1,0,70,MCROBERTS D
GEOG-323-500,7,8,1,1,0,17,3.235,1,0,0,0,0,18,BRANNSTROM C
GEOG-324-900,5,8,7,0,0,20,2.900,0,0,0,0,0,20,BOMBARDI R
GEOG-325-500,20,14,8,4,0,46,3.086,0,0,0,3,0,49,PROUT E
GEOG-330-500,20,39,55,9,2,125,2.528,2,0,0,14,0,141,JEPSON W
GEOG-331-500,5,9,20,3,0,37,2.432,0,0,0,5,0,42,TCHAKERIAN V
GEOG-335-500,10,18,13,2,1,44,2.772,0,0,0,0,0,44,EVANS A
GEOG-352-500,12,5,0,0,1,18,3.500,0,0,0,1,0,19,LYLE S
GEOG-352-501,13,4,2,0,0,19,3.578,0,0,0,1,0,20,LYLE S
GEOG-352-502,9,4,3,1,1,18,3.055,0,0,0,1,0,19,LYLE S
GEOG-360-500,16,27,12,4,0,59,2.932,0,0,0,0,0,59,GUNERALP I
GEOG-380-500,22,2,0,0,1,25,3.760,0,0,0,0,0,25,LOISEL J
GEOG-380-501,4,7,0,0,1,12,3.083,0,0,0,0,0,12,SWANSON N
GEOG-390-502,4,7,5,0,0,16,2.937,0,0,0,2,0,18,THOMPSON C
GEOG-390-503,6,8,2,0,1,17,3.058,0,0,0,2,0,19,THOMPSON C
GEOG-390-504,7,7,1,1,1,17,3.058,0,0,0,2,0,19,THOMPSON C
GEOG-390-505,3,4,6,0,1,14,2.571,0,0,0,1,0,15,THOMPSON C
GEOG-390-506,9,6,0,1,1,17,3.235,0,0,0,0,0,17,THOMPSON C
GEOG-390-507,9,5,3,0,0,17,3.352,0,0,0,1,0,18,THOMPSON C
GEOG-398-500,10,7,2,0,0,19,3.421,0,0,0,0,0,19,PATZEWITSCH W
GEOG-400-500,7,7,9,2,0,25,2.760,0,0,0,0,0,25,TCHAKERIAN V
GEOG-401-500,32,15,2,1,0,50,3.560,0,0,0,1,0,51,WATKINS J
GEOG-420-500,16,6,1,0,0,23,3.652,0,0,0,1,0,24,PROUT E
GEOG-430-900,22,1,0,0,0,23,3.956,0,0,0,1,0,24,DAVIS D
GEOG-440-500,13,23,5,0,0,41,3.195,0,0,0,2,0,43,SMITH J
GEOG-450-500,4,15,5,0,0,24,2.958,0,0,0,0,0,24,LAFON C
GEOG-475-501,1,3,11,2,2,19,1.947,0,0,0,1,0,20,BISHOP M
GEOG-475-502,0,10,5,1,2,18,2.277,0,0,0,1,0,19,BISHOP M
GEOG-475-503,1,5,6,2,2,16,2.062,0,0,0,3,0,19,BISHOP M
GEOG-475-504,2,4,8,2,2,18,2.111,0,0,0,1,0,19,BISHOP M
GEOG-476-900,2,3,5,1,0,11,2.545,0,0,0,6,0,17,BISHOP M
GEOG-476-901,4,10,3,1,0,18,2.944,0,0,0,0,0,18,GUNERALP B
GEOG-478-500,11,5,1,1,1,19,3.263,0,0,0,0,0,19,GOLDBERG D
GEOG-478-501,12,2,3,2,0,19,3.263,0,0,0,0,0,19,GOLDBERG D
GEOG-478-502,13,3,1,0,2,19,3.315,0,0,0,0,0,19,GOLDBERG D
GEOG-484-501,8,1,0,0,0,9,4.000,0,0,0,0,0,9,WELLMAN K
GEOG-485-517,6,0,0,0,0,6,4.000,0,0,0,0,0,6,GOLDBERG D
GEOG-491-526,11,0,0,0,0,11,4.000,0,0,0,0,0,11,LOISEL J
GEOG-611-600,5,5,0,0,0,10,3.500,2,0,0,0,0,12,O'REILLY K
GEOG-626-600,5,2,0,0,0,7,3.714,0,0,0,0,0,7,GUNERALP I
GEOG-651-775,9,4,0,0,0,13,3.692,0,0,0,0,0,13,FILIPPI A
GEOG-659-775,5,0,0,0,0,5,4.000,0,0,0,0,0,5,LYLE S
GEOG-660-600,14,0,0,0,0,14,4.000,0,0,0,0,0,14,THOMPSON C
GEOG-660-775,14,3,0,0,0,17,3.823,0,0,0,1,1,19,KLEIN A
GEOG-662-775,10,0,0,0,0,10,4.000,0,0,0,0,0,10,LYLE S
GEOG-665-701,15,3,0,0,0,18,3.833,0,0,0,1,0,19,FILIPPI A
GEOG-665-775,5,3,1,0,0,9,3.444,0,0,0,0,0,9,FILIPPI A
GEOG-689-775,10,0,0,0,0,10,4.000,0,0,0,0,0,10,LYLE S
GEOG-695-600,5,0,0,0,0,5,4.000,0,0,0,0,0,5,GOLDBERG D
GEOL-101-501,22,44,15,1,0,82,3.060,1,0,0,0,0,83,MILLER B
GEOL-101-503,19,24,28,9,1,81,2.629,0,0,0,2,0,83,DUAN B
GEOL-101-599,21,65,30,12,2,130,2.700,0,0,0,7,0,137,TORREZ B
GEOL-102-501,6,9,2,0,1,18,3.055,0,0,0,0,0,18,SPARKS D
GEOL-102-502,6,11,2,0,0,19,3.210,0,0,0,0,0,19,SPARKS D
GEOL-102-503,7,7,2,0,1,17,3.117,0,0,0,1,0,18,SPARKS D
GEOL-102-504,7,12,1,0,0,20,3.300,0,0,0,0,0,20,SPARKS D
GEOL-102-505,8,9,3,0,0,20,3.250,0,0,0,1,0,21,SPARKS D
GEOL-102-506,6,14,0,0,0,20,3.300,0,0,0,1,0,21,SPARKS D
GEOL-102-507,9,10,2,0,0,21,3.333,0,0,0,0,0,21,SPARKS D
GEOL-102-508,6,11,1,0,0,18,3.277,0,0,0,0,0,18,SPARKS D
GEOL-102-509,6,9,1,1,0,17,3.176,0,0,0,1,0,18,SPARKS D
GEOL-104-501,4,9,2,2,0,17,2.882,0,0,0,0,0,17,KRONENBERG A
GEOL-104-502,5,11,2,0,0,18,3.166,0,0,0,0,0,18,KRONENBERG A
GEOL-104-503,2,8,4,2,0,16,2.625,0,0,0,0,0,16,KRONENBERG A
GEOL-104-504,3,5,5,0,0,13,2.846,1,0,0,1,0,15,KRONENBERG A
GEOL-106-501,10,4,1,0,1,16,3.375,0,0,0,0,0,16,YANCEY T
GEOL-106-502,10,3,1,0,0,14,3.642,0,0,0,0,0,14,YANCEY T
GEOL-152-501,4,6,8,1,1,20,2.550,0,0,0,1,0,21,PEREZ N
GEOL-152-502,9,7,6,1,0,23,3.043,0,0,0,0,0,23,PEREZ N
GEOL-152-503,7,2,4,0,0,13,3.230,0,0,0,0,0,13,PEREZ N
GEOL-180-500,23,2,0,0,1,26,3.769,0,0,0,0,0,26,SPARKS D
GEOL-203-502,2,7,6,1,0,16,2.625,0,0,0,0,0,16,BALTA J
GEOL-210-901,8,6,1,0,1,16,3.250,0,0,0,0,0,16,RIGGS E
GEOL-210-902,6,5,1,1,2,15,2.800,0,0,0,0,0,15,RIGGS E
GEOL-250-501,3,9,4,0,0,16,2.937,0,0,0,0,0,16,POPE M
GEOL-250-502,9,9,0,0,0,18,3.500,0,0,0,0,0,18,POPE M
GEOL-250-503,3,9,1,1,0,14,3.000,0,0,0,0,0,14,POPE M
GEOL-289-500,7,5,1,0,0,13,3.461,0,1,0,0,0,14,DONOVAN A
GEOL-304-501,1,6,7,1,1,16,2.312,0,0,0,1,0,17,BALTA J
GEOL-304-502,1,5,1,0,0,7,3.000,0,0,0,0,0,7,BALTA J
GEOL-304-503,3,4,7,2,0,16,2.500,0,0,0,0,0,16,BALTA J
GEOL-304-504,11,5,1,1,0,18,3.444,0,0,0,1,0,19,BALTA J
GEOL-305-501,5,12,2,0,1,20,3.000,0,0,0,0,0,20,BELANGER C
GEOL-305-502,3,4,4,0,0,11,2.909,0,0,0,0,0,11,BELANGER C
GEOL-305-503,4,12,3,2,0,21,2.857,0,0,0,0,0,21,BELANGER C
GEOL-306-501,5,6,4,2,0,17,2.823,0,0,0,2,0,19,EWING R
GEOL-306-502,0,7,4,2,1,14,2.214,0,0,0,0,0,14,EWING R
GEOL-309-501,6,4,3,0,0,13,3.230,0,0,0,0,0,13,POPE M
GEOL-309-502,4,7,2,0,0,13,3.153,1,0,0,0,0,14,POPE M
GEOL-311-901,16,4,0,0,0,20,3.800,2,0,0,2,0,24,CHESTER J
GEOL-311-903,7,2,2,1,0,12,3.250,0,0,0,2,0,14,BAPST D
GEOL-311-904,10,1,0,0,0,11,3.909,0,0,0,0,0,11,REECE R
GEOL-312-503,4,6,3,0,0,13,3.076,0,0,0,0,0,13,CHESTER F
GEOL-312-504,6,12,1,0,0,19,3.263,0,0,0,0,0,19,CHESTER F
GEOL-312-505,4,7,3,0,0,14,3.071,0,0,0,0,0,14,CHESTER F
GEOL-312-506,4,2,5,1,0,12,2.750,0,0,0,0,0,12,CHESTER F
GEOL-312-901,1,11,3,2,0,17,2.647,0,0,0,0,0,17,NEWMAN J
GEOL-312-902,5,7,4,1,0,17,2.941,0,0,0,0,0,17,NEWMAN J
GEOL-330-509,11,0,0,0,0,11,4.000,0,0,0,3,0,14,POPE M
GEOL-404-501,9,8,0,1,1,19,3.210,0,0,0,0,0,19,SUN Y
GEOL-404-502,10,8,2,0,0,20,3.400,0,0,0,0,0,20,SUN Y
GEOL-404-503,3,8,2,1,1,15,2.733,0,0,0,0,0,15,SUN Y
GEOL-404-504,4,9,2,1,0,16,3.000,0,0,0,0,0,16,SUN Y
GEOL-404-505,4,12,2,0,0,18,3.111,0,0,0,0,0,18,SUN Y
GEOL-404-506,4,6,1,1,0,12,3.083,0,0,0,1,0,13,SUN Y
GEOL-410-500,3,7,4,0,0,14,2.928,0,0,0,0,0,14,ZHAN H
GEOL-410-501,5,7,3,0,3,18,2.611,0,0,0,2,0,20,ZHAN H
GEOL-410-502,4,5,6,3,0,18,2.555,0,0,0,0,0,18,ZHAN H
GEOL-420-901,2,6,2,0,0,10,3.000,0,0,0,0,0,10,GIARDINO J
GEOL-420-902,6,4,0,0,0,10,3.600,0,0,0,0,0,10,GIARDINO J
GEOL-420-903,3,6,1,0,0,10,3.200,0,0,0,0,0,10,GIARDINO J
GEOL-420-970,5,5,0,0,0,10,3.500,0,0,0,0,0,10,GIARDINO J
GEOL-451-501,2,5,2,1,1,11,2.545,0,0,0,0,0,11,MARCANTONIO F
GEOL-451-502,7,4,11,0,0,22,2.818,0,0,0,0,0,22,MARCANTONIO F
GEOL-451-503,3,10,4,3,0,20,2.650,0,0,0,0,0,20,MARCANTONIO F
GEOL-451-505,2,7,4,4,0,17,2.411,0,0,0,1,0,18,MARCANTONIO F
GEOL-451-506,4,3,5,3,0,15,2.533,0,0,0,0,0,15,MARCANTONIO F
GEOL-451-507,3,4,2,0,0,9,3.111,0,0,0,0,0,9,MARCANTONIO F
GEOL-491-511,8,0,0,0,0,8,4.000,0,0,0,0,0,8,BALTA J
GEOL-491-513,5,0,0,0,0,5,4.000,1,0,0,1,0,7,MILLER B
GEOL-491-527,4,1,0,0,0,5,3.333,0,0,0,0,0,5,PEREZ N
GEOL-491-536,7,0,0,0,0,7,4.000,0,0,0,0,0,7,POPE M
GEOL-610-600,6,1,1,1,0,9,3.333,0,0,0,0,0,9,KNAPPETT P
GEOL-619-601,5,1,0,0,0,6,3.833,0,0,0,1,0,7,SUN Y
GEOL-643-600,5,1,1,0,0,7,3.571,0,0,0,0,0,7,LAMB W
GEOL-647-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,MILLER B
GEOL-658-600,7,0,0,0,0,7,4.000,0,0,0,0,0,7,GROSSMAN E
GEOL-665-600,3,2,0,0,0,5,3.600,1,0,0,0,0,6,KRONENBERG A
GEOL-685-626,7,0,0,0,0,7,4.000,0,0,0,0,0,7,EWING R
GEOL-689-775,11,0,0,0,1,12,3.666,0,0,0,0,0,12,RIGGS E
GEOP-313-500,15,2,1,0,0,18,3.777,0,0,0,0,0,18,EVERETT M
GEOP-421-501,3,4,1,2,0,10,2.800,0,0,0,0,0,10,DUAN B
GEOP-470-500,16,25,13,5,1,60,2.833,1,0,0,1,1,63,SPARKS D
GEOP-491-525,11,1,0,0,0,12,3.875,0,0,0,0,0,12,EVERETT M
GEOP-689-775,18,2,0,0,0,20,3.900,0,0,0,2,0,22,BENAVIDES IGLESIAS
OCNG-251-202,7,3,1,0,0,11,3.545,0,0,0,0,0,11,BROOKS D
OCNG-251-503,12,5,1,0,0,18,3.611,0,0,0,1,0,19,WIEDERWOHL C
OCNG-251-504,30,10,7,1,1,49,3.367,0,0,0,1,0,50,STOESSEL A
OCNG-251-505,33,37,16,4,0,90,3.100,0,0,0,8,0,98,BROOKS D
OCNG-251-506,12,18,9,2,2,43,2.837,0,0,0,7,0,50,BROOKS D
OCNG-251-507,43,42,9,2,1,97,3.278,0,0,0,1,0,98,GIESE B
OCNG-251-508,0,3,5,1,1,10,2.000,0,0,0,1,0,11,CHAPMAN P
OCNG-251-509,9,16,14,2,1,42,2.714,0,1,0,17,0,60,RICHARDSON M
OCNG-251-510,14,16,14,2,0,46,2.913,0,0,0,1,0,47,GARDNER W
OCNG-251-511,42,18,8,0,0,68,3.500,0,0,0,0,0,68,KOENIG S
OCNG-251-598,46,53,34,9,0,142,2.957,0,0,0,6,0,148,SYLVAN J
OCNG-251-599,15,37,18,5,1,76,2.789,0,0,0,2,0,78,FITZSIMMONS J
OCNG-252-501,16,4,0,0,0,20,3.800,0,0,0,0,0,20,WIEDERWOHL C
OCNG-252-502,17,2,1,0,0,20,3.800,0,0,0,0,0,20,WIEDERWOHL C
OCNG-252-503,11,4,2,2,0,19,3.263,0,0,0,1,0,20,WIEDERWOHL C
OCNG-252-504,9,4,0,0,0,13,3.692,0,0,0,0,0,13,WIEDERWOHL C
OCNG-252-505,6,9,3,2,0,20,2.950,0,0,0,0,0,20,WIEDERWOHL C
OCNG-252-506,17,2,0,0,0,19,3.894,0,0,0,0,0,19,WIEDERWOHL C
OCNG-252-507,9,7,1,1,0,18,3.333,0,0,0,1,0,19,WIEDERWOHL C
OCNG-252-508,11,6,2,0,0,19,3.473,0,0,0,0,0,19,WIEDERWOHL C
OCNG-252-509,19,0,0,0,0,19,4.000,0,0,0,0,0,19,WIEDERWOHL C
OCNG-252-510,10,0,0,0,0,10,4.000,0,0,0,0,0,10,WIEDERWOHL C
OCNG-252-513,8,8,3,0,0,19,3.263,0,0,0,0,0,19,WIEDERWOHL C
OCNG-350-500,44,6,0,0,0,50,3.880,0,0,0,0,0,50,YVON-LEWIS S
OCNG-410-500,12,5,2,5,0,24,3.000,0,0,0,4,0,28,ORSI A
OCNG-410-900,3,4,0,0,1,8,3.000,0,0,0,1,0,9,STOESSEL A
OCNG-420-500,10,10,6,1,0,27,3.074,0,0,0,1,0,28,CAMPBELL L
OCNG-430-500,20,8,3,0,1,32,3.437,0,0,0,0,0,32,ZHANG Y
OCNG-440-500,5,2,0,0,0,7,3.714,0,0,0,0,0,7,YVON-LEWIS S
OCNG-443-500,5,0,0,0,0,5,4.000,0,0,0,0,0,5,GOLD BOUCHOT G
OCNG-451-500,26,15,4,1,0,46,3.434,0,0,0,1,0,47,GIESE B
OCNG-469-500,4,2,1,0,0,7,3.428,1,0,0,0,0,8,THYNG K
OCNG-603-600,4,1,0,0,0,5,3.800,0,0,0,0,0,5,SHAMBERGER K
OCNG-603-601,5,3,0,0,0,8,3.625,0,0,0,0,0,8,SHAMBERGER K
OCNG-608-600,13,3,2,0,0,18,3.611,0,0,0,0,0,18,STOESSEL A
OCNG-620-600,3,4,1,0,0,8,3.250,0,0,0,1,0,9,THORNTON D
OCNG-620-650,3,2,0,0,0,5,3.600,0,0,0,0,0,5,THORNTON D
OCNG-630-600,12,6,0,0,0,18,3.666,0,0,0,0,0,18,SLOWEY N
OCNG-656-600,5,1,0,0,0,6,3.833,0,0,0,0,0,6,WIEDERWOHL C
OCNG-657-600,8,4,0,0,2,14,3.142,0,0,0,0,0,14,DIMARCO S
OCNG-669-600,12,1,0,0,0,13,3.923,0,0,0,0,0,13,THYNG K
OCNG-689-601,7,0,0,0,0,7,4.000,0,0,0,0,0,7,ZHANG Y
OCNG-689-602,5,0,0,0,0,5,4.000,0,0,0,0,0,5,HETLAND R
OCNG-689-650,2,3,0,0,0,5,3.400,0,0,0,0,0,5,GOLD BOUCHOT G
DEPARTMENT TOTAL:,604,384,167,40,11,1206,3.235,1,1,0,55,0,1263
COLLEGE TOTAL:,3358,2519,1119,272,95,7363,3.151,21,3,0,275,2,7664
