Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
ANTH-201-501,8,22,20,5,4,59,2.423,0,1,0,6,0,66,ALVARD M
ANTH-201-599,14,44,34,6,4,102,2.568,0,0,0,15,0,117,BRYANT V
ANTH-202-500,8,11,18,5,0,42,2.523,0,0,0,0,0,42,WATERS M
ANTH-204-500,5,6,6,1,1,19,2.684,0,0,0,1,0,20,GRAF K
ANTH-205-501,68,53,10,1,0,132,3.424,0,0,0,2,0,134,VIEIRA DE CASTRO L
ANTH-205-502,62,37,17,3,1,120,3.300,1,0,0,3,0,124,LYNCH D
ANTH-205-503,63,39,17,3,0,122,3.327,1,0,0,0,0,123,LYNCH D
ANTH-205-504,87,22,7,2,3,121,3.553,0,0,0,1,0,122,SMITH M
ANTH-205-506,21,17,12,2,0,52,3.096,0,0,0,2,0,54,BORD A
ANTH-205-507,60,11,5,2,1,79,3.607,0,0,0,1,0,80,DOZIER C
ANTH-205-508,6,15,6,1,0,28,2.928,0,0,0,1,0,29,BURKE A
ANTH-205-599,16,51,48,13,8,136,2.397,0,0,0,29,0,165,BRYANT V
ANTH-210-501,30,23,3,2,0,58,3.338,0,0,1,0,0,59,KENNEDY C
ANTH-210-502,21,4,4,0,0,29,3.586,0,0,0,0,0,29,DEMPSEY A
ANTH-225-501,7,10,8,4,1,30,2.600,3,0,0,1,0,34,ATHREYA S
ANTH-225-599,5,6,11,3,1,26,2.423,1,0,0,2,0,29,GURSKY S
ANTH-226-501,7,2,0,0,0,9,3.777,0,0,0,0,0,9,HODGES S
ANTH-226-502,11,3,1,0,0,15,3.666,1,0,0,0,0,16,ACHORN A
ANTH-229-500,5,8,7,0,1,21,2.761,0,0,0,0,0,21,GREEN T
ANTH-301-500,2,3,2,1,0,8,2.750,0,0,0,1,0,9,THOMS A
ANTH-305-900,4,15,3,0,1,23,2.913,0,0,0,1,0,24,LINDERHOLM A
ANTH-312-500,5,8,4,3,1,21,2.619,0,0,0,1,0,22,DE RUITER D
ANTH-316-501,22,10,19,6,0,57,2.842,0,0,0,2,0,59,PULAK C
ANTH-317-500,10,17,23,7,0,57,2.526,0,0,0,5,0,62,WACHSMANN S
ANTH-324-201,8,0,0,0,0,8,4.000,0,0,0,0,0,8,BUSTOS I
ANTH-324-501,28,8,2,1,0,39,3.615,0,0,0,0,0,39,BUSTOS I
ANTH-324-502,88,29,5,0,0,122,3.680,0,0,0,0,0,122,BUSTOS I
ANTH-324-504,96,25,5,0,0,126,3.722,0,0,0,0,0,126,BUSTOS I
ANTH-340-500,15,6,3,0,0,24,3.500,0,0,0,2,0,26,GREEN T
ANTH-350-900,3,7,7,3,0,20,2.500,0,0,0,0,0,20,LINDERHOLM A
ANTH-360-500,18,8,0,0,1,27,3.555,0,0,0,0,0,27,CARLSON D
ANTH-370-900,20,5,0,0,0,25,3.800,0,0,0,0,0,25,LAPORTE C
ANTH-370-901,21,4,0,0,0,25,3.840,0,0,0,0,0,25,LAPORTE C
ANTH-370-902,22,2,0,0,0,24,3.916,0,0,0,1,0,25,LAPORTE C
ANTH-370-903,22,2,0,0,1,25,3.760,0,0,0,0,0,25,LAPORTE C
ANTH-370-904,23,1,0,0,1,25,3.800,0,0,0,0,0,25,LAPORTE C
