Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
AERS-102-501,19,9,0,0,0,28,3.678,0,0,0,0,0,28,TATER C
AERS-102-502,18,12,0,0,0,30,3.600,0,0,0,0,0,30,TATER C
AERS-102-503,22,7,0,0,0,29,3.758,0,0,0,0,0,29,TATER C
AERS-102-504,23,5,0,0,0,28,3.821,0,0,0,0,0,28,TATER C
AERS-102-505,22,7,1,0,0,30,3.700,0,0,0,0,0,30,TATER C
AERS-102-506,13,1,0,0,0,14,3.928,0,0,0,1,0,15,TATER C
AERS-102-507,23,7,0,0,0,30,3.766,0,0,0,0,0,30,TATER C
AERS-102-508,19,9,0,0,0,28,3.678,0,0,0,0,0,28,TATER C
AERS-102-509,15,6,1,0,0,22,3.636,0,0,0,0,0,22,TATER C
AERS-102-510,23,3,0,0,0,26,3.884,0,0,0,0,0,26,TATER C
AERS-202-501,7,6,0,0,1,14,3.285,0,0,0,0,0,14,PETTIT B
AERS-202-502,19,5,0,0,0,24,3.791,0,0,0,0,0,24,PETTIT B
AERS-202-503,23,10,0,0,0,33,3.696,0,0,0,0,0,33,PETTIT B
AERS-202-505,14,2,0,0,0,16,3.875,0,0,0,0,0,16,PETTIT B
AERS-202-506,13,10,0,0,0,23,3.565,0,0,0,0,0,23,PETTIT B
AERS-304-501,27,0,0,0,0,27,4.000,0,0,0,0,0,27,STANTON J
AERS-304-502,30,0,0,0,0,30,4.000,0,0,0,0,0,30,STANTON J
AERS-304-503,30,0,0,0,0,30,4.000,0,0,0,0,0,30,STANTON J
AERS-404-501,16,3,0,0,1,20,3.650,0,0,0,0,0,20,COLLINS T
AERS-404-502,22,2,0,0,0,24,3.916,0,0,0,0,0,24,COLLINS T
AERS-404-504,19,1,0,0,0,20,3.950,0,0,0,0,0,20,COLLINS T
SOMS-111-501,7,2,0,0,0,9,3.777,0,0,0,0,0,9,QUIN C
SOMS-180-512,7,2,0,0,0,9,3.777,0,0,0,0,0,9,DULKE M
SOMS-180-513,14,0,0,0,0,14,4.000,0,0,0,0,0,14,NORRIS D
SOMS-280-507,46,0,0,0,0,46,4.000,0,0,0,0,0,46,GARDNER J
SOMS-280-508,32,11,2,0,0,45,3.666,0,0,0,0,0,45,FLEMING J
SOMS-280-509,18,10,2,1,1,32,3.343,0,0,0,0,0,32,FELTS T
SOMS-280-510,23,11,6,1,0,41,3.365,0,0,0,1,0,42,SCHLATHER B
SOMS-280-511,29,11,0,0,0,40,3.725,0,0,0,0,0,40,FELTS T
SOMS-280-512,22,20,1,0,0,43,3.488,0,0,0,0,0,43,FELTS T
SOMS-280-513,35,7,2,0,0,44,3.750,0,0,0,1,0,45,HAUFFE F
