Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
CEHD-603-600,5,2,0,0,0,7,3.714,0,0,0,0,0,7,GOODSON P
DEPARTMENT TOTAL:,5,2,0,0,0,7,3.714,0,0,0,0,0,7,
EDAD-601-600,7,0,0,0,0,7,4.000,0,0,0,0,0,7,HAYNES DAVISON C
EDAD-605-700,44,2,0,0,1,47,3.872,0,0,0,0,0,47,IRBY B
EDAD-606-700,24,2,1,0,0,27,3.851,0,0,0,0,0,27,FAHRENWALD C
EDAD-608-700,27,0,0,0,0,27,4.000,0,0,0,0,0,27,POENITZSCH N
EDAD-609-700,28,0,0,0,0,28,4.000,0,0,0,0,0,28,POENITZSCH N
EDAD-610-600,19,0,0,0,0,19,4.000,0,0,0,1,0,20,BROWN J
EDAD-611-602,18,0,0,0,0,18,4.000,0,0,0,0,0,18,NELSON B
EDAD-616-600,10,0,0,0,0,10,4.000,0,0,0,0,0,10,SAAVEDRA A
EDAD-618-600,18,0,0,0,0,18,4.000,0,0,0,0,0,18,LECHUGA V
EDAD-624-700,27,1,0,0,0,28,3.964,0,0,0,0,0,28,FAHRENWALD C
EDAD-625-600,10,0,0,0,0,10,4.000,0,0,0,0,0,10,DIXON N
EDAD-635-700,47,0,0,0,0,47,4.000,0,0,0,0,0,47,WEBB-JOHNSON G
EDAD-638-700,28,0,0,0,0,28,4.000,0,0,0,0,0,28,WEBB-JOHNSON G
EDAD-650-600,17,0,0,0,0,17,4.000,0,0,0,0,0,17,BAILEY K
EDAD-652-600,11,2,0,0,0,13,3.846,0,0,0,0,0,13,SAAVEDRA A
EDAD-658-600,16,2,0,0,0,18,3.888,0,0,0,0,0,18,ROBERTS D
EDAD-670-600,18,3,0,0,0,21,3.857,0,0,0,0,0,21,BAILEY K
EDAD-683-600,16,0,0,0,0,16,4.000,0,0,0,0,0,16,LECHUGA V
EDAD-687-700,10,2,0,0,0,12,3.833,0,0,0,0,0,12,LUEVANOS E
EDAD-688-600,3,1,1,0,0,5,3.400,0,0,0,0,0,5,BOWEN D
EDAD-689-600,10,0,0,0,0,10,4.000,1,0,0,0,0,11,STANLEY C
EHRD-203-501,24,12,2,1,2,41,3.341,0,0,0,0,0,41,MARK C
EHRD-203-502,35,5,2,0,0,42,3.785,0,0,0,0,0,42,MARK C
EHRD-210-501,33,4,0,0,0,37,3.891,0,0,0,0,0,37,KIBLER M
EHRD-210-599,31,3,5,0,0,39,3.666,0,0,0,1,0,40,MCNAUGHTEN D
EHRD-315-500,26,4,1,0,1,32,3.687,0,0,0,0,0,32,MARK C
EHRD-315-599,23,10,1,0,0,34,3.647,0,0,0,1,0,35,MARK C
EHRD-371-901,17,5,3,0,3,28,3.178,0,0,0,0,0,28,RICKETTS C
EHRD-371-920,27,1,2,0,0,30,3.833,0,0,0,0,0,30,SANTOS R
EHRD-371-921,22,1,4,2,1,30,3.366,0,0,0,0,0,30,SANTOS R
EHRD-372-599,28,8,1,1,1,39,3.564,0,0,0,1,0,40,MUYIA M
EHRD-374-501,26,5,0,0,0,31,3.838,0,0,0,0,0,31,MUYIA M
EHRD-374-598,23,11,4,0,0,38,3.500,0,0,0,1,0,39,MUYIA M
EHRD-374-599,7,7,2,0,0,16,3.312,0,0,0,0,0,16,MUYIA M
EHRD-391-501,15,10,7,1,0,33,3.181,0,0,0,2,0,35,SANDLIN J
EHRD-391-502,18,12,3,2,1,36,3.222,0,0,0,0,0,36,SANDLIN J
EHRD-405-598,33,5,1,0,1,40,3.725,0,0,0,0,0,40,FERGUSON-CAMMARATA
EHRD-405-599,21,14,2,1,0,38,3.447,0,1,0,1,0,40,FERGUSON-CAMMARATA
EHRD-408-500,12,9,1,1,0,23,3.391,0,0,0,0,0,23,PONJUAN L
EHRD-408-550,17,4,2,1,0,24,3.541,0,0,0,3,0,27,SANDLIN J
EHRD-413-500,14,9,3,0,0,26,3.423,0,0,0,0,0,26,MCDONALD W
EHRD-413-501,22,2,2,0,0,26,3.769,0,0,0,0,0,26,HUTCHINS N
EHRD-477-500,29,3,1,1,0,34,3.764,0,0,0,0,0,34,SMITH B
EHRD-477-599,23,8,5,1,1,38,3.342,0,0,0,1,0,39,SMITH B
EHRD-481-500,35,2,1,0,0,38,3.894,0,0,0,0,0,38,FOWLER R
EHRD-481-501,30,6,3,0,0,39,3.692,0,0,0,0,0,39,FOWLER R
EHRD-490-901,9,12,5,0,1,27,3.037,0,0,0,0,0,27,SANDLIN J
EHRD-490-902,28,2,0,0,0,30,3.933,0,0,0,0,0,30,PONJUAN L
EHRD-490-970,3,2,0,0,0,5,3.600,0,0,0,0,0,5,SANDLIN J
EHRD-603-700,14,2,1,0,0,17,3.764,0,0,0,0,0,17,DOOLEY L
EHRD-605-600,20,1,0,0,0,21,3.952,0,0,0,0,0,21,DOOLEY L
EHRD-612-600,19,1,0,0,1,21,3.761,0,0,0,0,0,21,WANG J
EHRD-613-700,25,0,0,0,0,25,4.000,0,0,0,0,0,25,DIRANI K
EHRD-614-700,21,2,0,0,0,23,3.913,0,0,0,1,1,25,BEYERLEIN M
EHRD-616-699,5,0,0,0,0,5,4.000,0,0,0,0,0,5,ROUMELL E
EHRD-616-700,13,2,1,0,0,16,3.750,0,0,0,1,2,19,ROUMELL E
EHRD-619-600,7,0,0,0,0,7,4.000,0,0,0,0,0,7,WATSON N
EHRD-624-700,21,2,0,0,0,23,3.913,0,0,0,0,0,23,OPENGART R
EHRD-625-600,19,2,0,0,0,21,3.904,0,0,0,1,0,22,BEYERLEIN M
EHRD-630-700,20,0,1,0,0,21,3.904,0,0,0,1,0,22,ROUMELL E
EHRD-631-700,12,1,1,0,0,14,3.785,0,0,0,0,0,14,BAUMGARTNER L
