Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
CHEM-102-200,4,5,2,0,0,11,3.181,0,0,0,0,0,11,GALAN J
CHEM-102-401,18,22,18,9,1,68,2.691,0,0,0,3,0,71,TOWNSEND G
CHEM-102-402,5,8,5,7,7,32,1.906,0,0,0,8,0,40,NAIR R
CHEM-102-403,6,3,9,10,5,33,1.848,0,0,0,6,0,39,NAIR R
CHEM-106-401,7,8,2,2,0,19,3.052,0,0,0,0,0,19,TOWNSEND G
CHEM-107-401,1,7,18,14,6,46,1.630,0,0,0,6,0,52,NAIR R
CHEM-111-401,0,2,7,3,3,15,1.533,0,0,0,1,0,16,TOWNSEND G
CHEM-111-403,4,4,5,1,1,15,2.600,0,0,0,0,0,15,TOWNSEND G
CHEM-112-200,5,4,1,0,0,10,3.400,0,0,0,0,0,10,TOWNSEND G
CHEM-112-401,4,8,0,2,1,15,2.800,0,0,0,2,0,17,TOWNSEND G
CHEM-112-402,2,4,3,3,2,14,2.071,0,0,0,0,0,14,TOWNSEND G
CHEM-112-403,0,8,8,0,0,16,2.500,0,0,0,0,0,16,TOWNSEND G
CHEM-112-404,7,6,1,1,1,16,3.062,0,0,0,0,0,16,TOWNSEND G
CHEM-112-407,8,3,2,1,0,14,3.285,0,0,0,0,0,14,TOWNSEND G
CHEM-112-408,4,8,0,2,1,15,2.800,0,0,0,0,0,15,TOWNSEND G
CHEM-112-409,6,8,1,0,0,15,3.333,0,0,0,0,0,15,TOWNSEND G
CHEM-112-410,1,1,5,3,1,11,1.818,0,0,0,0,0,11,TOWNSEND G
CHEM-112-411,4,4,4,0,0,12,3.000,0,0,0,0,0,12,TOWNSEND G
CHEM-116-401,4,3,2,0,0,9,3.222,0,0,0,0,0,9,TOWNSEND G
CHEM-117-401,0,3,10,4,3,20,1.650,0,0,0,0,0,20,TOWNSEND G
CHEM-117-402,1,2,2,3,1,9,1.888,0,0,0,0,0,9,TOWNSEND G
CHEM-117-403,0,7,4,2,3,16,1.937,0,0,0,1,0,17,TOWNSEND G
CHEM-227-401,2,4,9,6,0,21,2.095,0,0,0,3,0,24,ARONSON C
CHEM-228-401,6,20,13,10,5,54,2.222,0,0,0,2,0,56,MOSER M
CHEM-237-401,7,2,0,0,0,9,3.777,0,0,0,0,0,9,PERRIGO J
CHEM-237-402,3,3,2,1,0,9,2.888,0,0,0,0,0,9,PERRIGO J
CHEM-238-402,8,3,3,1,0,15,3.200,0,0,0,0,0,15,PERRIGO J
CHEM-238-403,9,4,3,0,0,16,3.375,0,0,0,0,0,16,TOWNSEND G
CHEM-238-404,4,8,2,1,0,15,3.000,0,0,0,0,0,15,TOWNSEND G
CHEM-238-405,1,7,3,1,0,12,2.666,0,0,0,0,0,12,TOWNSEND G
CHEM-238-406,4,10,2,0,0,16,3.125,0,0,0,0,0,16,TOWNSEND G
CHEM-238-407,12,3,0,0,0,15,3.800,0,0,0,0,0,15,TOWNSEND G
CHEM-322-401,6,3,2,0,0,11,3.363,0,0,0,0,0,11,GALAN J
MATH-140-401,5,4,8,1,3,21,2.333,0,0,0,6,0,27,ACERO-SCHERTZER C
MATH-140-402,1,2,4,4,1,12,1.833,0,0,0,0,0,12,PANGEMANAN A
MATH-140-403,4,4,2,4,5,19,1.894,0,0,0,4,0,23,ACERO-SCHERTZER C
MATH-140-404,0,1,1,3,2,7,1.142,0,0,0,2,0,9,ACERO-SCHERTZER C
MATH-141-401,1,1,5,2,0,9,2.111,0,0,0,5,0,14,PANGEMANAN A
MATH-142-401,7,15,10,6,1,39,2.538,1,0,0,9,0,49,QIU L
MATH-142-402,6,3,13,5,3,30,2.133,0,0,0,4,0,34,ACERO-SCHERTZER C
MATH-142-403,1,9,8,2,2,22,2.227,1,0,0,6,0,29,RAVANDI A
MATH-142-404,4,4,6,3,4,21,2.047,0,0,0,2,0,23,RAVANDI A
MATH-142-405,3,2,9,7,5,26,1.653,1,0,0,5,0,32,QIU L
MATH-142-406,3,1,9,8,10,31,1.322,0,0,0,6,0,37,ACERO-SCHERTZER C
MATH-150-401,4,5,4,4,0,17,2.529,0,0,0,6,0,23,PANGEMANAN A
MATH-151-401,7,4,4,2,0,17,2.941,0,0,0,2,0,19,BROWN P
MATH-151-402,1,4,7,3,0,15,2.200,0,0,0,0,0,15,BROWN P
MATH-151-403,5,9,7,2,0,23,2.739,0,0,0,3,1,27,QIU L
MATH-151-404,7,6,7,3,1,24,2.625,0,0,0,2,0,26,QIU L
MATH-151-405,4,9,4,7,0,24,2.416,0,0,0,1,0,25,WARREN J
MATH-151-406,11,3,6,0,1,21,3.095,0,0,0,1,0,22,WARREN J
MATH-151-409,5,6,3,4,2,20,2.400,0,0,0,3,0,23,QIU L
MATH-151-410,4,3,11,3,1,22,2.272,0,0,0,1,0,23,QIU L
MATH-152-401,7,4,12,0,0,23,2.782,0,0,0,2,0,25,SUEN C
MATH-152-402,10,6,8,0,0,24,3.083,0,0,0,1,0,25,SUEN C
MATH-152-403,0,9,5,1,0,15,2.533,0,0,0,0,0,15,KANG C
