Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
ARCH-206-500,8,6,1,0,1,16,3.250,0,0,0,0,0,16,STEWART K
ARCH-206-501,16,0,0,0,0,16,4.000,0,0,0,0,0,16,TATE J
ARCH-206-502,9,3,2,1,0,15,3.333,0,0,0,0,0,15,CATAO CARTAXO
ARCH-206-503,6,9,0,0,0,15,3.400,0,0,0,0,0,15,MCINTOSH N
ARCH-206-504,14,0,0,0,0,14,4.000,0,0,0,0,0,14,LUTZ S
ARCH-206-505,11,3,2,0,0,16,3.562,0,0,0,0,0,16,DE LIMA VAZ XAVIER
ARCH-212-500,19,21,4,3,1,48,3.125,0,0,0,0,0,48,LU Z
ARCH-212-501,5,9,2,0,0,16,3.187,0,0,0,1,0,17,LU Z
ARCH-213-500,96,13,5,3,2,119,3.663,0,0,0,0,0,119,LIU D
ARCH-213-501,19,4,1,1,1,26,3.500,0,0,0,0,0,26,SAMADI S
ARCH-216-500,13,2,0,0,1,16,3.625,0,0,0,1,0,17,TUZUN CANADINC S
ARCH-216-501,7,5,3,0,0,15,3.266,0,0,0,0,0,15,LOUIE J
ARCH-249-201,2,3,0,0,0,5,3.400,0,0,0,1,0,6,GLOWACKI K
ARCH-249-503,30,57,34,7,3,131,2.793,0,0,0,0,0,131,GLOWACKI K
ARCH-249-504,17,14,9,3,0,43,3.046,0,0,0,0,0,43,GLOWACKI K
ARCH-249-700,94,34,8,2,1,139,3.568,1,0,0,0,0,140,CAFFEY S
ARCH-250-501,45,29,12,3,2,91,3.230,1,0,0,0,0,92,KLEIN N
ARCH-250-502,23,6,0,1,2,32,3.468,0,0,0,0,0,32,KLEIN N
ARCH-250-503,12,13,6,3,0,34,3.000,0,0,0,0,0,34,STEWART Z
ARCH-250-700,99,32,13,0,2,146,3.547,0,0,0,1,0,147,CAMPAGNOL G
ARCH-250-701,71,29,7,1,0,108,3.574,0,0,0,0,0,108,CAMPAGNOL G
ARCH-260-500,6,1,0,0,0,7,3.857,0,0,0,0,0,7,IISAKA M
ARCH-305-931,12,0,0,0,0,12,4.000,0,0,0,0,0,12,JAIN P
ARCH-305-932,10,0,0,0,0,10,4.000,0,5,0,0,0,15,AITANI K
ARCH-305-933,15,0,0,0,0,15,4.000,0,0,0,0,0,15,CALVESBERT T
ARCH-305-934,4,3,2,0,0,9,3.222,1,0,0,0,0,10,HAWKINS A
ARCH-317-500,4,6,0,0,0,10,2.833,0,0,2,0,0,12,GAYK M
ARCH-317-501,11,0,0,0,0,11,4.000,0,0,0,0,0,11,ESQUIVEL J
ARCH-331-500,10,28,37,7,4,86,2.383,0,0,0,0,0,86,WARDEN R
ARCH-335-500,14,11,6,2,0,33,3.121,0,0,0,0,0,33,HABERL J
ARCH-335-501,9,5,3,3,0,20,3.000,0,0,0,0,0,20,HABERL J
ARCH-345-502,47,7,3,0,1,58,3.706,0,0,0,2,0,60,HOLLIDAY S
ARCH-346-500,25,4,0,0,0,29,3.862,0,0,0,0,0,29,GLOWACKI K
ARCH-350-501,37,31,15,1,3,87,3.126,0,0,0,1,0,88,CAMPAGNOL G
ARCH-350-700,59,53,23,6,4,145,3.082,0,0,0,0,0,145,CAMPAGNOL G
ARCH-381-500,34,0,0,0,0,34,4.000,0,0,0,0,0,34,ESQUIVEL J
ARCH-406-501,6,2,1,0,0,9,3.555,0,0,0,0,0,9,ESQUIVEL J
ARCH-406-502,15,0,0,0,0,15,4.000,0,0,0,0,0,15,GEVA A
ARCH-406-503,5,5,0,0,0,10,3.500,0,0,0,0,0,10,MAFFEI G
ARCH-406-504,8,4,0,0,0,12,3.666,0,0,0,0,0,12,LOUIE J
ARCH-406-505,15,0,0,0,0,15,4.000,0,0,0,0,0,15,CLAYTON M
ARCH-406-506,10,0,0,0,0,10,4.000,0,0,0,0,0,10,LOPEZ DINARDI M
ARCH-406-507,6,0,0,0,0,6,4.000,0,0,0,0,0,6,MANN G
ARCH-421-500,9,2,0,0,0,11,3.818,0,0,0,4,0,15,CULP C
ARCH-434-500,8,8,3,1,0,20,3.150,0,0,0,0,0,20,KLEIN N
ARCH-458-500,97,7,1,1,0,106,3.886,0,0,0,0,0,106,HILL R
ARCH-485-502,11,2,4,0,0,17,3.411,0,0,0,0,0,17,HOLLIDAY S
ARCH-489-501,10,2,0,0,0,12,3.833,0,0,0,0,0,12,FORTENBERRY B
ARCH-494-570,15,0,0,0,0,15,4.000,2,0,0,0,0,17,HOLLIDAY S
ARCH-602-600,3,12,0,0,0,15,3.200,0,0,0,0,0,15,BORGES GONZALEZ A
ARCH-606-601,10,0,0,0,0,10,4.000,0,0,0,0,0,10,ERMINY M
ARCH-606-603,5,1,0,1,0,7,3.428,0,0,0,0,0,7,DE LIMA VAZ XAVIER
ARCH-606-604,11,1,0,0,0,12,3.916,0,0,0,0,0,12,HAMILTON D
ARCH-608-601,10,0,0,0,0,10,4.000,0,0,0,0,0,10,HOLLIDAY R
ARCH-608-602,12,1,0,0,0,13,3.923,0,0,0,0,0,13,HALIBURTON J
ARCH-608-603,10,0,0,0,0,10,4.000,0,0,0,0,0,10,GIBBS B
ARCH-614-600,6,8,0,0,0,14,3.428,0,0,0,1,0,15,WARDEN R
ARCH-615-600,7,5,1,0,0,13,3.461,0,0,0,1,0,14,HABERL J
ARCH-631-600,14,0,0,0,0,14,4.000,0,0,0,0,0,14,HALIBURTON J
ARCH-633-600,11,5,0,0,0,16,3.687,0,0,0,0,0,16,BALTAZAR CERVANTES
