Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
BUSH-631-700,16,1,1,0,1,19,3.631,0,0,0,0,0,19,BULLOCK J
BUSH-635-601,8,6,2,1,1,18,3.055,0,0,0,0,0,18,LAHEY J
BUSH-635-602,10,6,0,0,0,16,3.625,0,0,0,0,2,18,CORTES K
BUSH-635-603,13,3,2,0,0,18,3.611,1,0,0,0,0,19,MU R
DEPARTMENT TOTAL:,47,16,5,1,2,71,3.478,1,0,0,0,2,74,
INTA-603-700,8,1,0,0,1,10,3.500,0,0,0,0,0,10,RUSSELL R
INTA-604-700,8,2,0,0,0,10,3.800,0,0,0,0,0,10,TALBOT B
INTA-605-601,9,3,0,0,0,12,3.750,0,0,0,0,1,13,BARTEL M
INTA-605-602,10,0,0,0,0,10,4.000,1,0,0,0,0,11,LAYNE C
INTA-605-700,4,2,0,0,0,6,3.666,0,0,0,0,0,6,TALBOT B
INTA-606-600,9,0,0,0,0,9,4.000,0,0,0,0,0,9,LAYNE C
INTA-608-600,24,0,0,0,0,24,4.000,0,0,0,0,0,24,CASTELLANOS SOSA F
INTA-608-601,9,0,0,0,0,9,4.000,0,0,0,0,0,9,CASTELLANOS SOSA F
INTA-613-601,8,1,0,0,0,9,3.888,0,0,0,0,0,9,NAPPER L
INTA-613-602,5,4,0,0,0,9,3.555,0,0,0,0,0,9,NAPPER L
INTA-621-600,12,2,0,0,0,14,3.857,0,0,0,0,0,14,LEE J
INTA-630-600,3,2,0,0,0,5,3.600,0,0,0,0,0,5,SERRA D
INTA-632-600,9,2,0,0,0,11,3.818,0,0,0,0,0,11,MU R
INTA-636-600,17,3,0,0,0,20,3.850,0,0,0,0,0,20,NATSIOS A
INTA-638-601,7,1,0,0,1,9,3.444,0,0,0,0,0,9,GOTTLIEB J
INTA-640-600,4,3,0,0,0,7,3.571,0,0,0,0,0,7,SNIDER E
INTA-643-600,10,2,0,0,0,12,3.833,0,0,0,0,0,12,HAMIE C
INTA-647-600,14,3,0,0,0,17,3.823,0,0,0,0,0,17,HUANG R
INTA-651-700,12,4,0,0,0,16,3.750,0,0,0,0,0,16,RUSSELL R
INTA-652-600,16,6,0,0,0,22,3.727,0,0,0,0,0,22,OLSON J
INTA-652-700,8,5,0,0,0,13,3.615,0,0,0,0,0,13,DALY S
INTA-654-700,6,3,0,0,1,10,3.300,0,0,0,0,0,10,BLACKWELL J
INTA-655-600,13,0,0,0,0,13,4.000,0,0,0,0,0,13,MARIN THORNTON G
INTA-657-600,16,3,0,0,0,19,3.842,0,0,0,0,0,19,HOWELL M
INTA-659-600,11,5,0,0,0,16,3.687,1,0,0,0,0,17,HUANG R
INTA-661-600,10,0,0,0,0,10,4.000,0,0,0,0,0,10,MARIN THORNTON G
INTA-670-600,6,1,0,0,0,7,3.857,0,0,0,0,0,7,NORRIS W
INTA-670-601,7,0,0,0,0,7,4.000,0,0,0,0,0,7,ROSS A
INTA-670-602,8,0,0,0,0,8,4.000,0,0,0,0,0,8,CASTILLO J
INTA-670-603,8,0,0,0,0,8,4.000,0,0,0,0,0,8,THOROUGHMAN K
INTA-670-605,7,0,0,0,0,7,4.000,0,0,0,0,0,7,MACWILLIE D
INTA-670-606,7,0,0,0,0,7,4.000,0,0,0,0,0,7,SIEVERT R
INTA-670-607,7,0,0,0,0,7,4.000,0,0,0,0,0,7,HUDSON V
INTA-670-611,7,0,0,0,0,7,4.000,0,0,0,0,0,7,TABAAR M
INTA-674-600,10,5,1,0,0,16,3.562,1,0,0,1,0,18,TABAAR M
INTA-676-600,6,5,0,0,0,11,3.545,1,0,0,0,0,12,GAUSE F
INTA-686-600,10,0,0,0,0,10,4.000,0,0,0,0,0,10,NAPPER L
INTA-689-601,11,7,0,0,0,18,3.611,0,0,0,0,0,18,SCHUESSLER J
INTA-689-602,17,3,0,0,0,20,3.850,0,0,0,0,0,20,OLSON J
INTA-689-603,18,0,0,0,0,18,4.000,1,0,0,0,0,19,THOROUGHMAN K
INTA-689-604,3,2,0,0,0,5,3.600,0,0,0,0,0,5,HAMIE C
INTA-689-605,9,0,0,0,0,9,4.000,0,0,0,0,0,9,SOWELL J
INTA-689-606,7,3,0,0,0,10,3.700,0,0,0,0,9,19,NORRIS W
INTA-689-607,19,0,0,0,0,19,4.000,0,0,0,0,0,19,HOWELL M
INTA-689-608,9,2,0,0,0,11,3.818,0,0,0,0,0,11,POERTNER M
INTA-689-609,19,1,0,0,0,20,3.950,0,0,0,0,0,20,THOROUGHMAN K
INTA-689-610,10,4,0,0,0,14,3.714,0,1,0,0,0,15,FIELD K
INTA-689-611,5,3,1,0,0,9,3.444,1,0,0,0,0,10,SOWELL J
INTA-689-612,7,0,0,0,0,7,4.000,0,0,0,0,0,7,CRUDO C
INTA-689-613,18,1,0,0,0,19,3.947,0,0,0,0,0,19,GILL M
INTA-689-614,14,3,0,0,0,17,3.823,0,0,0,0,0,17,HOWELL M
INTA-689-615,19,0,0,0,0,19,4.000,0,0,0,0,0,19,PARKER G
INTA-694-600,12,3,0,0,0,15,3.800,0,0,0,0,0,15,ROBERTSON R
DEPARTMENT TOTAL:,542,100,2,0,3,647,3.820,6,1,0,1,10,665,
PSAA-603-600,8,4,0,0,0,12,3.666,0,0,0,0,0,12,HILDERBRAND M
PSAA-603-700,5,0,0,0,0,5,4.000,0,0,0,0,0,5,MORRISON J
PSAA-604-700,13,0,0,0,1,14,3.714,1,0,0,0,0,15,MOATS J
PSAA-605-600,10,2,0,0,0,12,3.833,0,0,0,0,0,12,MCINTYRE D
PSAA-608-600,19,1,0,0,0,20,3.950,0,0,0,0,0,20,DAVIS D
PSAA-608-700,9,0,0,0,0,9,4.000,0,0,0,0,0,9,WHITTEN G
PSAA-611-601,5,4,0,0,0,9,3.555,0,0,0,0,0,9,WEST W
PSAA-611-602,15,6,0,0,0,21,3.714,1,0,0,0,0,22,WEST W
PSAA-611-603,19,6,0,0,0,25,3.760,0,0,0,0,0,25,KERR D
PSAA-611-604,11,3,0,0,0,14,3.785,1,0,0,0,1,16,KERR D
PSAA-611-700,18,2,0,0,1,21,3.714,0,0,0,0,0,21,NAKAMURA B
PSAA-613-600,11,0,0,0,0,11,4.000,0,0,0,0,0,11,CORTES K
PSAA-618-600,15,3,0,0,0,18,3.833,2,0,0,0,0,20,TAYLOR L
PSAA-621-700,16,6,0,0,0,22,3.727,0,0,0,0,0,22,SMITH S
PSAA-622-601,4,10,1,0,0,15,3.200,0,0,0,0,1,16,DAGUE L
PSAA-622-602,18,3,0,0,0,21,3.857,0,0,0,0,0,21,LEWIS E
PSAA-623-700,11,2,0,0,0,13,3.846,0,0,0,0,0,13,GRAHAM C
PSAA-625-600,15,9,0,0,0,24,3.625,0,0,0,0,0,24,PORTNEY K
PSAA-626-601,13,0,0,0,0,13,4.000,0,0,0,0,0,13,SULLIVAN R
PSAA-630-601,19,4,0,0,0,23,3.826,0,0,0,0,1,24,BRIGHT L
PSAA-630-602,13,7,0,0,0,20,3.650,0,0,0,0,0,20,MARCHBANKS M
PSAA-630-700,17,0,0,0,0,17,4.000,0,0,0,0,0,17,NAKAMURA B
PSAA-631-700,6,0,0,0,0,6,4.000,0,0,0,0,0,6,LITTLE C
PSAA-632-700,9,0,1,0,0,10,3.800,0,0,0,0,0,10,LITTLE C
PSAA-633-700,9,0,0,0,0,9,4.000,0,0,0,0,0,9,ZUNIGA K
PSAA-634-601,17,0,0,0,0,17,4.000,0,0,0,0,0,17,COMPTON M
PSAA-634-602,12,0,0,0,0,12,4.000,1,0,0,0,0,13,GRAHAM C
PSAA-634-700,14,0,0,0,1,15,3.733,1,0,0,0,0,16,NAKAMURA B
PSAA-635-600,10,2,0,0,0,12,3.833,0,0,0,0,0,12,LAHEY J
PSAA-636-600,22,1,0,0,0,23,3.956,0,0,0,0,0,23,SEAWORTH A
PSAA-636-700,13,1,0,0,0,14,3.928,0,0,0,0,0,14,LUM J
PSAA-637-600,6,0,0,0,0,6,4.000,0,0,0,0,11,17,BULLOCK J
PSAA-638-600,4,1,0,0,0,5,3.800,0,0,0,0,0,5,DAGUE L
PSAA-640-600,4,4,0,0,0,8,3.500,0,0,0,0,0,8,GRIFFIN J
PSAA-642-601,5,0,0,0,0,5,4.000,0,0,0,0,6,11,BRIGHT L
PSAA-643-700,6,5,0,0,0,11,3.545,2,0,0,0,0,13,SEAWORTH A
PSAA-644-700,11,2,1,0,0,14,3.714,1,0,0,0,0,15,FERNSLER T
PSAA-649-600,12,0,0,0,0,12,4.000,0,0,0,0,0,12,ROBICHAU R
PSAA-650-601,13,3,0,0,0,16,3.812,0,0,0,0,0,16,ROBICHAU R
PSAA-652-700,11,1,0,0,0,12,3.916,0,0,0,0,0,12,GAMACHE K
PSAA-656-600,19,0,0,0,0,19,4.000,0,0,0,0,0,19,DAVIS D
PSAA-656-700,6,1,0,0,0,7,3.857,0,0,0,1,0,8,ROLLINS J
PSAA-657-700,8,4,1,0,0,13,3.538,1,0,0,0,0,14,HOGLER J
PSAA-658-700,4,2,0,0,0,6,3.666,0,0,0,0,0,6,SHAW T
PSAA-671-600,5,0,0,0,0,5,4.000,0,0,0,0,0,5,COOPERSMITH J
PSAA-676-601,10,0,0,0,0,10,4.000,0,0,0,0,0,10,MCINTYRE D
PSAA-676-602,10,0,0,0,0,10,4.000,0,0,0,0,0,10,BULLOCK J
PSAA-676-603,8,0,0,0,0,8,4.000,0,0,0,0,0,8,GREER R
PSAA-676-604,9,0,0,0,0,9,4.000,0,0,0,0,0,9,SMITH S
PSAA-676-605,8,0,0,0,0,8,4.000,0,0,0,0,0,8,BROWN W
PSAA-676-606,10,0,0,0,0,10,4.000,0,0,0,0,0,10,GRAHAM C
PSAA-676-607,5,0,0,0,0,5,4.000,0,0,0,1,0,6,KERR D
PSAA-676-608,10,0,0,0,0,10,4.000,0,0,0,0,0,10,HILDERBRAND M
PSAA-676-609,8,0,0,0,0,8,4.000,0,0,0,0,0,8,TAYLOR K
PSAA-676-700,11,0,0,0,0,11,4.000,0,0,0,0,0,11,GAMACHE K
