Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
CHEN-205-500,5,14,5,0,0,24,3.000,0,0,0,0,0,24,ABDEL-WAHAB A
CHEN-322-500,10,7,5,0,0,22,3.227,0,0,0,0,0,22,ABDALLA A
CHEN-323-500,8,7,5,0,0,20,3.150,0,0,0,0,0,20,NOUNOU M
CHEN-426-500,11,3,0,0,0,14,3.785,0,0,0,0,0,14,LINKE P
CHEN-433-900,1,10,1,0,0,12,3.000,0,0,0,0,0,12,SALAMA G
CHEN-461-500,6,5,3,0,0,14,3.214,0,0,0,0,0,14,NOUNOU M
CHEN-482-500,13,8,0,0,0,21,3.619,0,0,0,0,0,21,VECHOT L
CHEN-489-501,10,0,0,0,0,10,4.000,0,0,0,0,0,10,CHENG Z
CHEN-489-502,2,5,0,0,1,8,2.875,0,0,0,0,0,8,AL-MOHANNADI D
CHEN-489-503,12,10,1,0,0,23,3.478,0,0,0,0,0,23,LINKE P
CHEN-624-600,7,5,0,0,0,12,3.583,0,0,0,0,0,12,AL-RAWASHDEH M
CHEN-629-600,9,9,0,0,0,18,3.500,0,0,0,0,0,18,KAKOSIMOS K
CHEN-655-600,6,1,2,0,0,9,3.444,0,0,0,0,0,9,VECHOT L
CHEN-665-600,3,1,1,0,0,5,3.400,0,0,0,0,0,5,AL-MOHANNADI D
DEPARTMENT TOTAL:,103,85,23,0,1,212,3.370,0,0,0,0,0,212,
ASCC-289-501,1,4,4,0,1,10,2.400,1,0,0,0,0,11,ELSHEIKH A
ASCC-289-502,0,6,4,0,0,10,2.600,0,0,0,0,0,10,TELAFICI M
ASCC-289-503,9,2,0,0,0,11,3.818,0,0,0,0,0,11,WARD S
COMM-365-500,12,2,3,1,0,18,3.388,0,0,0,1,0,19,CREEL W
ENGL-104-501,11,4,2,0,0,17,3.529,0,0,0,0,0,17,HINGTGEN L
ENGL-104-502,7,5,0,2,1,15,3.000,0,0,0,0,0,15,HINGTGEN L
ENGL-104-503,7,0,1,0,0,8,3.750,0,0,0,0,0,8,RUDD L
ENGL-210-501,15,3,0,0,0,18,3.833,0,0,0,0,0,18,TELAFICI M
ENGL-210-502,18,0,0,0,0,18,4.000,0,0,0,0,0,18,HODGES A
ENGL-210-503,12,6,0,0,0,18,3.666,0,0,0,0,0,18,HODGES A
ENGL-251-500,24,5,0,0,0,29,3.827,0,0,0,0,0,29,WARD S
ENGR-482-901,13,22,0,0,0,35,3.371,0,0,0,0,0,35,BASHIR H
ENGR-482-902,9,23,2,0,0,34,3.205,0,0,0,0,0,34,BASHIR H
HIST-105-501,17,4,1,0,1,23,3.565,1,0,0,1,0,25,BOUNDS B
HIST-105-502,22,6,1,0,0,29,3.724,1,0,0,1,0,31,BOUNDS B
HIST-106-501,35,3,3,0,1,42,3.690,0,0,0,0,0,42,VAN DE LOGT M
HIST-106-502,35,12,2,0,0,49,3.673,0,0,0,0,0,49,VAN DE LOGT M
INST-222-500,16,6,3,0,0,25,3.520,0,0,0,2,0,27,ELSHEIKH A
MUSC-201-500,25,3,0,0,0,28,3.892,0,0,0,2,0,30,HINGTGEN L
POLS-206-500,53,9,3,0,2,67,3.656,1,0,0,0,0,68,URA J
POLS-207-500,65,4,0,0,0,69,3.942,0,0,0,1,0,70,GRAY P
CHEM-107-501,3,16,5,5,0,29,2.586,1,0,0,0,0,30,BAZZI H
CHEM-107-502,2,2,3,0,8,15,1.333,0,2,0,0,1,18,BROTHERS E
CHEM-117-501,0,7,12,0,2,21,2.142,1,0,0,0,0,22,BAZZI H
CHEM-117-502,1,5,5,0,1,12,2.416,0,0,0,0,0,12,BROTHERS E
CHEM-120-501,5,6,3,1,0,15,3.000,0,0,0,0,0,15,MADRAHIMOV S
CHEM-120-502,5,7,2,1,0,15,3.066,0,0,0,0,0,15,MADRAHIMOV S
CHEM-228-500,9,8,4,1,0,22,3.136,0,0,0,0,0,22,MADRAHIMOV S
CHEM-238-501,5,4,0,0,0,9,3.555,0,0,0,0,0,9,MADRAHIMOV S
CHEM-238-502,7,3,2,0,0,12,3.416,0,0,0,0,0,12,MADRAHIMOV S
CHEM-322-500,8,5,4,2,0,19,3.000,0,0,0,0,0,19,BENGALI A
MATH-150-500,0,4,6,6,2,18,1.666,0,0,0,0,0,18,SOUKIASSIAN Y
MATH-151-501,5,10,3,3,1,22,2.681,1,0,0,0,0,23,ELGINDI A
MATH-151-502,9,10,5,0,0,24,3.166,0,0,0,0,0,24,ELGINDI A
MATH-151-503,3,10,4,0,0,17,2.941,0,0,0,0,0,17,ELGINDI A
MATH-152-501,8,4,5,2,0,19,2.947,0,0,0,0,0,19,SOUKIASSIAN Y
MATH-152-502,6,4,6,3,0,19,2.684,0,0,0,0,0,19,SOUKIASSIAN Y
MATH-152-503,8,4,2,0,0,14,3.428,0,0,0,0,0,14,ALONSO R
MATH-251-500,12,24,16,10,8,70,2.314,0,0,0,0,0,70,TRABELSI S
MATH-308-501,22,8,2,2,0,34,3.470,0,0,0,0,0,34,WESTON A
MATH-308-502,14,14,6,0,0,34,3.235,0,0,0,0,0,34,WESTON A
MATH-308-503,14,11,1,2,0,28,3.321,0,0,0,0,0,28,WESTON A
MATH-308-504,10,11,3,3,0,27,3.037,0,0,0,0,0,27,WESTON A
MATH-311-501,9,15,2,0,0,26,3.269,0,0,0,0,0,26,HUANG T
MATH-311-502,9,14,5,3,0,31,2.935,0,0,0,0,0,31,HUANG T
MATH-414-500,2,3,0,0,0,5,3.400,0,0,0,0,0,5,MIR N
PHYS-206-501,8,11,7,2,0,28,2.892,0,0,0,0,0,28,BELIC M
PHYS-206-502,4,8,12,2,2,28,2.357,0,0,0,0,0,28,BELIC M
PHYS-206-503,8,3,8,4,0,23,2.652,0,0,0,0,0,23,KROLIKOWSKI W
PHYS-207-500,2,12,10,8,1,33,2.181,0,0,0,0,0,33,NHA H
PHYS-221-500,4,3,2,0,0,9,3.222,0,0,0,1,0,10,TZORTZAKIS S
ECEN-214-501,9,3,3,0,0,15,3.400,0,0,0,0,0,15,GHRAYEB A
ECEN-214-502,1,6,0,0,1,8,2.750,0,0,0,0,0,8,GHRAYEB A
ECEN-214-503,2,10,3,0,0,15,2.933,0,0,0,0,0,15,GHRAYEB A
ECEN-215-501,4,5,5,0,0,14,2.928,0,0,0,0,0,14,BALOG R
ECEN-215-502,5,4,3,0,0,12,3.166,0,0,0,0,0,12,BALOG R
ECEN-248-501,8,4,4,0,0,16,3.250,0,0,0,0,0,16,ZILANY M
ECEN-248-502,0,4,6,0,2,12,2.000,0,0,0,0,0,12,ZILANY M
ECEN-248-503,7,5,1,0,1,14,3.214,0,0,0,0,0,14,ZILANY M
ECEN-303-500,13,11,0,0,0,24,3.541,0,0,0,0,0,24,BOUTROS J
ECEN-338-500,3,7,5,0,0,15,2.866,0,0,0,1,0,16,ABU-RUB H
ECEN-350-501,6,7,5,0,0,18,3.055,0,0,0,0,0,18,ZILANY M
ECEN-350-502,4,7,4,0,1,16,2.812,0,0,0,0,0,16,ZILANY M
ECEN-370-500,17,8,3,0,0,28,3.500,0,0,0,0,0,28,BOUHALI O
ECEN-404-501,16,0,0,0,0,16,4.000,0,0,0,0,0,16,GHRAYEB A
ECEN-404-502,15,0,0,0,0,15,4.000,0,0,0,0,0,15,GHRAYEB A
ECEN-410-500,6,7,3,1,0,17,3.058,0,0,0,0,0,17,JI J
ECEN-449-500,9,10,1,0,0,20,3.400,0,0,0,0,0,20,ALNUWEIRI H
ECEN-459-500,8,2,3,0,0,13,3.384,0,0,0,1,0,14,BAYHAN S
ECEN-478-500,4,10,7,0,0,21,2.857,0,0,0,0,0,21,QARAQE K
ECEN-489-500,7,20,2,1,0,30,3.100,0,0,0,0,0,30,SERPEDIN E
ECEN-491-530,6,0,0,0,0,6,4.000,0,0,0,0,0,6,BALOG R
ENGR-102-501,3,9,2,0,1,15,2.866,0,0,0,0,0,15,ALNUWEIRI H
ENGR-102-502,4,6,4,3,0,17,2.647,0,0,0,0,0,17,ALNUWEIRI H
ENGR-102-503,5,5,5,0,0,15,3.000,1,0,0,0,0,16,ALNUWEIRI H
ENGR-102-504,2,4,2,0,0,8,3.000,0,0,0,0,0,8,ALNUWEIRI H
DEPARTMENT TOTAL:,164,154,71,5,6,400,3.149,1,0,0,2,0,403,
ENGR-217-501,7,2,3,0,0,12,3.333,0,0,0,0,0,12,ZILANY M
ENGR-217-502,4,8,3,0,0,15,3.066,0,0,0,0,0,15,ZILANY M
DEPARTMENT TOTAL:,11,10,6,0,0,27,3.185,0,0,0,0,0,27,
CVEN-305-501,7,5,5,0,1,18,2.944,0,0,0,0,0,18,RUIMI A
CVEN-305-502,5,2,6,1,2,16,2.437,0,0,0,0,0,16,RUIMI A
ENGR-216-200,3,10,5,1,0,19,2.789,0,0,0,0,0,19,SCHULLER M
ENGR-216-501,1,2,5,1,0,9,2.333,0,0,0,0,0,9,SCHULLER M
ENGR-216-502,3,16,9,0,0,28,2.785,0,0,0,0,0,28,SCHULLER M
ENGR-216-503,2,8,13,4,0,27,2.296,0,0,0,0,0,27,SCHULLER M
