Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
BIMS-101-501,108,11,0,0,1,120,3.875,0,0,0,0,0,120,IVANOV I
BIMS-101-502,107,8,2,0,3,120,3.800,0,0,0,0,0,120,IVANOV I
BIMS-101-504,105,0,0,0,0,105,4.000,0,0,0,0,0,105,TIAN Y
BIMS-110-501,99,1,0,0,0,100,3.990,0,0,0,0,0,100,YOUNG C
BIMS-110-502,93,6,0,0,0,99,3.939,0,0,0,0,0,99,YOUNG C
BIMS-201-500,33,5,0,0,0,38,3.868,0,0,0,0,0,38,CROUCH E
BIMS-289-500,20,0,0,0,0,20,4.000,0,0,0,0,0,20,BLACK M
BIMS-289-501,13,0,0,0,0,13,4.000,0,0,0,0,0,13,CARLISLE E
BIMS-289-503,5,0,0,0,0,5,4.000,0,0,0,0,0,5,KRENEK N
BIMS-320-200,11,1,0,0,0,12,3.916,0,0,0,0,0,12,SEABURY C
BIMS-320-502,60,35,5,0,1,101,3.514,0,0,0,0,0,101,DERR J
BIMS-320-503,69,6,0,0,0,75,3.920,0,0,0,0,0,75,DAVIS B
BIMS-320-504,41,26,19,2,2,90,3.133,0,0,0,0,0,90,SKOW L
BIMS-421-500,22,0,0,0,0,22,4.000,0,0,0,0,0,22,VENKATRAJ V
BIMS-485-501,24,0,0,0,0,24,4.000,1,0,0,0,0,25,CROUCH E
BIMS-485-543,8,0,0,0,0,8,4.000,0,0,0,1,0,9,CROUCH E
BIMS-489-502,95,0,0,1,1,97,3.927,0,0,0,0,0,97,YOUNG C
BIMS-489-503,44,0,1,0,0,45,3.955,0,0,0,0,0,45,YOUNG C
BIMS-491-532,15,0,0,0,0,15,4.000,0,0,0,0,0,15,CROUCH E
BIMS-491-932,5,0,0,0,0,5,4.000,0,0,0,0,0,5,CROUCH E
VMID-686-600,40,0,0,0,0,40,4.000,0,0,0,0,0,40,JOHNSON G
VIBS-101-500,31,6,1,0,2,40,3.600,0,0,0,1,0,41,KO G
VIBS-111-500,77,3,0,0,0,80,3.962,0,0,0,0,0,80,YOUNG C
VIBS-111-501,72,5,1,0,2,80,3.812,0,0,0,0,0,80,YOUNG C
VIBS-243-500,48,3,7,0,1,59,3.644,0,0,0,0,0,59,JOHNSON L
VIBS-243-501,41,6,2,1,0,50,3.740,0,0,0,0,0,50,JOHNSON L
VIBS-285-515,6,0,0,0,0,6,4.000,0,0,0,0,0,6,JOHNSON L
VIBS-305-200,5,9,4,0,0,18,3.055,0,0,0,0,0,18,PINE M
VIBS-305-500,36,23,15,5,3,82,3.024,0,0,0,0,0,82,PINE M
VIBS-305-501,36,30,18,3,1,88,3.102,1,0,0,1,0,90,PINE M
VIBS-401-500,7,7,1,0,1,16,3.187,0,0,0,1,0,17,SRIVASTAVA V
VIBS-407-599,50,18,2,0,1,71,3.633,0,0,0,1,49,121,KLEMM W
VIBS-408-900,6,9,1,0,0,16,3.312,0,0,0,1,0,17,KLEMM W
VIBS-411-500,7,3,1,0,0,11,3.545,0,0,0,1,0,12,PORTER W
VIBS-413-500,58,17,3,1,0,79,3.670,0,0,0,1,0,80,HAMER S
VIBS-422-500,101,0,0,0,0,101,4.000,0,0,0,0,0,101,AROSH S
VIBS-443-900,17,8,5,0,1,31,3.290,0,0,0,1,0,32,JOHNSON L
VIBS-485-500,11,0,0,0,0,11,4.000,0,0,0,0,0,11,JOHNSON L
VIBS-489-500,15,0,0,0,0,15,4.000,0,0,0,0,0,15,PINE M
VIBS-602-601,12,1,0,0,0,13,3.923,0,0,0,1,0,14,JOHNSON L
VIBS-607-600,17,1,0,0,0,18,3.944,0,0,0,0,0,18,HAMER S
VIBS-610-600,7,0,0,0,0,7,4.000,0,0,0,0,0,7,SCOTT H
VIBS-611-600,12,0,0,0,0,12,4.000,0,0,0,1,0,13,PORTER W
VIBS-622-600,24,0,0,0,0,24,4.000,0,0,0,0,0,24,AROSH S
VIBS-627-600,4,1,0,0,0,5,3.800,0,0,0,0,0,5,BURGHARDT R
