Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
VMID-944-301,50,83,8,0,0,141,3.297,0,0,0,0,0,141,CERFOGLI J
VMID-964-300,40,51,0,6,0,97,3.288,40,0,0,0,0,137,TAYCE J
VMID-966-300,54,76,7,0,0,137,3.343,0,0,0,0,0,137,SCALLAN E
DEPARTMENT TOTAL:,144,210,15,6,0,375,3.313,40,0,0,0,0,415,
VIBS-912-301,31,80,41,8,0,160,2.837,0,0,0,0,0,160,HERMAN C
VIBS-914-301,84,76,0,0,0,160,3.525,0,0,0,0,0,160,FRANK-CANNON T
VIBS-948-300,17,0,0,0,0,17,4.000,0,0,0,0,0,17,YOUNG C
VIBS-948-304,10,0,0,0,0,10,4.000,0,0,0,0,0,10,BUDKE C
VIBS-948-310,136,0,0,0,0,136,4.000,0,0,0,0,0,136,BUDKE C
VLCS-910-301,59,96,5,0,0,160,3.337,0,0,0,0,0,160,EADES S
VLCS-924-301,78,63,0,0,0,141,3.553,0,0,0,0,0,141,GILMOUR L
VLCS-926-301,119,22,0,0,0,141,3.843,0,0,0,0,0,141,HARDY J
VLCS-948-300,41,5,1,0,0,47,3.851,0,0,0,0,0,47,MAYS G
VLCS-948-301,17,0,0,0,0,17,4.000,0,0,0,0,0,17,MAYS G
VLCS-948-302,87,0,0,0,0,87,4.000,0,0,0,0,0,87,SAMPSON S
VLCS-957-300,42,80,15,0,0,137,3.197,0,0,0,0,0,137,WASHBURN K
VLCS-960-300,12,12,0,0,0,24,3.500,0,0,0,0,0,24,EADES S
VLCS-961-300,38,2,0,0,0,40,3.950,0,0,0,0,0,40,NAGY D
DEPARTMENT TOTAL:,493,280,21,0,0,794,3.546,0,0,0,0,0,794,
VTPP-912-301,68,67,25,0,0,160,3.268,0,0,0,0,0,160,STEWART R
VTPP-948-300,52,0,0,0,0,52,4.000,0,0,0,0,0,52,BLUE MCLENDON A
DEPARTMENT TOTAL:,120,67,25,0,0,212,3.313,0,0,0,0,0,212,
VSCS-930-301,48,78,15,0,0,141,3.234,0,0,0,0,0,141,LORIA LEPIZ M
VSCS-932-301,78,62,1,0,0,141,3.546,0,0,0,0,0,141,MANKIN K
VSCS-948-304,89,1,1,0,0,91,3.967,0,0,0,0,0,91,CORNELL K
VSCS-957-300,57,70,10,0,0,137,3.343,0,0,0,0,0,137,ECKMAN S
VSCS-960-300,35,38,0,0,0,73,3.479,0,0,0,0,0,73,PATTERSON A
VTPB-922-301,52,81,27,0,0,160,3.156,0,0,0,0,0,160,PORTER B
VTPB-925-301,139,21,0,0,0,160,3.868,0,0,0,0,0,160,MUSSER J
VTPB-932-301,129,12,0,0,0,141,3.914,0,0,0,0,0,141,JOHNSON M
VTPB-948-300,11,0,0,0,0,11,4.000,0,0,0,0,0,11,VEMULAPALLI T
VTPB-948-301,18,0,0,0,0,18,4.000,0,0,0,0,0,18,VEMULAPALLI T
DEPARTMENT TOTAL:,349,114,27,0,0,490,3.688,0,0,0,0,0,490
COLLEGE TOTAL:,1691,1076,156,14,0,2937,3.463,40,0,0,0,0,2977
