Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
ACCT-209-501,364,358,99,9,9,839,3.262,0,0,0,54,0,893,CLARKE M
ACCT-209-504,0,8,1,0,0,9,2.888,0,0,0,1,0,10,CLARKE M
ACCT-210-501,122,62,32,17,5,238,3.172,4,0,0,6,0,248,STRAWSER R
ACCT-229-200,7,2,2,1,0,12,3.250,0,0,0,1,0,13,KNOOP J
ACCT-229-201,14,8,0,0,0,22,3.636,0,0,0,2,0,24,KNOOP J
ACCT-229-202,10,9,0,0,0,19,3.526,0,0,0,3,0,22,KNOOP J
ACCT-229-501,40,29,29,15,1,114,2.807,0,0,0,30,0,144,BARRETT J
ACCT-229-502,34,33,27,5,0,99,2.969,0,0,0,49,0,148,FOSTER C
ACCT-229-504,7,6,9,3,2,27,2.481,0,0,0,13,0,40,HEAD M
ACCT-229-505,12,13,3,5,3,36,2.722,0,0,0,5,0,41,KNOOP J
ACCT-229-506,15,28,16,3,1,63,2.841,0,0,0,13,0,76,ARNOSKY C
ACCT-229-510,9,12,11,3,0,35,2.771,0,0,0,5,0,40,WEAVER A
ACCT-229-511,7,13,10,3,1,34,2.647,1,0,0,4,0,39,WEAVER A
ACCT-229-513,10,11,12,2,0,35,2.828,0,0,0,5,0,40,WEAVER A
ACCT-230-201,12,7,0,0,0,19,3.631,0,0,0,1,0,20,ALLEN N
ACCT-230-501,63,83,55,14,0,215,2.906,0,0,0,17,0,232,ALLEN N
ACCT-230-502,75,83,34,11,3,206,3.048,0,0,0,13,0,219,ALLEN N
ACCT-321-500,195,0,0,0,0,195,4.000,0,0,0,0,0,195,MCELROY T
ACCT-322-500,60,2,0,0,0,62,3.967,0,0,0,0,0,62,WILLIAMS M
ACCT-327-500,12,11,7,0,0,30,3.166,0,0,0,9,0,39,STUBER S
ACCT-327-501,5,14,13,2,1,35,2.571,0,0,0,5,0,40,STUBER S
ACCT-327-502,9,12,12,1,1,35,2.771,0,0,0,5,0,40,STUBER S
ACCT-327-503,7,11,23,1,1,43,2.511,0,0,0,3,6,52,LOUDDER M
ACCT-327-504,18,15,8,2,0,43,3.139,0,0,0,4,2,49,LOUDDER M
ACCT-327-505,7,7,11,2,0,27,2.703,1,0,0,15,0,43,LARKIN R
ACCT-327-506,7,9,1,0,0,17,3.352,0,0,0,7,0,24,LARKIN R
ACCT-327-507,11,14,5,0,1,31,3.096,0,0,0,8,0,39,LARKIN R
ACCT-327-508,21,11,6,0,0,38,3.394,0,0,0,7,0,45,LARKIN R
