Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
ENGR-689-30H,0,0,0,0,34,3.852,0,0,0,0,34,ROBBINS A
ITDE-614-30H,0,0,0,0,59,4.000,0,0,0,0,59,SEARS N
DEPARTMENT TOTAL:,0,0,0,0,93,3.906,0,0,0,0,93,
COLLEGE TOTAL:,0,0,0,0,93,3.906,0,0,0,0,93,
IMED-800-310,2,20,0,0,22,3.090,20,0,0,0,42,CLEWING J
IMED-800-31D,2,7,0,0,9,3.222,1,0,0,0,10,CLEWING J
IMED-800-31H,0,15,0,0,15,3.000,0,0,0,0,15,CLEWING J
IMED-800-31T,1,8,0,0,9,3.111,3,0,0,0,12,CLEWING J
IMED-800-32D,0,6,0,0,6,3.000,0,0,0,0,6,CLEWING J
IMED-800-32H,0,8,0,0,8,3.000,0,0,0,0,8,CLEWING J
IMED-800-32T,2,5,0,0,7,3.285,0,0,0,0,7,CLEWING J
MEID-608-300,23,121,0,0,144,3.159,0,0,0,0,144,WINZER-SERHAN U
MEID-608-30H,5,29,0,0,34,3.147,0,0,0,0,34,TSAI R
MEID-609-300,22,120,0,2,144,3.111,0,0,0,0,144,WELLS G
MEID-609-30H,5,29,0,0,34,3.147,0,0,0,0,34,MOCZYGEMBA M
SECTION,H,P,F/P,F,,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
MEID-616-300,22,119,0,2,,143,3.111,1,0,0,0,144,HEIN T
MEID-616-30H,5,28,0,0,,33,3.151,1,0,0,0,34,TONG C
MEID-617-300,21,123,0,0,,144,3.145,0,0,0,0,144,BLACK R
MEID-617-30H,5,29,0,0,,34,3.147,0,0,0,0,34,ZAWIEJA D
MEID-618-31B,21,121,0,0,,142,3.147,0,0,0,0,142,MAXWELL S
MEID-618-31H,7,26,0,0,,33,3.212,0,0,0,0,33,CRISCIONE J
MEID-620-30B,23,118,0,0,,141,3.163,1,0,0,0,142,FLOREZ ARANGO J
MEID-620-30H,4,30,0,0,,34,3.117,0,0,0,0,34,FLOREZ ARANGO J
MFCM-800-30B,6,16,0,0,22,3.272,18,0,0,0,40,NEAL G
MFCM-800-31H,0,7,0,0,7,3.000,2,0,0,0,9,NEAL G
MFCM-800-32H,0,5,0,0,5,3.000,2,0,0,1,8,NEAL G
MFCM-800-32T,0,6,0,0,6,3.000,0,0,0,0,6,NEAL G
MFCM-800-33D,2,4,0,0,6,3.333,1,0,0,0,7,NEAL G
MFCM-800-33H,3,4,0,0,7,3.428,0,0,0,0,7,NEAL G
MFCM-800-34D,2,4,0,0,6,3.333,0,0,0,0,6,NEAL G
MPED-800-30B,7,14,0,1,22,3.181,18,0,0,0,40,FREEMAN R
MPED-800-31H,1,4,0,0,5,3.200,0,0,0,0,5,FREEMAN R
MPED-800-32T,1,5,0,0,6,3.166,0,0,0,0,6,FREEMAN R
MPED-800-33D,3,2,0,1,6,3.000,0,0,0,1,7,FREEMAN R
MPED-800-33T,1,4,0,0,5,3.200,0,0,0,0,5,FREEMAN R
MPSY-800-30B,4,18,0,0,22,3.181,18,0,0,0,40,KELT S
MPSY-800-31H,0,6,0,0,6,3.000,0,0,0,0,6,KELT S
MPSY-800-31T,0,6,0,0,6,3.000,1,0,0,0,7,KELT S
MPSY-800-32H,1,5,0,0,6,3.166,0,0,0,0,6,KELT S
MPSY-800-33D,1,5,0,0,6,3.166,0,0,0,0,6,KELT S
MPSY-800-34D,2,4,0,0,6,3.333,1,0,0,0,7,KELT S
MPSY-800-34H,1,4,0,0,5,3.200,0,0,0,0,5,KELT S
MRAD-800-31D,18,30,0,0,48,3.375,0,0,0,10,58,SULTENFUSS M
OBGY-800-30B,3,19,0,0,22,3.136,18,0,0,0,40,HARMS K
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
OBGY-800-31H,2,5,0,0,7,3.285,1,0,0,0,8,HARMS K
OBGY-800-32H,1,4,0,0,5,3.200,0,0,0,0,5,HARMS K
OBGY-800-33D,2,3,0,0,5,3.400,0,0,0,0,5,HARMS K
OBGY-800-33T,2,3,0,0,5,3.400,0,0,0,0,5,HARMS K
OBGY-800-34D,3,3,0,0,6,3.500,0,0,0,0,6,HARMS K
SURG-800-30B,6,16,0,0,22,3.272,18,0,0,0,40,LITTLE D
SURG-800-31D,1,5,0,0,6,3.166,0,0,0,0,6,LITTLE D
SURG-800-31H,3,6,0,0,9,3.333,0,0,0,0,9,LITTLE D
SURG-800-32D,3,6,0,0,9,3.333,0,0,0,0,9,LITTLE D
SURG-800-32H,1,8,0,0,9,3.111,0,0,0,0,9,LITTLE D
SURG-800-32T,3,3,0,0,6,3.500,0,0,0,0,6,LITTLE D
