Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
LAW-603-603,2,4,0,0,0,6,3.333,0,0,0,0,0,6,HENNING W
LAW-611-601,7,2,0,0,0,9,3.777,0,0,0,0,0,9,SEYMORE M
LAW-612-601,8,4,0,0,0,12,3.666,0,0,0,0,0,12,REILLY P
LAW-641-600,10,2,0,0,0,12,3.833,1,0,0,1,0,14,HALL M
LAW-642-601,1,3,2,0,0,6,2.833,0,0,0,0,0,6,SLATTERY J
LAW-689-600,4,2,0,0,0,6,3.666,0,0,0,0,0,6,DUFFY T
LAW-689-604,26,4,0,0,0,30,3.866,0,0,0,0,0,30,HARGROVE D
LAW-689-700,15,4,1,1,2,23,3.260,0,0,0,1,0,24,HELGE T
LAW-689-701,23,14,2,0,2,41,3.365,0,0,0,0,0,41,DANCY J
LAW-689-702,9,19,1,1,0,30,3.200,0,0,0,1,1,32,WELSH N
LAW-689-703,19,14,0,0,0,33,3.575,0,0,0,0,0,33,MAGNUSON W
LAW-689-704,21,9,0,0,1,31,3.580,2,0,0,1,0,34,ALEXANDER L
LAW-689-705,19,11,0,0,0,30,3.633,5,0,0,0,0,35,BURT J
LAW-689-706,26,5,0,0,0,31,3.838,2,0,0,0,0,33,ALEXANDER L
LAW-689-707,41,3,0,0,1,45,3.844,0,0,0,0,0,45,TOPINKA J
LAW-689-709,11,3,0,0,0,14,3.785,0,0,0,0,0,14,BYRNES W
LAW-689-710,7,3,0,0,0,10,3.700,1,0,0,0,0,11,WURTZ K
LAW-689-716,24,7,0,0,0,31,3.774,1,0,0,0,0,32,KISER J
LAW-689-717,19,11,0,0,0,30,3.633,0,0,0,0,2,32,DYE D
LAW-689-718,14,7,0,0,0,21,3.666,4,0,0,0,0,25,MARLETT D
LAW-689-719,28,2,0,0,0,30,3.933,0,0,0,0,0,30,KOEHLER M
LAW-689-720,21,10,0,1,3,35,3.285,2,0,0,0,0,37,MOORE C
LAW-689-721,25,4,0,0,0,29,3.862,0,0,0,1,0,30,EMMERT W
LAW-689-722,25,1,0,0,0,26,3.961,1,0,0,0,0,27,REILLY P
LAW-689-723,21,2,0,0,0,23,3.913,3,0,0,0,0,26,DEWITTE P
LAW-689-724,9,0,0,0,0,9,4.000,0,0,0,0,0,9,DA SILVA B
LAW-689-725,28,5,2,0,0,35,3.742,0,0,0,0,0,35,MAHER B
LAW-689-726,11,0,0,0,0,11,4.000,0,0,0,0,0,11,MUHAMMAD M
LAW-689-727,15,5,0,0,1,21,3.571,0,0,0,0,0,21,KOEHLER M
LAW-689-728,25,0,0,0,1,26,3.846,0,0,0,0,0,26,REILLY P
LAW-689-729,25,4,0,0,0,29,3.862,1,0,0,1,0,31,REILLY P
LAW-689-730,36,3,2,0,1,42,3.738,0,0,0,1,0,43,TOPINKA J
LAW-689-731,18,19,2,0,1,40,3.325,0,0,0,1,0,41,DANCY J
LAW-689-732,6,9,0,0,0,15,3.400,3,0,0,0,0,18,MARLETT D
LAW-694-700,31,3,0,0,0,34,3.911,4,0,0,0,2,40,WALLACE W
LAW-708-700,7,6,1,1,0,15,3.266,0,0,0,5,0,20,LUCAS G
LAW-717-700,32,3,0,0,0,35,3.914,0,0,0,0,0,35,ZAGARIS B
LAW-717-701,26,5,0,0,0,31,3.838,0,0,0,1,0,32,ZAGARIS B
LAW-765-700,32,1,0,0,0,33,3.969,3,0,0,0,0,36,KRAVITZ R
LAW-765-701,25,0,0,0,0,25,4.000,4,0,0,0,0,29,KRAVITZ R
LAW-766-700,16,14,1,0,3,34,3.176,0,0,0,0,0,34,BLOINK R
LAW-766-701,1,2,1,0,2,6,2.000,0,0,0,0,0,6,BLOINK R
LAW-770-700,25,3,0,0,0,28,3.892,2,0,0,1,0,31,BRILL A
LAW-770-701,17,6,0,0,4,27,3.185,1,0,0,0,0,28,BRILL A
LAW-797-601,4,1,0,0,0,5,3.800,0,0,0,0,0,5,CALBOLI I
DEPARTMENT TOTAL:,815,239,15,4,22,1095,3.656,40,0,0,15,5,1155
COLLEGE TOTAL:,815,239,15,4,22,1095,3.656,40,0,0,15,5,1155
