Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
BIMS-101-501,97,13,5,0,3,118,3.703,0,0,0,1,0,119,IVANOV I
BIMS-101-502,91,13,5,0,5,114,3.622,0,0,0,3,0,117,IVANOV I
BIMS-101-504,104,0,0,0,0,104,4.000,0,0,0,2,0,106,TIAN Y
BIMS-110-501,67,2,1,0,1,71,3.887,0,0,0,1,0,72,YOUNG C
BIMS-110-502,56,0,0,0,0,56,4.000,0,0,0,0,0,56,YOUNG C
BIMS-201-500,19,5,1,0,1,26,3.576,0,0,0,1,0,27,CROUCH E
BIMS-289-510,6,2,0,0,0,8,3.750,0,0,0,0,0,8,KRENEK N
BIMS-289-511,6,0,0,0,0,6,4.000,0,0,0,0,0,6,KRENEK N
BIMS-291-500,6,0,0,0,0,6,4.000,0,0,0,0,0,6,CROUCH E
BIMS-320-200,9,2,0,0,0,11,3.818,0,0,0,1,0,12,SEABURY C
BIMS-320-502,39,51,37,9,3,139,2.820,2,0,0,2,0,143,DERR J
BIMS-320-503,27,33,24,6,0,90,2.900,1,0,0,9,0,100,DINDOT S
BIMS-320-504,35,31,18,10,1,95,2.936,0,0,0,8,0,103,SKOW L
BIMS-320-M01,5,1,2,0,0,8,3.375,0,0,0,2,0,10,BUSCH C
BIMS-421-500,20,0,0,0,0,20,4.000,0,0,0,0,0,20,VENKATRAJ V
BIMS-485-501,18,0,0,0,0,18,4.000,0,0,0,0,0,18,CROUCH E
BIMS-485-543,16,0,0,0,0,16,4.000,0,0,0,0,0,16,CROUCH E
BIMS-491-532,18,0,0,0,0,18,4.000,0,0,0,0,0,18,CROUCH E
BIMS-491-944,7,0,0,0,0,7,4.000,1,0,0,0,0,8,CISNEROS M
VMID-686-600,29,0,0,0,0,29,4.000,0,0,0,0,0,29,JOHNSON G
DEPARTMENT TOTAL:,675,153,93,25,14,960,3.326,4,0,0,30,0,994,
VIBS-101-500,42,3,0,0,0,45,3.933,0,0,0,1,0,46,KO G
VIBS-111-500,90,2,1,1,1,95,3.884,0,0,0,1,0,96,YOUNG C
VIBS-111-501,69,1,0,0,0,70,3.985,0,0,0,0,0,70,YOUNG C
VIBS-210-500,65,0,1,0,0,66,3.969,0,0,0,0,0,66,YOUNG C
VIBS-210-501,25,2,0,0,1,28,3.785,0,0,0,0,0,28,YOUNG C
VIBS-222-500,15,0,0,0,0,15,4.000,0,0,0,1,0,16,PORTER W
VIBS-243-500,36,8,7,3,0,54,3.425,0,0,0,1,0,55,JOHNSON L
VIBS-243-501,34,11,2,1,1,49,3.551,0,0,0,3,0,52,JOHNSON L
VIBS-277-500,58,17,7,3,0,85,3.529,0,0,0,5,0,90,SRIVASTAVA V
VIBS-305-500,30,17,4,1,0,52,3.461,0,0,0,1,0,53,PINE M
VIBS-305-501,162,63,32,2,2,261,3.459,0,0,0,11,0,272,PINE M
VIBS-401-500,7,9,5,0,1,22,2.954,0,0,0,1,0,23,SRIVASTAVA V
VIBS-404-200,25,0,0,0,0,25,4.000,0,0,0,0,0,25,PHILLIPS T
VIBS-407-599,110,1,0,0,0,111,3.990,0,0,0,0,0,111,KLEMM W
VIBS-413-500,52,24,3,0,0,79,3.620,0,0,0,0,0,79,HAMER S
VIBS-422-500,143,0,0,0,0,143,4.000,0,0,0,0,0,143,AROSH S
VIBS-443-900,25,7,7,5,3,47,2.978,0,0,0,1,0,48,JOHNSON L
VIBS-485-500,12,0,0,0,0,12,4.000,0,0,0,0,0,12,JOHNSON L
VIBS-602-601,19,3,1,0,0,23,3.782,0,0,0,0,0,23,JOHNSON L
VIBS-607-600,34,2,0,0,0,36,3.944,0,0,0,1,0,37,HAMER S
VIBS-609-600,16,0,0,0,0,16,4.000,0,0,0,0,0,16,LI Q
VIBS-622-600,19,0,0,0,0,19,4.000,0,0,0,0,0,19,AROSH S
VIBS-645-600,5,2,0,0,0,7,3.714,0,0,0,0,0,7,RUSYN I
VIBS-664-600,7,1,1,0,0,9,3.666,0,0,0,1,0,10,GASTEL B
VIBS-665-600,6,1,0,0,0,7,3.842,0,0,0,0,0,7,GASTEL B
VIBS-670-600,4,2,0,0,0,6,3.666,0,0,0,0,0,6,RUSYN I
VLCS-485-503,29,0,0,0,0,29,4.000,0,0,0,0,0,29,COHEN N
DEPARTMENT TOTAL:,29,0,0,0,0,29,4.000,0,0,0,0,0,29,
VTPP-123-501,40,0,0,0,0,40,4.000,0,0,0,1,0,41,LYONS L
VTPP-123-502,40,0,0,0,0,40,4.000,0,0,0,0,0,40,LYONS L
VTPP-123-503,40,0,0,0,0,40,4.000,0,0,0,0,0,40,LYONS L
VTPP-235-505,24,0,0,0,0,24,4.000,0,0,0,0,0,24,QUICK C
VTPP-285-503,8,1,0,0,0,9,3.888,0,0,0,0,0,9,RAMADOSS J
