Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
OBIO-612-600,2,2,1,0,0,5,3.200,0,0,0,0,0,5,OPPERMAN L
OBIO-621-600,18,11,3,0,0,32,3.468,0,0,0,0,0,32,SCHNEIDERMAN E
OBIO-640-600,4,1,0,0,0,5,3.800,0,0,0,0,0,5,LU Y
OBIO-641-600,4,2,0,0,0,6,3.666,0,0,0,0,0,6,WANG X
OBIO-673-600,13,0,0,0,0,13,4.000,0,0,0,0,0,13,HONEYMAN A
OBIO-687-600,4,0,0,0,1,5,3.304,0,0,0,0,0,5,RUEST L
AEGD-602-600,8,0,0,0,0,8,0.000,0,0,0,0,0,8,ZANDINEJAD A
AEGD-604-600,15,0,0,0,0,15,4.000,0,0,0,0,0,15,ZANDINEJAD A
AEGD-611-600,8,0,0,0,0,8,4.000,0,0,0,0,0,8,ZANDINEJAD A
AEGD-617-600,8,0,0,0,0,8,4.000,0,0,0,0,0,8,ZANDINEJAD A
AEGD-620-600,8,0,0,0,0,8,4.000,0,0,0,0,0,8,ZANDINEJAD A
AEGD-625-600,8,0,0,0,0,8,4.000,0,0,0,0,0,8,ZANDINEJAD A
PROS-644-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,CHO S
PROS-647-600,5,2,0,0,0,7,3.714,0,0,0,0,0,7,CHO S
DEPARTMENT TOTAL:,66,2,0,0,0,68,3.957,0,0,0,0,0,68,
DDHS-3020-500,9,19,2,0,0,30,3.233,0,0,0,0,0,30,COTTER J
DDHS-3220-500,18,11,1,0,0,30,3.566,0,0,0,0,0,30,LIANG H
DDHS-3310-500,24,6,0,0,0,30,3.800,0,0,0,0,0,30,BROWN M
DDHS-3325-500,8,16,3,2,0,29,3.034,0,0,0,0,0,29,SILO-SUH L
DDHS-3340-500,8,13,6,1,1,29,2.896,0,0,0,0,0,29,KRAMER P
DDHS-3410-500,7,18,5,0,0,30,3.066,0,0,0,0,0,30,MANSOUR M
DDHS-3530-500,7,21,2,0,0,30,3.166,0,0,0,0,0,30,FOX E
DDHS-3830-500,16,8,5,0,0,29,3.379,1,0,0,0,0,30,REED K
DDHS-4240-500,29,0,0,0,0,29,4.000,0,0,0,0,0,29,REED K
DDHS-4320-500,29,0,0,0,0,29,4.000,0,0,0,0,0,29,WYATT L
DDHS-4530-500,11,18,0,0,0,29,3.379,0,0,0,0,0,29,MALLONEE L
DDHS-4710-500,29,0,0,0,0,29,4.000,0,0,0,0,0,29,WYATT L
DDHS-4810-500,19,10,0,0,0,29,3.655,0,0,0,0,0,29,BENDER S
DEPARTMENT TOTAL:,214,140,24,3,1,382,3.425,1,0,0,0,0,383,
OMFP-619-600,16,6,0,0,0,22,3.727,0,0,0,0,0,22,WOO V
OMFR-611-600,32,0,0,0,0,32,4.000,0,0,0,0,0,32,NAIR M
DEPARTMENT TOTAL:,48,6,0,0,0,54,3.842,0,0,0,0,0,54,
OMFS-625-600,23,0,0,0,0,23,4.000,0,0,0,0,0,23,READ FULLER A
OMFS-650-600,8,0,0,0,0,8,4.000,0,0,0,0,0,8,READ FULLER A
DEPARTMENT TOTAL:,31,0,0,0,0,31,4.000,0,0,0,0,0,31,
ORTH-600-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,TAYLOR R
ORTH-611-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,JACOB H
ORTH-612-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,MURCHISON D
ORTH-615-600,6,0,0,0,0,6,0.000,0,0,0,0,0,6,TAYLOR R
ORTH-617-600,6,0,0,0,0,6,0.000,0,0,0,0,0,6,TAYLOR R
ORTH-619-600,6,0,0,0,0,6,0.000,0,0,0,0,0,6,TAYLOR R
ORTH-623-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,TADLOCK L
ORTH-626-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,TADLOCK L
ORTH-629-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,TADLOCK L
ORTH-631-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,TADLOCK L
ORTH-632-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,BUSCHANG P
ORTH-633-600,5,1,0,0,0,6,3.833,0,0,0,0,0,6,BUSCHANG P
ORTH-636-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,BUSCHANG P
ORTH-641-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,TAYLOR R
ORTH-645-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,BUSCHANG P
ORTH-649-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,GLENN G
ORTH-652-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,GLENN G
ORTH-655-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,GLENN G
PEDD-613-600,10,0,0,0,0,10,4.000,1,0,0,0,0,11,KERINS C
PEDD-616-600,10,0,0,0,0,10,4.000,0,0,0,0,0,10,KERINS C
PEDD-623-600,10,0,0,0,0,10,4.000,1,0,0,0,0,11,KERINS C
PEDD-626-600,10,0,0,0,0,10,4.000,0,0,0,0,0,10,KERINS C
DEPARTMENT TOTAL:,40,0,0,0,0,40,4.000,2,0,0,0,0,42
COLLEGE TOTAL:,551,165,28,3,2,749,3.610,3,0,0,0,0,752
