Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
AERO-201-500,6,19,10,2,1,38,2.710,2,0,0,1,0,41,STRGANAC T
AERO-211-500,7,15,6,3,1,32,2.750,0,0,0,1,0,33,GUZMAN F
AERO-212-200,7,7,1,0,0,15,3.400,0,0,0,0,0,15,DOGARIU A
AERO-212-500,16,37,14,5,1,73,2.849,0,0,0,8,0,81,DOGARIU A
AERO-212-501,16,13,17,7,0,53,2.716,0,0,0,5,0,58,KARPETIS A
AERO-212-502,2,6,1,1,0,10,2.900,0,0,0,2,0,12,KARPETIS A
AERO-214-500,0,1,1,1,2,5,1.200,0,0,0,5,0,10,LE GRAVEREND J
AERO-214-501,2,6,4,3,0,15,2.466,0,0,0,3,0,18,LE GRAVEREND J
AERO-214-502,2,4,3,2,0,11,2.545,0,0,0,6,0,17,LE GRAVEREND J
AERO-214-503,1,7,3,2,0,13,2.538,0,0,0,5,0,18,LE GRAVEREND J
AERO-214-504,2,5,5,0,1,13,2.538,0,0,0,4,0,17,LE GRAVEREND J
AERO-214-505,1,7,3,1,1,13,2.461,0,0,0,0,0,13,LE GRAVEREND J
AERO-214-506,1,8,5,0,0,14,2.714,0,0,0,2,0,16,LE GRAVEREND J
AERO-214-507,2,7,6,1,0,16,2.625,0,0,0,0,0,16,LE GRAVEREND J
AERO-214-508,1,8,3,1,0,13,2.692,0,0,0,2,0,15,NARAGHI M
AERO-214-509,5,6,2,2,1,16,2.750,0,0,0,0,0,16,NARAGHI M
AERO-214-510,10,9,0,1,0,20,3.400,0,0,0,0,0,20,NARAGHI M
AERO-214-511,1,8,3,0,0,12,2.833,0,0,0,1,0,13,LE GRAVEREND J
AERO-214-512,1,2,2,1,0,6,2.500,0,0,0,2,0,8,LE GRAVEREND J
AERO-222-200,12,11,5,1,0,29,3.172,0,0,0,0,0,29,WHITCOMB J
AERO-222-500,6,5,3,0,0,14,3.214,1,0,0,3,0,18,WHITCOMB J
AERO-222-501,5,12,7,4,1,29,2.551,0,0,0,0,0,29,WHITCOMB J
AERO-222-502,10,7,6,4,0,27,2.851,0,0,0,2,0,29,WHITCOMB J
AERO-222-503,4,6,10,6,2,28,2.142,0,0,0,2,0,30,WHITCOMB J
AERO-222-504,10,3,5,2,0,20,3.050,0,0,0,2,0,22,FERNANDES R
AERO-222-505,14,7,2,1,1,25,3.280,0,0,0,0,0,25,FERNANDES R
AERO-301-500,9,27,17,3,3,59,2.610,0,0,0,6,0,65,WHITE E
AERO-301-501,22,14,4,2,1,43,3.255,0,0,0,1,0,44,TROPINA A
AERO-303-200,3,3,0,0,0,6,3.500,0,0,0,0,0,6,LIMBACH C
AERO-303-500,14,21,9,2,1,47,2.957,0,0,0,1,0,48,LIMBACH C
AERO-303-501,7,43,24,6,3,83,2.542,0,0,0,3,0,86,GROOT K
AERO-304-500,12,25,22,2,4,65,2.600,0,0,0,7,0,72,TALREJA R
AERO-306-500,48,3,0,0,0,51,3.941,0,0,0,0,0,51,STROUBOULIS T
AERO-306-501,19,25,13,5,3,65,2.800,0,0,0,11,0,76,HARTL D
AERO-307-900,7,4,2,0,0,13,3.384,0,0,0,1,0,14,JACKSON S
AERO-307-902,10,2,1,0,0,13,3.692,0,0,0,1,0,14,JACKSON S
AERO-307-903,4,5,0,0,0,9,3.444,0,0,0,0,0,9,JACKSON S
AERO-307-905,9,3,0,0,0,12,3.750,0,0,0,0,0,12,JACKSON S
AERO-310-502,19,49,18,1,2,89,2.921,0,0,0,1,0,90,BHATTACHARYA R
AERO-321-200,2,1,2,0,0,5,3.000,0,0,0,0,0,5,VADALI S
AERO-321-500,5,11,7,5,1,29,2.482,0,0,0,7,0,36,VADALI S
AERO-321-501,4,32,25,8,2,71,2.394,0,0,0,15,0,86,VADALI S
AERO-351-500,18,32,25,3,2,80,2.762,0,0,0,9,0,89,CIZMAS P
AERO-351-501,6,14,17,1,1,39,2.589,0,0,0,9,0,48,CIZMAS P
AERO-401-930,15,0,1,0,0,16,3.875,0,0,0,0,0,16,WORSHAM B
AERO-402-500,11,5,0,0,0,16,3.687,0,0,0,0,0,16,HARTL D
AERO-402-501,24,0,0,0,1,25,3.840,0,0,0,0,0,25,SELVA VALERO D
AERO-402-502,55,2,0,0,0,57,3.964,0,0,0,0,0,57,WORSHAM B
AERO-402-503,14,0,0,0,0,14,4.000,0,0,0,0,0,14,DUNBAR B
AERO-402-504,13,0,0,0,0,13,4.000,0,0,0,0,0,13,DIAZ ARTILES A
AERO-402-505,24,0,1,0,0,25,3.920,0,0,0,0,0,25,VALASEK J
AERO-402-506,8,0,0,0,0,8,4.000,0,0,0,0,0,8,BOWERSOX R
AERO-402-507,6,0,0,0,0,6,4.000,0,0,0,0,0,6,SHRYOCK K
AERO-404-500,28,15,0,0,1,44,3.568,0,0,0,0,0,44,TALREJA R
AERO-405-500,10,14,2,1,0,27,3.222,1,0,0,0,0,28,HARTL D
AERO-413-500,24,46,22,1,1,94,2.968,0,0,0,0,0,94,WONG Z
AERO-415-500,2,5,1,0,1,9,2.777,0,0,0,3,0,12,CIZMAS P
AERO-420-500,13,10,3,1,0,27,3.296,0,0,0,2,0,29,STRGANAC T
AERO-422-501,27,48,19,2,1,97,3.010,0,0,0,0,0,97,DEMARS K
AERO-423-500,31,29,8,0,0,68,3.338,0,0,0,2,0,70,MORTARI D
AERO-425-500,26,0,0,0,0,26,4.000,0,0,0,0,0,26,VALASEK J
AERO-430-500,45,3,0,0,1,49,3.857,0,0,0,4,0,53,STROUBOULIS T
AERO-451-500,43,4,0,0,0,47,3.914,0,0,0,0,0,47,CHAMITOFF G
AERO-452-500,19,34,7,2,0,62,3.129,0,0,0,0,0,62,DONZIS D
AERO-452-501,13,28,18,2,0,61,2.852,0,0,0,1,0,62,HUTCHINSON A
AERO-489-501,6,4,0,0,0,10,3.600,0,0,0,0,0,10,CURRIE-GREGG N
AERO-602-600,15,24,3,0,0,42,3.285,0,0,0,1,0,43,KARPETIS A
AERO-604-601,6,7,1,0,0,14,3.357,0,0,0,0,0,14,HARTL D
