Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
PHEO-612-698,22,1,0,0,0,23,3.956,0,0,0,0,0,23,CARRILLO G
PHEO-630-601,11,0,1,0,0,12,3.833,0,0,0,0,0,12,JOHNSON N
PHEO-639-601,19,0,0,0,0,19,4.000,0,0,0,0,0,19,CIZMAS L
PHEO-640-600,4,11,0,0,0,15,3.266,0,0,0,0,0,15,PICKENS A
PHEO-645-600,6,6,0,0,0,12,3.500,0,0,0,0,0,12,BENDEN M
PHEO-650-699,24,4,0,0,0,28,3.857,0,0,0,0,0,28,MENDOZA SANCHEZ I
PHEO-655-600,17,6,0,0,0,23,3.739,0,0,0,0,0,23,PERES C
PHEO-675-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,SHARMA V
PHEO-679-600,9,7,1,0,0,17,3.470,0,0,0,0,0,17,BENDEN M
PHEO-682-601,9,8,1,0,0,18,3.444,0,0,0,0,0,18,BENDEN M
PHEB-602-698,3,1,0,0,1,5,3.000,0,0,0,1,0,6,ZHENG Q
PHEB-603-601,23,13,0,0,0,36,3.638,0,0,0,0,0,36,ZHAO H
PHEB-603-700,14,12,4,0,1,31,3.225,1,0,0,1,0,33,ZHAO H
PHEB-605-600,12,9,1,0,0,22,3.500,0,0,0,0,0,22,HAN D
PHEB-605-700,6,2,0,1,1,10,3.100,0,0,0,0,0,10,XU X
PHEB-612-601,30,8,0,0,0,38,3.789,0,0,0,0,0,38,XU X
PHEB-612-700,27,4,0,1,0,32,3.781,2,0,0,0,0,34,ROH T
PHEB-613-600,17,4,0,0,0,21,3.809,0,0,0,0,0,21,DIXON B
PHEB-614-699,7,1,0,0,0,8,3.875,0,0,0,0,0,8,ZHENG Q
PHEB-615-600,11,0,0,0,0,11,4.000,0,0,0,0,0,11,CLENDENIN M
PHEB-615-700,22,1,0,0,0,23,3.956,0,0,0,0,0,23,CLENDENIN M
PHEB-621-600,14,0,0,0,0,14,4.000,0,0,0,0,0,14,KALBASI S
PHEB-621-700,5,6,1,0,0,12,3.333,1,0,0,0,0,13,KALBASI S
PHEB-624-600,10,0,0,0,0,10,4.000,0,0,0,1,0,11,GORMAN D
PHEB-624-700,31,0,0,0,0,31,4.000,0,0,0,0,0,31,GORMAN D
PHEB-634-600,7,2,0,0,0,9,3.777,0,0,0,0,0,9,HAN D
DEPARTMENT TOTAL:,239,63,6,2,3,313,3.702,4,0,0,3,0,320,
PHPM-605-600,4,4,0,0,0,8,3.500,0,0,0,1,0,9,HATALA J
PHPM-614-600,48,26,0,0,0,74,3.648,0,0,0,0,0,74,WASHBURN D
PHPM-614-601,14,0,0,0,0,14,4.000,0,0,0,0,0,14,FORD E
PHPM-616-650,12,2,0,0,0,14,3.857,0,0,0,0,0,14,BUTKUS S
PHPM-617-600,34,9,0,0,0,43,3.790,0,0,0,1,0,44,COTE M
PHPM-623-600,25,6,0,0,0,31,3.806,0,0,0,0,0,31,ANDREYEVA E
PHPM-624-600,46,0,0,0,0,46,4.000,0,0,0,0,0,46,FISH J
PHPM-625-600,33,0,0,0,0,33,4.000,0,0,0,0,0,33,HATALA J
PHPM-631-600,40,5,0,0,0,45,3.888,0,0,0,0,0,45,KUM H
PHPM-633-600,24,8,0,0,0,32,3.750,0,0,0,0,0,32,SCHMIT C
PHPM-639-601,15,0,0,0,0,15,4.000,1,0,0,0,0,16,COLWELL G
PHPM-640-600,58,11,0,0,0,69,3.840,0,0,0,0,0,69,CALLAGHAN T
PHPM-643-600,17,2,0,0,0,19,3.894,0,0,0,0,0,19,CALLAGHAN T
PHPM-653-600,7,0,0,0,0,7,4.000,0,0,0,0,0,7,UKERT B
PHPM-654-600,25,17,2,0,0,44,3.522,0,0,0,0,0,44,UKERT B
PHPM-672-600,7,0,0,0,0,7,4.000,0,0,0,0,0,7,UKERT B
PHPM-680-700,26,0,0,0,0,26,4.000,0,0,0,0,0,26,KASH B
HPCH-605-601,13,14,5,0,0,32,3.250,0,0,0,4,0,36,SHARKEY J
HPCH-610-600,33,0,0,0,0,33,4.000,0,0,0,0,0,33,BURDINE J
HPCH-611-600,31,1,0,0,0,32,3.968,0,0,0,0,0,32,COLWELL G
DEPARTMENT TOTAL:,77,15,5,0,0,97,3.742,0,0,0,4,0,101,
PHLT-289-500,12,0,0,0,0,12,4.000,0,0,0,0,0,12,RODRIGUEZ J
PHLT-302-597,74,19,3,1,0,97,3.711,0,0,0,1,0,98,BOKELMANN A
PHLT-302-598,69,22,5,0,0,96,3.666,0,0,0,2,0,98,BOKELMANN A
PHLT-302-599,16,11,4,1,1,33,3.212,0,0,0,1,0,34,BOKELMANN A
PHLT-303-500,50,31,5,0,0,86,3.523,0,0,0,2,0,88,GANDARA E
PHLT-303-501,43,20,4,0,0,67,3.582,0,0,0,0,0,67,GANDARA E
PHLT-304-500,31,18,1,0,0,50,3.600,0,0,0,0,0,50,CIZMAS L
PHLT-304-501,62,35,3,0,0,100,3.590,0,0,0,0,0,100,CIZMAS L
PHLT-305-500,52,27,16,0,1,96,3.343,0,0,0,2,0,98,UYAMASI K
PHLT-305-501,35,17,2,0,0,54,3.611,0,0,0,0,0,54,HOSSAIN M
PHLT-305-M01,13,5,0,0,0,18,3.722,0,0,0,0,0,18,MIER N
PHLT-307-500,148,4,0,1,0,153,3.954,0,0,0,1,0,154,SANSOM G
PHLT-307-M01,14,1,0,0,0,15,3.933,0,0,0,0,0,15,SANSOM G
PHLT-309-500,58,5,1,0,0,64,3.890,0,0,0,0,0,64,STASI S
PHLT-309-501,83,4,3,1,1,92,3.815,0,0,0,1,0,93,STASI S
PHLT-309-M01,6,5,2,0,0,13,3.307,0,0,0,0,0,13,MIER N
PHLT-313-500,27,24,4,1,0,56,3.375,0,0,0,2,0,58,LIN S
PHLT-313-501,27,33,4,1,0,65,3.323,0,0,0,3,0,68,LIN S
PHLT-314-500,33,2,0,0,0,35,3.942,0,0,0,0,0,35,PATINO I
PHLT-314-502,24,8,3,0,0,35,3.600,0,0,0,1,0,36,ZHANG B
PHLT-314-503,21,10,2,0,0,33,3.575,0,0,0,0,0,33,ZHANG B
PHLT-314-504,21,13,0,0,1,35,3.514,0,0,0,0,0,35,OBENG A
PHLT-315-500,7,1,3,0,0,11,3.363,0,0,0,0,0,11,BEVERLY J
PHLT-315-501,15,14,5,0,0,34,3.294,0,0,0,1,0,35,BEVERLY J
PHLT-315-502,17,4,1,2,0,24,3.500,0,0,0,1,0,25,LIN S
PHLT-315-503,4,3,0,0,0,7,3.571,0,0,0,1,0,8,BEVERLY J
PHLT-315-504,21,11,2,0,0,34,3.558,0,0,0,0,0,34,LIN S
PHLT-315-M01,9,8,1,0,0,18,3.444,0,0,0,0,0,18,MIER N
PHLT-330-500,94,4,2,0,0,100,3.920,0,0,0,1,0,101,MCDONALD T
PHLT-330-501,46,7,0,2,0,55,3.763,0,0,0,0,0,55,SHARMA V
PHLT-330-M01,2,8,3,0,0,13,2.923,0,0,0,0,0,13,FLORES K
PHLT-333-599,37,24,8,3,2,74,3.229,0,0,0,0,0,74,BOKELMANN A
PHLT-370-200,20,0,0,0,0,20,4.000,0,0,0,1,0,21,CURTIS JR. D
PHLT-410-500,26,17,5,0,0,48,3.437,0,0,0,1,0,49,MADDOCK J
PHLT-410-501,69,30,2,0,0,101,3.663,0,0,0,0,0,101,MADDOCK J
PHLT-411-500,68,32,3,0,0,103,3.631,0,0,0,0,0,103,JASEK E
PHLT-411-M01,6,0,0,0,0,6,4.000,0,0,0,0,0,6,FLORES K
PHLT-412-500,60,18,2,0,0,80,3.725,0,0,0,1,0,81,LIN S
PHLT-412-501,24,8,1,0,0,33,3.696,0,0,0,0,0,33,SANCHEZ S
PHLT-415-500,45,8,1,0,0,54,3.814,0,0,0,0,0,54,CLENDENIN M
PHLT-415-502,46,7,0,0,0,53,3.867,0,0,0,0,0,53,CLENDENIN M
PHLT-415-M01,3,3,0,0,0,6,3.500,0,0,0,0,0,6,FLORES K
PHLT-434-500,16,17,6,1,1,41,3.121,0,0,0,7,27,75,PICKENS A
PHLT-441-500,9,4,0,0,0,13,3.692,0,0,0,0,0,13,GANDARA E
PHLT-441-501,21,1,0,0,0,22,3.954,0,0,0,0,0,22,GANDARA E
PHLT-441-502,38,6,0,0,0,44,3.863,0,0,0,0,0,44,GANDARA E
PHLT-441-M00,8,0,0,0,0,8,4.000,0,0,0,0,0,8,GANDARA E
PHLT-445-500,41,4,0,0,0,45,3.911,0,0,0,0,0,45,MCDONALD T
PHLT-445-501,32,3,0,1,0,36,3.833,0,0,0,0,0,36,HATALA J
PHLT-445-502,28,0,0,0,0,28,4.000,0,0,0,0,17,45,CARRILLO G
PHLT-445-503,42,3,0,0,0,45,3.933,0,0,0,0,0,45,GRIFFITH J
SOPH-604-601,20,0,1,0,0,21,3.904,0,0,0,0,0,21,ROH T
SOPH-604-602,15,3,0,0,0,18,3.833,0,0,0,0,0,18,CLENDENIN M
SOPH-604-603,10,6,0,0,0,16,3.625,0,0,0,0,0,16,SANSOM G
SOPH-604-604,15,4,1,0,0,20,3.700,0,0,0,0,0,20,HATALA J
SOPH-604-605,15,0,0,0,0,15,4.000,3,0,0,0,0,18,PICKENS A
SOPH-604-606,15,3,0,0,0,18,3.833,0,0,0,0,0,18,BURDINE J
SOPH-604-607,16,2,1,0,0,19,3.789,0,0,0,0,0,19,CARRINO G
SOPH-604-700,13,3,0,0,1,17,3.588,0,0,0,1,0,18,ROQUE M
SOPH-604-701,12,4,0,1,0,17,3.588,0,0,0,0,0,17,ROQUE M
SOPH-689-600,10,0,0,0,0,10,4.000,0,0,0,0,0,10,SMITH M
SOPH-698-604,8,1,0,0,0,9,3.888,0,0,0,0,0,9,ORY M
DEPARTMENT TOTAL:,1922,585,110,16,8,2641,3.662,3,0,0,31,44,2719
COLLEGE TOTAL:,2800,796,126,18,11,3751,3.695,8,0,0,40,44,3843
