Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
LAW-603-603,3,3,0,0,0,6,3.500,0,0,0,0,0,6,HENNING W
LAW-611-601,2,3,0,0,0,5,3.400,0,0,0,0,0,5,SEYMORE M
LAW-612-601,4,7,1,0,0,12,3.250,0,0,0,0,0,12,MARKOVIC M
LAW-615-701,17,8,4,0,1,30,3.333,0,0,0,0,0,30,MOORE C
LAW-625-701,10,0,0,0,1,11,3.636,1,0,0,0,0,12,BYRNES W
LAW-626-701,12,0,0,0,0,12,4.000,0,0,0,0,0,12,BYRNES W
LAW-641-601,15,0,1,0,1,17,3.647,0,0,0,2,0,19,ROWLETT K
LAW-643-701,18,10,0,0,0,28,3.642,0,0,0,1,0,29,DANCY J
LAW-643-702,27,0,0,0,0,27,4.000,0,0,0,1,0,28,DANCY J
LAW-643-703,20,3,0,0,0,23,3.869,0,0,0,1,0,24,MARLETT D
LAW-645-701,30,3,0,0,1,34,3.794,0,0,0,0,0,34,TOPINKA J
LAW-645-702,27,0,1,0,1,29,3.793,0,0,0,0,0,29,TOPINKA J
LAW-645-703,22,0,0,0,1,23,3.826,0,0,0,0,0,23,TOPINKA J
LAW-650-701,16,8,2,0,3,29,3.172,2,0,0,0,0,31,HELGE T
LAW-652-701,32,2,0,0,0,34,3.941,0,0,0,1,0,35,WURTZ K
LAW-660-701,52,13,0,0,0,65,3.800,0,0,0,0,0,65,MAHER B
LAW-689-700,18,6,0,0,2,26,3.461,4,0,0,0,0,30,
LAW-689-701,10,0,0,0,0,10,4.000,0,0,0,2,0,12,
LAW-689-702,27,1,1,0,0,29,3.896,3,0,0,0,0,32,
LAW-689-703,21,5,0,1,0,27,3.703,2,0,0,1,0,30,
LAW-689-706,11,0,0,0,0,11,4.000,0,0,0,0,0,11,
LAW-689-707,35,3,0,0,0,38,3.921,0,0,0,0,0,38,
LAW-689-708,22,4,3,0,0,29,3.655,0,0,0,1,0,30,
LAW-689-709,8,0,0,0,0,8,4.000,0,0,0,0,0,8,
LAW-694-701,29,1,0,0,0,30,3.966,0,0,0,0,0,30,WALLACE W
LAW-694-702,16,3,0,0,0,19,3.842,0,0,0,1,0,20,WALLACE W
LAW-708-701,18,9,0,0,1,28,3.535,0,0,0,0,1,29,LUCAS G
LAW-745-701,29,4,0,0,0,33,3.878,3,0,0,0,0,36,REILLY P
LAW-745-702,25,2,0,0,0,27,3.925,3,0,0,0,0,30,REILLY P
LAW-745-703,30,4,0,0,0,34,3.882,0,0,0,0,0,34,REILLY P
LAW-745-704,22,5,0,0,0,27,3.814,2,0,0,0,0,29,REILLY P
LAW-745-705,28,3,1,0,2,34,3.617,0,0,0,0,0,34,HARGROVE D
LAW-745-706,26,1,0,0,3,30,3.566,1,0,0,1,0,32,HARGROVE D
LAW-764-602,8,0,0,0,0,8,4.000,0,0,0,1,0,9,KU C
LAW-770-701,21,2,0,0,0,23,3.913,0,0,0,2,0,25,BRILL A
LAW-770-702,8,0,0,0,1,9,3.555,1,0,0,0,0,10,BRILL A
LAW-786-701,25,3,0,0,0,28,3.892,0,0,0,0,0,28,KOEHLER M
LAW-786-702,17,3,0,0,1,21,3.666,1,0,0,1,0,23,KOEHLER M
LAW-792-601,25,1,0,0,1,27,3.814,0,0,0,0,0,27,HARGROVE D
LAW-792-602,11,17,0,0,0,28,3.392,1,0,0,0,0,29,WELSH N
DEPARTMENT TOTAL:,797,137,14,1,20,969,3.743,24,0,0,16,1,1010
COLLEGE TOTAL:,797,137,14,1,20,969,3.743,24,0,0,16,1,1010
