Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
AGCJ-305-700,7,3,2,0,0,12,3.416,0,0,0,0,0,12,COSTELLO L
AGCJ-306-700,29,9,0,0,0,38,3.763,0,0,0,0,0,38,WALTHER D
AGCJ-307-700,2,4,4,0,1,11,2.545,0,0,0,0,0,11,WAGNER S
AGCJ-308-150,9,1,0,1,0,11,3.636,0,0,0,0,0,11,RUTHERFORD T
AGCJ-308-300,6,0,0,0,0,6,4.000,0,0,0,0,0,6,ROBERTS L
AGCJ-312-300,6,0,0,0,0,6,4.000,1,0,0,0,0,7,DUNSFORD D
AGCJ-313-900,12,2,0,0,0,14,3.857,0,0,0,0,0,14,WALTHER D
AGCJ-314-900,3,3,2,0,0,8,3.125,0,0,0,0,0,8,REDWINE T
AGCJ-409-100,8,0,0,0,0,8,4.000,0,0,0,0,0,8,ZENT R
AGCJ-481-300,8,3,1,0,0,12,3.583,1,0,0,0,0,13,DUNSFORD D
AGCJ-485-150,3,2,0,1,0,6,3.166,0,0,0,0,0,6,RUTHERFORD T
AGCJ-494-356,10,0,0,0,0,10,4.000,0,0,0,0,0,10,RUTHERFORD T
AGSC-489-100,5,1,0,0,0,6,3.833,0,0,0,0,0,6,HANCOCK J
ALEC-494-151,8,0,0,0,0,8,4.000,0,0,0,0,0,8,MAZURKIEWICZ J
ALEC-617-700,11,3,1,0,0,15,3.666,0,0,0,1,0,16,STRONG J
ALED-202-199,17,8,1,1,0,27,3.518,0,0,0,1,0,28,MOORE L
ALED-202-700,22,7,1,0,0,30,3.700,0,0,0,1,0,31,DUNN A
ALED-301-700,4,5,5,3,2,19,2.315,0,0,0,0,0,19,ODOM S
ALED-340-700,8,12,5,0,0,25,3.120,0,0,0,0,0,25,DUNN A
ALED-340-931,3,6,2,0,0,11,3.090,0,0,0,0,0,11,BENSON J
ALED-340-999,9,11,6,1,1,28,2.928,0,0,0,0,0,28,DUNN A
ALED-344-700,21,3,1,0,1,26,3.653,0,0,0,0,0,26,LOCKETT L
