Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
CEHD-603-100,5,0,0,0,0,5,4.000,0,0,0,0,0,5,GOODSON P
DEPARTMENT TOTAL:,5,0,0,0,0,5,4.000,0,0,0,0,0,5,
EDAD-609-700,27,0,0,0,0,27,4.000,0,0,0,0,0,27,POENITZSCH N
EDAD-615-300,10,0,1,0,0,11,3.818,0,0,0,0,0,11,HOLLEY S
EDAD-624-700,13,1,0,0,0,14,3.928,0,0,0,0,0,14,SMITH K
EDAD-630-300,10,0,1,0,0,11,3.818,0,0,0,0,0,11,HOLLEY S
EDAD-635-700,25,0,0,0,0,25,4.000,0,0,0,0,2,27,WEBB-JOHNSON G
EDAD-637-700,14,1,0,0,0,15,3.933,1,0,0,0,0,16,MADSEN J
EDAD-669-100,16,0,0,0,0,16,4.000,0,0,0,0,0,16,BAILEY K
EDAD-687-700,26,2,0,0,0,28,3.928,0,0,0,0,0,28,WEBB-JOHNSON G
EHRD-203-700,16,2,1,0,0,19,3.789,0,0,0,0,0,19,FOWLER R
EHRD-210-700,10,5,4,0,1,20,3.150,0,0,0,0,0,20,MARK C
EHRD-289-100,5,14,2,0,0,21,3.142,0,0,0,0,0,21,PONJUAN L
EHRD-315-700,4,12,3,0,0,19,3.052,0,0,0,0,0,19,MARK C
EHRD-371-700,21,4,1,2,1,29,3.448,0,0,0,0,0,29,BAILEY K
EHRD-372-700,14,8,1,0,1,24,3.416,0,0,0,0,0,24,MUYIA M
EHRD-374-700,13,2,4,1,0,20,3.350,0,0,0,0,0,20,MUYIA M
EHRD-391-700,2,5,8,2,1,18,2.277,0,0,0,1,0,19,SANDLIN J
EHRD-405-700,21,8,0,0,1,30,3.600,0,0,0,0,0,30,WORKMAN M
EHRD-408-701,26,3,1,0,0,30,3.833,0,0,0,0,0,30,SANDLIN J
EHRD-477-701,7,10,2,0,1,20,3.100,0,0,0,0,0,20,SMITH B
EHRD-485-702,6,2,1,0,0,9,3.368,0,0,0,0,0,9,SANDLIN J
EHRD-490-701,10,9,2,2,0,23,3.173,1,0,0,0,1,25,MUSOBA G
EHRD-490-702,3,10,3,0,1,17,2.823,0,0,0,0,0,17,SANDLIN J
EHRD-605-700,17,0,1,0,0,18,3.888,0,0,0,1,0,19,DOOLEY L
EHRD-618-700,24,0,0,0,0,24,4.000,0,0,0,0,0,24,DIRANI K
EHRD-622-700,18,1,0,0,0,19,3.947,0,0,0,0,0,19,WANG J
EHRD-627-700,14,4,0,1,0,19,3.631,0,0,0,0,0,19,MUSOBA G
EHRD-630-700,18,0,0,0,0,18,4.000,0,0,0,0,0,18,MUYIA M
TCMG-308-700,24,3,1,0,0,28,3.821,0,0,0,0,0,28,WORKMAN M
TCMG-402-700,13,11,6,0,1,31,3.031,1,0,1,1,0,34,MARK C
BIED-614-701,28,0,0,0,0,28,4.000,0,0,0,0,0,28,JIMENEZ D
BIED-632-701,28,0,0,0,0,28,4.000,0,0,0,0,0,28,JIMENEZ D
CPSY-601-700,24,6,0,0,0,30,3.800,0,0,0,0,0,30,CASTILLO L
CPSY-603-700,17,2,0,0,0,19,3.894,0,0,0,0,0,19,BLAKE J
CPSY-630-700,31,1,0,0,0,32,3.968,0,0,0,0,0,32,CASTILLO L
CPSY-676-100,6,0,0,0,0,6,4.000,0,0,0,0,0,6,FOURNIER C
CPSY-683-300,6,0,0,0,0,6,4.000,0,1,0,0,2,9,RIDLEY C
EDTC-613-700,21,2,0,0,0,23,3.913,0,0,0,0,0,23,SWEET K
EDTC-631-700,18,5,0,0,0,23,3.782,0,0,0,0,0,23,QUIROZ R
EPFB-210-700,9,2,2,0,0,13,3.538,0,0,0,0,0,13,MONTAGUE M
EPSY-320-700,20,0,3,0,1,24,3.583,1,0,0,0,0,25,JUNTUNE J
EPSY-320-701,12,1,0,0,2,15,3.400,0,0,0,0,0,15,JUNTUNE J
EPSY-321-700,9,0,1,0,0,10,3.800,0,0,0,0,0,10,MARVEL A
EPSY-431-700,33,4,1,0,1,39,3.743,0,0,0,0,0,39,RAMOS GARCIMARTIN H
EPSY-435-700,16,10,8,0,1,35,3.142,0,0,0,2,0,37,IHORN S
EPSY-435-701,33,5,0,0,0,38,3.868,0,0,0,0,0,38,RAMOS S
EPSY-459-101,5,0,0,0,0,5,4.000,0,0,0,0,0,5,WOODWARD R
EPSY-604-700,29,1,1,0,0,31,3.903,0,0,0,0,0,31,CASTILLO L
EPSY-621-199,16,0,0,0,0,16,4.000,0,0,0,0,0,16,RICCIO C
EPSY-621-700,5,1,0,0,0,6,3.833,0,0,0,0,0,6,RICCIO C
EPSY-622-700,17,0,0,0,0,17,4.000,0,0,0,0,0,17,RAMOS S
EPSY-635-700,5,2,0,0,2,9,2.888,0,0,0,0,0,9,IHORN S
EPSY-644-399,8,1,0,0,0,9,3.888,0,0,0,0,0,9,COOK K
EPSY-647-100,11,0,0,0,0,11,4.000,0,0,0,0,0,11,RIDLEY C
EPSY-673-700,30,0,0,0,0,30,4.000,0,0,0,0,0,30,JUNTUNE J
EPSY-679-700,5,3,0,0,0,8,3.625,0,0,0,0,0,8,MONTAGUE M
EPSY-685-700,5,0,0,0,0,5,4.000,0,0,0,0,0,5,JUNTUNE J
EPSY-685-701,5,0,0,0,0,5,4.000,0,0,0,0,0,5,JUNTUNE J
EPSY-689-701,8,0,0,0,0,8,4.000,0,0,0,1,1,10,WALICHOWSKI M
INST-210-700,10,16,1,1,0,28,3.250,0,0,0,0,0,28,SALLESE M
INST-210-701,4,12,5,0,1,22,2.818,0,0,0,1,0,23,WHIRLEY M
INST-210-702,8,17,3,0,1,29,3.068,0,0,0,0,0,29,MONTAGUE M
INST-301-700,9,2,0,1,2,14,3.071,0,0,0,0,0,14,WOODWARD R
INST-301-701,6,4,2,0,0,12,3.333,0,0,0,1,0,13,WOODWARD R
SPED-601-700,20,9,0,0,0,29,3.689,0,0,0,0,0,29,FOURNIER C
SPED-601-701,18,1,0,0,0,19,3.947,0,0,0,0,1,20,FOURNIER C
SPED-609-700,38,0,0,0,1,39,3.897,0,0,0,0,0,39,DICKEY M
SPED-628-700,33,0,0,0,0,33,4.000,0,0,0,0,0,33,FOURNIER C
SPED-628-701,20,1,0,0,0,21,3.952,0,0,0,0,0,21,FOURNIER C
SPED-642-299,3,2,0,0,0,5,3.600,0,0,0,0,0,5,VANNEST K
SPED-642-700,26,3,0,0,0,29,3.896,0,0,0,1,0,30,VANNEST K
SPSY-611-100,9,0,0,0,0,9,4.000,0,0,0,0,0,9,RICCIO C
SPSY-644-300,6,0,0,0,0,6,4.000,0,0,0,0,0,6,RAE W
DEPARTMENT TOTAL:,670,113,27,2,12,824,3.729,1,1,0,6,4,836,
ATTR-660-201,5,5,0,0,0,10,3.500,0,0,0,0,0,10,GREENWOOD L
ATTR-661-201,10,0,0,0,0,10,4.000,0,0,0,0,0,10,GREENWOOD L
DCED-202-700,44,9,2,0,0,55,3.763,0,0,0,0,0,55,ALVAREZ A
DCED-202-701,50,9,0,0,0,59,3.847,0,0,0,1,0,60,BERGERON C
DCED-202-702,56,0,0,0,0,56,4.000,0,0,0,0,1,57,POOLEY-DETWILER A
DCED-202-703,56,1,1,0,1,59,3.881,0,0,0,1,0,60,ARMSTRONG C
DCED-202-704,56,2,0,0,0,58,3.965,0,0,0,0,0,58,BERGERON C
DCED-202-705,54,2,0,0,0,56,3.964,0,0,0,0,0,56,BERGERON C
DCED-202-706,57,3,0,0,0,60,3.950,0,0,0,0,0,60,POOLEY-DETWILER A
DCED-202-707,55,5,0,0,0,60,3.916,0,0,0,0,0,60,ARMSTRONG C
DCED-202-708,51,5,0,0,0,56,3.910,0,0,0,0,0,56,BEDFORD D
DCED-202-709,39,8,4,3,2,56,3.410,0,0,0,1,1,58,ALVAREZ A
DCED-202-710,51,3,1,1,1,57,3.789,0,0,0,0,0,57,BEDFORD D
HLTH-214-701,3,4,4,1,0,12,2.750,0,0,0,2,0,14,LIU J
HLTH-216-101,13,3,0,0,0,16,3.812,0,0,0,0,0,16,VENABLE L
HLTH-216-103,5,5,2,0,0,12,3.250,0,0,0,0,0,12,KNIFFIN D
HLTH-216-200,10,0,0,0,0,10,4.000,0,0,0,0,0,10,VENABLE L
HLTH-231-700,44,10,1,1,1,57,3.666,0,0,0,3,0,60,HANIK B
HLTH-236-700,64,24,1,0,1,90,3.666,0,0,0,1,0,91,FEHR S
HLTH-236-701,64,31,3,2,2,102,3.500,0,0,0,1,0,103,HANIK B
HLTH-240-700,15,5,2,1,2,25,3.200,0,0,0,0,0,25,JACKSON Z
HLTH-334-700,50,8,3,0,0,61,3.770,0,0,0,1,0,62,JI Q
HLTH-334-701,44,6,0,0,0,50,3.880,0,0,0,0,0,50,WARD S
HLTH-335-701,23,1,0,0,0,24,3.958,0,0,0,0,0,24,HANIK B
HLTH-335-702,23,1,0,0,0,24,3.958,0,0,0,0,0,24,IDOKO E
HLTH-353-700,48,2,0,0,0,50,3.960,0,0,0,0,0,50,RUSSELL A
HLTH-354-700,89,35,5,3,0,132,3.590,0,0,0,1,0,133,HANIK B
HLTH-403-700,11,24,9,1,0,45,3.000,0,0,0,3,0,48,MCNEILL E
HLTH-407-200,12,0,0,0,0,12,4.000,0,0,0,0,0,12,TISONE C
HLTH-410-700,7,6,4,0,0,17,3.176,0,0,0,1,0,18,BROWN J
HLTH-484-301,13,0,0,0,0,13,4.000,0,0,0,0,0,13,WILSON K
HLTH-484-351,25,1,0,0,0,26,3.961,0,0,0,0,0,26,WILSON K
HLTH-485-250,5,0,0,0,0,5,4.000,0,0,0,0,0,5,CHEN L
HLTH-489-100,7,0,0,0,0,7,4.000,0,0,0,0,0,7,TISONE C
HLTH-489-101,6,0,0,0,0,6,4.000,1,0,0,0,0,7,GILREATH T
HLTH-634-700,6,3,0,0,0,9,3.666,0,0,0,0,0,9,SHIPLEY M
HLTH-635-700,18,0,0,0,0,18,4.000,0,0,0,0,0,18,TISONE C
HLTH-659-100,11,0,0,0,0,11,4.000,0,0,0,0,0,11,GOODSON P
HLTH-685-250,5,0,0,0,0,5,4.000,0,0,0,0,0,5,CHEN L
KINE-120-802,21,1,0,0,0,22,3.954,0,0,0,0,0,22,POOLEY-DETWILER A
KINE-120-803,7,2,1,0,0,10,3.600,0,0,0,0,0,10,POOLEY-DETWILER A
KINE-120-804,11,0,0,0,0,11,4.000,0,0,0,0,0,11,BIN MOHD
KINE-120-805,14,0,0,0,0,14,4.000,0,0,0,0,0,14,BIN MOHD
KINE-120-806,11,1,0,0,0,12,3.916,0,0,0,0,0,12,LETSINGER A
KINE-120-807,20,5,0,0,0,25,3.800,0,0,0,0,0,25,LETSINGER A
KINE-120-808,8,4,2,0,1,15,3.200,0,2,0,2,0,19,BERTHOT P
KINE-120-810,13,0,0,0,0,13,4.000,0,0,0,1,0,14,ARMSTRONG C
KINE-120-812,12,0,0,0,0,12,4.000,0,2,0,1,0,15,ARMSTRONG C
KINE-120-815,3,5,3,0,0,11,3.000,0,0,0,1,0,12,LITTLE S
KINE-199-251,9,1,0,0,0,10,3.900,0,0,0,0,0,10,WOOSLEY J
KINE-199-252,10,0,0,0,0,10,4.000,0,0,0,0,0,10,ISENHART M
KINE-199-327,5,0,0,0,0,5,4.000,0,7,0,0,1,13,WENZEL T
KINE-199-384,12,2,0,0,0,14,3.857,0,0,0,0,0,14,BYLER D
KINE-199-510,6,0,0,0,0,6,4.000,0,9,0,0,0,15,LOCKLEAR A
KINE-199-512,14,3,0,0,0,17,3.823,0,0,0,0,0,17,BYLER D
KINE-214-701,2,9,0,0,1,12,2.916,0,0,0,1,0,13,LIU J
KINE-223-002,13,1,2,0,0,16,3.687,0,0,0,0,0,16,WILLINGHAM K
KINE-223-003,17,3,0,0,0,20,3.850,0,0,0,1,0,21,WAITE L
KINE-223-004,8,6,2,0,0,16,3.375,0,0,0,0,0,16,SAFDARI S
KINE-223-009,11,4,1,0,0,16,3.625,0,0,0,1,0,17,SLAGEL K
KINE-223-250,5,0,0,0,0,5,4.000,0,0,0,0,0,5,ISENHART M
KINE-307-700,4,9,5,2,0,20,2.750,0,0,0,0,0,20,GABBARD C
KINE-318-200,4,13,12,2,0,31,2.612,0,0,0,0,0,31,KNIFFIN D
KINE-324-100,8,4,0,0,0,12,3.666,0,0,0,0,0,12,THORNTON J
KINE-406-100,5,9,0,0,0,14,3.357,0,0,0,0,0,14,BUCHANAN J
KINE-426-101,10,5,2,0,0,17,3.470,0,0,0,0,0,17,KIRKHAM E
KINE-426-201,3,9,5,0,0,17,2.882,0,0,0,0,0,17,LAWLER J
KINE-427-100,14,4,1,0,0,19,3.684,0,0,0,0,0,19,GREEN J
KINE-433-100,34,9,0,0,0,43,3.790,0,0,0,0,0,43,FLUCKEY J
KINE-439-900,8,3,0,0,0,11,3.727,0,0,0,0,0,11,MARTIN S
KINE-483-301,15,0,0,0,0,15,4.000,0,0,0,0,0,15,THORNTON M
KINE-483-302,7,0,0,0,0,7,4.000,0,0,0,0,0,7,MARTIN S
KINE-484-301,6,0,0,0,0,6,4.000,0,0,0,0,0,6,GREEN J
KINE-485-250,5,0,0,0,0,5,4.000,0,0,0,0,0,5,WOOSLEY J
KINE-628-101,11,15,1,0,0,27,3.370,0,0,0,0,0,27,GREENWOOD M
SPMT-217-700,29,1,0,0,0,30,3.966,0,0,0,1,0,31,BROWN K
