Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
ANTH-201-200,7,14,7,0,0,28,3.000,0,0,0,0,1,29,GURSKY S
ANTH-205-101,25,11,2,0,0,38,3.605,0,0,0,0,0,38,LYNCH D
ANTH-205-201,27,11,4,0,0,42,3.547,0,0,0,0,0,42,KENNEDY C
ANTH-324-100,17,1,2,1,0,21,3.619,0,0,0,0,0,21,DEL CIAMPO M
ANTH-370-900,7,6,1,0,0,14,3.428,0,0,0,0,0,14,WINKING J
ANTH-370-901,25,0,0,0,0,25,4.000,0,0,0,0,0,25,DE RUITER D
FILM-251-100,21,2,0,0,0,23,3.913,0,0,0,0,0,23,BYABARTTA D
WGST-374-100,5,0,0,0,0,5,4.000,0,0,0,0,0,5,AHN H
DEPARTMENT TOTAL:,26,2,0,0,0,28,3.928,0,0,0,0,0,28,
COMM-203-101,8,6,1,2,1,18,3.000,0,0,0,0,0,18,WU Q
COMM-203-102,8,10,2,1,1,22,3.045,0,0,0,1,0,23,WHITTEN R
COMM-203-103,7,17,0,0,0,24,3.291,0,0,0,0,0,24,CHEN F
COMM-203-104,4,11,4,0,1,20,2.850,0,0,0,3,0,23,COLGLAZIER K
COMM-203-105,11,9,1,0,3,24,3.041,0,0,0,0,0,24,GLOECKNER P
COMM-203-106,6,9,8,0,1,24,2.791,0,0,0,0,0,24,WINFIELD A
COMM-203-107,11,5,3,1,0,20,3.300,0,0,0,0,0,20,CHABOKI DARZABI R
COMM-203-108,10,6,2,0,1,19,3.263,0,0,0,0,0,19,MUNSON D
COMM-203-109,6,15,2,0,0,23,3.173,0,0,0,0,0,23,TARVIN D
COMM-203-110,9,13,0,0,0,22,3.409,0,0,0,0,0,22,MUNSON D
COMM-203-201,4,11,3,0,0,18,3.055,0,0,0,0,0,18,EVERETT B
COMM-203-203,16,7,1,0,1,25,3.480,0,0,0,0,0,25,ADAMS T
COMM-203-204,3,14,2,0,1,20,2.900,0,0,0,0,0,20,WINFIELD A
COMM-203-205,10,6,3,0,0,19,3.368,0,0,0,2,0,21,COLGLAZIER K
COMM-203-206,8,12,1,0,1,22,3.181,0,0,0,1,0,23,GALAL A
COMM-203-207,6,10,2,0,0,18,3.222,0,0,0,3,0,21,ZHAO Y
COMM-203-208,6,15,0,1,0,22,3.181,0,0,0,0,0,22,CHABOKI DARZABI R
COMM-203-209,11,7,1,0,1,20,3.350,0,0,0,1,0,21,WHITTEN R
COMM-203-210,7,12,2,0,0,21,3.238,0,0,0,0,0,21,MURAWSKI C
COMM-203-211,7,15,0,2,0,24,3.125,0,0,0,0,0,24,PARISH N
COMM-215-100,11,5,0,0,0,16,3.687,0,0,0,0,0,16,ROWE S
COMM-243-200,13,9,1,0,0,23,3.521,0,0,0,0,0,23,MUNSON D
COMM-289-150,14,7,0,0,0,21,3.666,0,0,0,0,0,21,CRICK N
COMM-315-199,37,63,23,4,3,130,2.976,0,1,0,3,0,134,BRANNON G
COMM-315-299,29,51,14,0,2,96,3.093,0,0,0,4,0,100,GLOECKNER P
COMM-325-199,12,15,11,0,2,40,2.875,0,0,0,0,0,40,WESNER K
COMM-325-299,29,37,12,1,0,79,3.189,0,0,0,2,0,81,LUECK J
COMM-335-199,27,54,18,3,0,102,3.029,0,0,0,3,1,106,TARVIN D
COMM-335-299,25,40,7,0,0,72,3.250,0,0,0,0,0,72,MILLER L
COMM-340-299,67,38,9,4,0,118,3.423,1,0,0,1,0,120,FOGLE K
COMM-437-900,9,13,1,0,0,23,3.347,0,0,0,0,0,23,ROLD M
COMM-440-900,20,2,0,0,0,22,3.909,0,0,0,0,0,22,CRICK N
COMM-450-900,14,7,1,0,0,22,3.590,0,0,0,0,0,22,PARISH N
DEPARTMENT TOTAL:,465,551,135,19,19,1189,3.197,1,1,0,24,1,1216,
