Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
PHEB-612-698,5,0,0,0,0,5,4.000,0,0,0,0,1,6,ZANWAR P
PHEB-612-699,36,0,0,0,0,36,4.000,0,0,0,0,0,36,ZANWAR P
PHEB-612-700,11,2,0,0,0,13,3.846,0,0,0,0,0,13,ZANWAR P
DEPARTMENT TOTAL:,52,2,0,0,0,54,3.962,0,0,0,0,1,55,
PHPM-623-600,7,3,0,0,0,10,3.700,0,0,0,0,0,10,MILLER T
PHPM-640-600,9,0,0,0,0,9,4.000,0,0,0,0,0,9,MCMAUGHAN MOUDOUNI
PHPM-680-600,7,2,0,0,0,9,3.777,0,0,0,0,0,9,DICKEY N
PHPM-689-100,7,0,0,0,0,7,4.000,0,0,0,0,0,7,TOMASZEWSKI L
HPCH-603-699,33,10,1,0,0,44,3.727,0,0,0,0,0,44,TAI-SEALE T
HPCH-641-699,18,0,0,0,0,18,4.000,0,0,0,0,0,18,TAI-SEALE T
HPCH-641-700,6,0,0,0,0,6,4.000,0,0,0,0,0,6,TAI-SEALE T
DEPARTMENT TOTAL:,57,10,1,0,0,68,3.823,0,0,0,0,0,68,
PHLT-302-100,11,3,0,0,0,14,3.785,1,0,0,0,0,15,LIN S
PHLT-303-200,21,0,0,0,0,21,4.000,0,0,0,0,0,21,MCDONALD T
PHLT-305-200,24,7,1,0,0,32,3.718,0,0,0,0,0,32,KARAYE I
PHLT-330-100,25,2,0,0,0,27,3.925,0,0,0,0,0,27,CARRILLO G
PHLT-470-151,15,0,0,0,0,15,4.000,0,0,0,0,0,15,HONG Y
PHLT-485-250,10,0,0,0,0,10,4.000,0,0,0,0,0,10,DANKO R
PHLT-489-250,10,0,0,0,0,10,4.000,0,0,0,0,0,10,CLENDENIN M
DEPARTMENT TOTAL:,116,12,1,0,0,129,3.891,1,0,0,0,0,130,
COLLEGE TOTAL:,255,29,2,0,0,286,3.882,1,0,0,0,1,288,
