Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
VIBS-305-301,25,21,11,2,0,59,3.169,1,0,0,1,1,62,PINE M
VIBS-616-101,10,0,0,0,0,10,4.000,0,0,0,0,0,10,ABBOTT L
VIBS-689-101,5,0,0,0,0,5,4.000,0,0,0,0,0,5,NGHIEM P
DEPARTMENT TOTAL:,40,21,11,2,0,74,3.276,1,0,0,1,1,77,
VTPP-401-150,26,0,0,0,0,26,4.000,0,0,0,0,1,27,WASSER J
VTPP-423-300,9,14,17,13,1,54,2.314,0,0,0,1,0,55,HERMAN J
VTPP-485-108,10,0,0,0,0,10,4.000,0,0,0,0,0,10,RAMADOSS J
VTPP-485-308,10,0,0,0,0,10,4.000,2,0,0,0,0,12,BLUE MCLENDON A
VTPP-489-150,27,2,0,0,0,29,3.931,0,0,0,0,0,29,FAJT V
VTPB-405-301,61,8,0,0,0,69,3.884,0,0,0,0,0,69,OMRAN M
VTPB-405-302,46,11,1,1,0,59,3.728,0,0,0,0,0,59,OMRAN M
VTPB-409-300,22,21,9,2,1,55,3.109,0,0,0,0,0,55,OMRAN M
VTPB-485-150,6,0,0,0,0,6,4.000,0,0,0,0,1,7,DERR J
VTPB-485-207,16,0,0,0,0,16,4.000,1,0,0,0,0,17,ESTEVE-GASENT M
DEPARTMENT TOTAL:,151,40,10,3,1,205,3.695,1,0,0,0,1,207
COLLEGE TOTAL:,273,77,38,18,2,408,3.466,4,0,0,2,3,417
