Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
VMID-927-301,91,37,0,0,0,128,3.710,0,0,0,0,2,130,CORNELL K
VMID-940-301,120,9,0,0,0,129,3.930,0,0,0,0,1,130,CORNELL K
VMID-960-301,65,60,4,0,0,129,3.472,0,0,0,0,1,130,CORNELL K
VMID-962-301,103,27,0,0,0,130,3.792,0,0,0,0,0,130,CORNELL K
VMID-963-301,117,13,0,0,0,130,3.900,0,0,0,0,0,130,CORNELL K
VMID-975-301,6,2,0,0,0,8,3.750,0,0,0,0,0,8,CORNELL K
VMID-975-302,8,0,0,0,0,8,4.000,0,0,0,0,0,8,CORNELL K
VMID-975-303,7,1,0,0,0,8,3.875,0,0,0,0,0,8,CORNELL K
VMID-975-304,5,2,0,0,0,7,3.714,0,0,0,0,1,8,CORNELL K
VMID-975-305,5,2,1,0,0,8,3.500,0,0,0,0,0,8,CORNELL K
VMID-975-306,3,2,1,0,0,6,3.333,0,0,0,0,2,8,CORNELL K
VMID-975-307,7,0,0,0,0,7,4.000,0,0,0,0,1,8,CORNELL K
VMID-975-308,7,0,0,0,0,7,4.000,0,0,0,0,1,8,CORNELL K
DEPARTMENT TOTAL:,544,155,6,0,0,705,3.763,0,0,0,0,9,714,
VLCS-940-301,54,40,4,0,0,98,3.510,0,0,0,0,9,107,CORNELL K
VLCS-940-302,11,11,0,0,0,22,3.500,0,0,0,0,1,23,CORNELL K
VLCS-941-301,66,57,4,0,0,127,3.488,0,0,0,0,3,130,CORNELL K
VLCS-941-302,21,2,0,0,0,23,3.913,0,0,0,0,0,23,CORNELL K
VLCS-945-301,17,6,0,0,0,23,3.739,0,0,0,0,0,23,CORNELL K
VLCS-945-302,20,2,0,0,0,22,3.909,0,0,0,0,1,23,CORNELL K
VLCS-945-303,18,4,0,0,0,22,3.818,0,0,0,0,1,23,CORNELL K
VLCS-945-304,21,2,0,0,0,23,3.913,0,0,0,0,0,23,CORNELL K
VLCS-945-305,30,33,1,0,0,64,3.453,0,0,0,0,2,66,CORNELL K
VLCS-945-306,61,3,0,0,0,64,3.953,0,0,0,0,2,66,CORNELL K
VLCS-945-307,17,3,0,0,0,20,3.850,0,0,0,0,3,23,CORNELL K
VLCS-945-308,35,7,0,0,0,42,3.833,0,0,0,0,1,43,CORNELL K
VLCS-945-309,23,16,0,0,0,39,3.589,0,0,0,0,4,43,CORNELL K
VLCS-945-311,15,5,0,0,0,20,3.750,0,0,0,0,3,23,CORNELL K
DEPARTMENT TOTAL:,409,191,9,0,0,609,3.656,0,0,0,0,30,639,
VSCS-940-301,12,101,14,1,0,128,2.968,0,0,0,0,2,130,CORNELL K
VSCS-940-302,30,21,3,0,0,54,3.500,0,0,0,0,2,56,CORNELL K
VSCS-940-303,61,59,7,0,1,128,3.398,0,0,0,0,2,130,CORNELL K
VSCS-940-304,38,32,3,0,0,73,3.479,0,0,0,0,1,74,CORNELL K
VSCS-941-301,35,91,3,0,0,129,3.248,0,0,0,0,1,130,CORNELL K
VSCS-945-301,25,24,6,0,0,55,3.345,0,0,0,0,1,56,CORNELL K
VSCS-945-302,30,26,0,0,0,56,3.535,0,0,0,0,0,56,CORNELL K
VSCS-945-303,36,19,0,0,0,55,3.654,0,0,0,0,1,56,CORNELL K
VSCS-945-304,38,17,0,0,0,55,3.690,0,0,0,0,1,56,CORNELL K
VSCS-945-305,40,14,1,0,0,55,3.709,0,0,0,0,1,56,CORNELL K
VSCS-945-306,49,4,2,0,0,55,3.854,0,0,0,0,1,56,CORNELL K
VSCS-945-307,45,10,0,0,0,55,3.818,0,0,0,0,1,56,CORNELL K
VSCS-945-308,23,27,3,0,0,53,3.377,0,0,0,0,3,56,CORNELL K
VSCS-945-309,39,13,0,0,0,52,3.750,0,0,0,0,4,56,CORNELL K
VSCS-945-310,37,10,3,0,0,50,3.680,0,0,0,0,1,51,CORNELL K
VSCS-945-311,26,14,2,0,0,42,3.571,0,0,0,0,1,43,CORNELL K
VSCS-945-312,31,11,0,0,0,42,3.738,0,0,0,0,1,43,CORNELL K
VSCS-945-313,33,7,3,0,0,43,3.697,0,0,0,0,0,43,CORNELL K
VSCS-945-314,37,3,3,0,0,43,3.790,0,0,0,0,0,43,CORNELL K
VTPB-940-301,128,1,0,0,0,129,3.992,0,0,0,0,1,130,CORNELL K
DEPARTMENT TOTAL:,128,1,0,0,0,129,3.992,0,0,0,0,1,130,
COLLEGE TOTAL:,1746,850,68,1,1,2666,3.627,0,0,0,0,64,2730,
