Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
ATMO-201-299,29,29,18,1,0,77,3.116,2,0,0,1,0,80,EPIFANIO C
ATMO-370-150,25,0,0,0,0,25,4.000,0,0,0,0,0,25,CONLEE D
ATMO-629-200,15,0,0,0,0,15,4.000,0,0,0,0,0,15,NORTH J
DEPARTMENT TOTAL:,69,29,18,1,0,117,3.381,2,0,0,1,0,120,
GEOG-201-199,37,14,4,1,2,58,3.431,0,0,0,0,0,58,LODER T
GEOG-202-200,12,26,7,3,0,48,2.979,1,0,0,0,0,49,SMITH J
GEOG-203-199,84,53,18,5,4,164,3.268,0,0,0,1,0,165,LOISEL J
GEOG-205-299,43,2,0,0,0,45,3.955,0,0,0,2,0,47,SANSOM L
GEOG-213-299,13,16,11,4,8,52,2.423,0,0,0,3,0,55,VECELLIO D
GEOG-390-101,4,9,2,1,0,16,3.000,0,0,0,1,0,17,SALGADO M
GEOG-390-102,2,5,8,0,1,16,2.437,0,0,0,0,0,16,SALGADO M
GEOG-450-100,9,6,2,0,1,18,3.222,0,0,0,0,0,18,PROUT E
GEOG-659-775,9,0,0,0,1,10,3.600,0,0,0,0,0,10,ZOU L
GEOG-660-701,6,0,0,0,0,6,4.000,0,0,0,0,0,6,LYLE S
GEOG-660-775,4,0,0,0,1,5,3.200,0,0,0,1,0,6,LYLE S
GEOG-663-775,10,1,0,0,0,11,3.909,0,0,0,0,0,11,LYLE S
GEOG-665-775,7,1,0,0,0,8,3.875,0,0,0,0,0,8,LYLE S
GEOG-676-775,9,0,1,0,0,10,3.800,0,0,0,0,0,10,GOLDBERG D
GEOG-678-775,9,2,0,0,0,11,3.818,0,0,0,0,0,11,ZHANG Z
DEPARTMENT TOTAL:,258,135,53,14,18,478,3.308,1,0,0,8,0,487,
GEOL-101-200,2,3,0,0,0,5,3.400,0,0,0,0,0,5,BALTA J
GEOL-101-399,6,8,6,3,1,24,2.625,0,0,0,1,0,25,TORREZ B
GEOL-102-201,9,8,1,0,1,19,3.263,0,0,0,0,0,19,CONTE R
GEOL-450-936,2,2,1,1,0,6,2.833,1,0,0,0,0,7,LAYA PEREIRA J
GEOL-491-224,5,0,0,0,0,5,4.000,0,0,0,0,0,5,REECE J
OCNG-251-299,20,37,14,8,1,80,2.837,1,0,0,1,0,82,SYLVAN J
OCNG-252-199,8,7,7,3,1,26,2.692,0,0,0,1,0,27,WIEDERWOHL C
OCNG-252-299,7,13,5,4,1,30,2.700,0,0,0,1,0,31,WIEDERWOHL C
DEPARTMENT TOTAL:,35,57,26,15,3,136,2.810,1,0,0,3,0,140,
COLLEGE TOTAL:,386,242,105,34,23,790,3.226,5,0,0,13,0,808,
