Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
ACCT-209-200,22,74,68,4,2,170,2.647,0,0,0,19,0,189,HEAD M
ACCT-210-200,28,31,22,8,2,91,2.824,0,0,0,4,0,95,ALLEN N
ACCT-229-100,4,8,30,4,2,48,2.166,0,0,0,2,0,50,HEAD M
ACCT-230-200,23,19,19,4,1,66,2.893,0,0,0,2,0,68,ALLEN N
ACCT-321-100,45,0,0,0,0,45,4.000,0,0,0,0,0,45,JOHNSON C
ACCT-327-101,10,17,11,2,1,41,2.804,0,0,0,2,0,43,LARKIN R
ACCT-328-200,17,17,6,3,0,43,3.116,0,0,0,1,0,44,HARDING M
ACCT-329-199,48,7,0,0,0,55,3.872,1,0,0,2,0,58,FARMER K
ACCT-329-299,48,7,1,0,0,56,3.839,0,0,0,0,0,56,FARMER K
ACCT-403-100,6,2,0,0,0,8,3.750,0,0,0,0,0,8,HARDING M
ACCT-405-100,22,18,4,0,0,44,3.409,0,0,0,1,0,45,LARKIN R
ACCT-407-900,8,20,5,0,0,33,3.090,0,0,0,0,0,33,SHAUB M
ACCT-421-931,41,0,0,0,0,41,4.000,0,0,0,0,0,41,FOSTER C
ACCT-427-100,35,17,0,0,0,52,3.673,0,0,0,1,0,53,ARNOSKY C
ACCT-603-100,14,2,0,0,0,16,3.875,0,0,0,0,0,16,HARDING M
ACCT-628-201,6,4,0,0,0,10,3.600,1,0,0,0,0,11,SANDERS J
ACCT-628-202,18,9,3,0,0,30,3.500,0,0,0,0,0,30,SANDERS J
ACCT-629-200,12,0,0,0,0,12,4.000,0,0,0,0,0,12,SANDERS J
ACCT-640-199,3,1,1,0,0,5,3.400,0,0,0,0,0,5,FOSTER C
ACCT-640-700,7,10,4,0,0,21,3.142,0,0,0,1,0,22,FOSTER C
ACCT-647-200,16,18,1,0,0,35,3.428,0,0,0,0,0,35,REDMAN K
ACCT-650-600,50,0,0,0,0,50,4.000,0,0,0,0,0,50,FARMER K
DEPARTMENT TOTAL:,483,281,175,25,8,972,3.217,2,0,0,35,0,1009,
BUAD-679-101,5,0,0,0,0,5,4.000,0,0,0,0,0,5,MARCANTONIO J
BUAD-679-351,34,0,0,0,0,34,4.000,0,0,0,0,0,34,HALE T
BUAD-679-700,22,0,0,0,0,22,4.000,0,0,0,0,0,22,HALE T
BUAD-689-300,8,21,5,3,0,37,2.918,0,0,0,0,0,37,SHARMA A
BUAD-689-700,4,8,8,2,0,22,2.636,0,0,0,0,0,22,SHARMA A
BUAD-693-101,5,0,0,0,0,5,4.000,0,0,0,0,0,5,MARCANTONIO J
BUAD-700-300,31,19,0,0,0,50,3.620,0,0,0,0,0,50,FLINT G
BUAD-701-300,49,0,1,0,0,50,3.960,0,0,0,0,0,50,GEORGE J
BUAD-702-300,49,2,0,0,0,51,3.960,0,0,0,0,0,51,COHEN H
BUSN-403-900,8,7,1,0,0,16,3.437,0,0,0,0,0,16,SEIPP L
DEPARTMENT TOTAL:,215,57,15,5,0,292,3.467,0,0,0,0,0,292,
FINC-341-100,75,107,54,20,4,260,2.880,1,0,0,7,0,268,OKOROMADU A
FINC-342-700,8,0,0,0,0,8,4.000,0,0,0,0,0,8,KIM S
FINC-351-200,10,4,3,0,0,17,3.411,0,0,0,0,0,17,DRIVER J
FINC-371-201,5,9,3,1,0,18,3.000,0,0,0,0,0,18,PETERSON J
FINC-409-199,111,126,69,10,12,328,2.957,0,0,0,13,0,341,KIM S
FINC-423-101,3,2,0,0,0,5,3.600,0,0,0,0,0,5,HALLERMANN D
FINC-441-199,5,2,2,0,0,9,3.333,0,0,0,0,0,9,HERCOT P
FINC-475-201,4,5,2,0,1,12,2.916,0,0,0,0,0,12,PETERSON J
FINC-602-101,15,13,0,0,0,28,3.535,0,0,0,2,0,30,WHITE E
FINC-629-101,18,15,3,0,0,36,3.416,0,0,0,6,0,42,OKOROMADU A
FINC-632-101,25,21,1,0,0,47,3.510,0,0,0,0,0,47,ERTURK B
FINC-665-101,23,27,0,0,0,50,3.460,0,0,0,1,0,51,HALLERMANN D
ISTM-209-198,0,2,3,1,0,6,2.166,0,0,0,0,0,6,CURTSINGER W
ISTM-209-199,114,66,40,10,8,238,3.126,0,0,0,12,0,250,CURTSINGER W
ISTM-210-100,17,11,3,0,0,31,3.451,0,0,0,0,0,31,JAMIESON T
ISTM-210-200,9,5,2,0,1,17,3.235,0,0,0,0,0,17,PHINNEY T
ISTM-250-201,4,3,1,2,2,12,2.416,0,0,0,1,0,13,PHINNEY T
ISTM-455-299,8,0,0,0,0,8,4.000,0,0,0,0,0,8,WHITTEN G
ISTM-489-100,5,0,0,0,0,5,4.000,0,0,0,0,0,5,SCIALDONE M
ISTM-489-200,6,0,0,0,0,6,4.000,0,0,0,0,0,6,GEORGE J
ISTM-601-101,21,6,4,0,1,32,3.437,2,0,0,9,0,43,BOONE T
ISTM-610-101,26,2,1,0,0,29,3.862,0,0,0,1,0,30,WHITTEN G
ISTM-615-201,14,24,3,0,0,41,3.268,0,0,0,0,0,41,BECKER A
ISTM-615-202,16,15,3,2,4,40,2.925,0,0,0,0,0,40,BECKER A
ISTM-620-201,25,11,0,0,0,36,3.694,0,0,0,0,0,36,GOMILLION D
ISTM-620-202,2,4,2,0,0,8,3.000,0,0,0,0,0,8,GOMILLION D
ISTM-689-100,7,0,0,0,0,7,4.000,0,0,0,0,0,7,SCIALDONE M
ISTM-689-200,7,3,0,0,0,10,3.700,0,0,0,0,0,10,GEORGE J
SCMT-303-101,8,4,5,0,0,17,3.176,0,0,0,0,0,17,RANGAN S
SCMT-303-201,17,17,3,0,0,37,3.378,0,0,0,1,0,38,DARCEY L
SCMT-305-201,15,8,6,0,0,29,3.310,0,0,0,1,0,30,ARREOLA-RISA A
SCMT-309-201,3,6,6,4,1,20,2.300,0,0,0,1,0,21,PAPPU M
SCMT-364-101,22,6,5,1,0,34,3.441,1,0,0,1,0,36,PAPPU M
SCMT-364-201,20,16,5,0,1,42,3.285,0,0,0,1,0,43,PAPPU M
SCMT-375-199,15,0,0,0,0,15,4.000,0,0,0,1,0,16,WHITTEN G
DEPARTMENT TOTAL:,381,209,92,20,18,720,3.270,3,0,0,29,0,752,
MGMT-209-100,19,33,42,21,3,118,2.372,0,0,0,20,0,138,SWIM K
MGMT-211-100,10,18,14,2,1,45,2.755,0,0,0,0,0,45,SWIM K
MGMT-212-100,33,24,10,4,1,72,3.166,0,0,0,0,0,72,HUBACEK L
MGMT-309-199,50,107,179,60,12,408,2.301,0,0,0,23,0,431,WESNER B
MGMT-363-100,19,29,18,7,0,73,2.821,0,0,0,0,0,73,WESNER B
MGMT-439-200,18,3,0,0,0,21,3.857,0,0,0,0,0,21,VALENZUELA P
MGMT-450-100,10,5,1,0,0,16,3.562,0,0,0,0,0,16,PANINA D
MGMT-466-101,4,8,2,0,0,14,3.142,0,0,0,0,0,14,PANINA D
MGMT-466-102,14,13,1,0,1,29,3.344,0,0,0,0,0,29,PANINA D
MGMT-466-200,16,10,4,1,2,33,3.121,0,0,0,3,0,36,PACE W
MGMT-637-100,14,4,0,0,0,18,3.777,0,0,0,1,0,19,FLINT G
MGMT-637-661,34,0,0,0,0,34,4.000,0,0,0,0,0,34,PARUCHURI S
