Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
OBIO-660-600,23,0,0,0,0,23,4.000,0,0,0,0,0,23,KABANI F
OBIO-670-600,12,0,0,0,0,12,4.000,0,0,0,0,0,12,REUBEN J
OBIO-671-600,6,1,0,0,0,7,3.857,0,0,0,0,0,7,RUEST L
OBIO-672-600,22,0,0,0,0,22,4.000,0,0,0,0,0,22,KESTERKE M
AEGD-600-600,8,0,0,0,0,8,0.000,0,0,0,0,0,8,ZANDINEJAD A
AEGD-603-600,8,0,0,0,0,8,4.000,0,0,0,0,0,8,ZANDINEJAD A
AEGD-615-600,8,0,0,0,0,8,4.000,0,0,0,0,0,8,ZANDINEJAD A
AEGD-618-600,8,0,0,0,0,8,4.000,0,0,0,0,0,8,ZANDINEJAD A
PROS-646-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,CHO S
DDHS-4110-500,21,8,0,0,0,29,3.724,0,0,0,0,0,29,GONZALEZ M
DDHS-4510-500,23,6,0,0,0,29,3.793,0,0,0,0,0,29,DECK J
DDHS-4820-500,29,0,0,0,0,29,4.000,0,0,0,0,0,29,REED K
DEPARTMENT TOTAL:,73,14,0,0,0,87,3.879,0,0,0,0,0,87,
OMFS-650-600,10,0,0,0,0,10,4.000,0,0,0,0,0,10,READ FULLER A
DEPARTMENT TOTAL:,10,0,0,0,0,10,4.000,0,0,0,0,0,10,
ORTH-601-600,6,0,0,0,0,6,0.000,0,0,0,0,0,6,POLSON J
ORTH-621-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,TADLOCK L
ORTH-624-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,TADLOCK L
ORTH-627-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,TADLOCK L
ORTH-634-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,BUSCHANG P
ORTH-637-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,BUSCHANG P
ORTH-644-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,BUSCHANG P
ORTH-646-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,GLENN G
ORTH-647-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,GLENN G
ORTH-650-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,GLENN G
ORTH-653-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,GLENN G
PEDD-611-600,10,0,0,0,0,10,4.000,1,0,0,0,0,11,KERINS C
PEDD-614-600,10,0,0,0,0,10,4.000,0,0,0,0,0,10,KERINS C
PEDD-621-600,11,0,0,0,0,11,4.000,1,0,0,0,0,12,KERINS C
PEDD-624-600,10,0,0,0,0,10,4.000,0,0,0,0,0,10,KERINS C
DEPARTMENT TOTAL:,41,0,0,0,0,41,4.000,2,0,0,0,0,43
COLLEGE TOTAL:,291,15,0,0,0,306,3.966,2,0,0,0,0,308
