Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
AERO-214-300,3,4,2,3,2,14,2.214,0,0,0,2,0,16,NARAGHI M
AERO-304-300,4,4,5,0,2,15,2.533,1,0,0,1,0,17,BOYD J
AERO-351-700,10,10,10,0,0,30,3.000,0,0,0,1,0,31,KARPETIS A
DEPARTMENT TOTAL:,17,18,17,3,4,59,2.694,1,0,0,4,0,64,
BMEN-207-700,3,2,1,1,1,8,2.625,0,0,0,1,0,9,HANKS J
BMEN-211-300,7,5,2,2,0,16,3.062,0,0,0,0,0,16,JESSEN S
BMEN-321-100,8,10,9,5,0,32,2.656,0,0,0,6,0,38,PEAK C
BMEN-350-300,11,4,2,0,0,17,3.529,0,0,0,0,0,17,SCOTT M
BMEN-350-700,37,2,2,0,0,41,3.853,0,0,0,0,1,42,PATRICK C
BMEN-353-100,8,0,0,0,0,8,4.000,0,0,0,0,0,8,BISWAS S
BMEN-452-300,2,17,4,1,2,26,2.615,0,0,0,2,0,28,PATRICK C
DEPARTMENT TOTAL:,76,40,20,9,3,148,3.165,0,0,0,9,1,158
CHEN-205-701,13,15,14,5,1,48,2.708,1,0,0,2,0,51,HOLTZAPPLE M
CHEN-320-701,15,4,1,2,0,22,3.454,0,0,0,2,0,24,WU H
CHEN-322-201,14,1,0,0,0,15,3.933,0,0,0,0,0,15,VADDIRAJU S
CHEN-455-700,26,6,3,1,0,36,3.583,0,0,0,1,0,37,MASHUGA C
CHEN-459-700,22,4,2,0,0,28,3.714,0,0,0,0,0,28,BLIZZARD G
CHEN-482-399,13,16,8,0,0,37,3.135,0,0,0,1,0,38,HILALY A
CHEN-491-304,8,0,0,0,0,8,4.000,0,0,0,0,0,8,HOLTZAPPLE M
DEPARTMENT TOTAL:,111,46,28,8,1,194,3.315,1,0,0,6,0,201,
CVEN-305-301,17,33,6,1,0,57,3.157,0,0,0,2,0,59,LOWERY L
CVEN-311-300,4,9,11,0,0,24,2.708,0,0,0,2,0,26,CHANG K
CVEN-339-300,5,11,2,0,0,18,3.166,0,0,0,1,0,19,LONDON M
CVEN-342-302,5,6,1,0,0,12,3.333,0,0,0,0,0,12,ZOLLINGER D
CVEN-365-301,11,4,0,0,0,15,3.733,1,0,0,0,0,16,AUBENY C
CVEN-403-100,11,1,0,0,0,12,3.916,0,0,0,0,0,12,GHARAIBEH N
CVEN-424-700,10,5,0,0,0,15,3.666,0,0,0,0,0,15,ENGLAND P
CVEN-424-701,11,2,0,0,0,13,3.846,0,0,0,0,0,13,SCARFUTO J
CVEN-446-700,4,7,8,0,0,19,2.789,0,0,0,1,0,20,KEATING P
CVEN-685-376,5,0,0,0,0,5,4.000,0,0,0,0,0,5,WALEWSKI J
EVEN-339-300,4,2,1,0,0,7,3.428,0,0,0,0,0,7,LONDON M
ENGR-102-300,23,19,10,3,5,60,2.866,0,0,0,1,0,61,SPEARS C
ENGR-216-300,42,18,4,2,3,69,3.362,0,0,0,2,0,71,ELMS R
ENGR-216-301,10,18,8,1,0,37,3.000,0,0,0,0,0,37,IJAZ M
ENGR-216-302,8,2,0,0,1,11,3.454,0,0,0,0,0,11,STARR L
ENGR-216-350,5,7,2,2,3,19,2.473,0,0,0,0,0,19,KOOLA P
ENGR-217-300,35,8,0,0,2,45,3.644,0,0,0,1,0,46,LARA RUIZ J
ENGR-217-301,13,31,3,0,0,47,3.212,0,0,0,0,0,47,RICHARD J
ENGR-333-300,22,5,2,0,0,29,3.689,0,0,0,3,0,32,CHUNG J
ENGR-385-306,17,0,2,0,1,20,3.600,1,0,0,0,0,21,SARIN V
ENGR-385-313,8,0,0,0,0,8,4.000,1,0,0,0,0,9,LEWIS H
ENGR-482-900,6,14,3,0,0,23,3.130,0,0,0,1,0,24,HAMILTON P
ENGR-482-901,11,11,2,0,0,24,3.375,0,0,0,0,0,24,HAMILTON P
ENGR-482-902,7,10,6,1,0,24,2.958,0,0,0,0,0,24,HAMILTON P
ENGR-482-903,3,13,6,0,0,22,2.863,0,0,0,1,0,23,HAMILTON P
ENGR-482-904,8,13,1,0,0,22,3.318,0,0,0,0,0,22,BREWER M
ENGR-482-905,13,5,0,0,2,20,3.350,0,0,0,0,0,20,BREWER M
ENGR-482-906,14,9,1,0,1,25,3.400,0,0,0,0,0,25,BREWER M
ENGR-482-907,10,13,2,0,0,25,3.320,0,0,0,0,0,25,BREWER M
ENGR-482-908,10,13,1,0,0,24,3.375,0,0,0,0,0,24,HAMILTON P
ENGR-482-909,13,9,1,0,1,24,3.375,0,0,0,0,0,24,HAMILTON P
ENGR-482-910,11,10,3,0,0,24,3.333,0,0,0,0,0,24,HAMILTON P
ENGR-482-911,4,13,5,1,1,24,2.750,0,0,0,1,0,25,HAMILTON P
ICPE-614-600,4,6,1,0,0,11,3.272,0,0,0,0,0,11,HASCAKIR B
ICPE-614-700,17,8,2,0,0,27,3.555,1,0,0,0,0,28,HASCAKIR B
ICPE-623-700,27,0,0,0,0,27,4.000,0,0,0,0,0,27,MOHTAR R
ICPE-689-701,5,2,0,0,0,7,3.714,0,0,0,0,0,7,KWON J
ICPE-689-702,19,0,0,0,0,19,4.000,0,0,0,0,0,19,WARREN G
ICPE-691-600,6,1,0,0,0,7,3.818,0,0,0,0,0,7,PAPPA A
DEPARTMENT TOTAL:,371,258,65,10,20,724,3.282,3,0,0,10,0,737
CSCE-110-700,31,14,8,3,5,61,3.032,0,0,0,7,0,68,HOUNGNINOU D
CSCE-121-300,31,12,10,4,2,59,3.118,4,0,0,7,0,70,LIGHTFOOT R
CSCE-121-700,20,13,10,12,14,69,2.188,4,0,0,5,0,78,MOORE J
CSCE-201-700,8,1,0,0,0,9,3.888,0,0,0,0,0,9,RITCHEY P
CSCE-221-700,22,33,9,5,0,69,3.043,0,0,0,6,0,75,LEYK T
CSCE-222-700,5,19,16,2,1,43,2.581,0,0,0,9,0,52,LEE H
CSCE-310-700,15,6,0,0,0,21,3.714,0,0,0,0,0,21,WADE P
CSCE-312-200,12,8,3,0,3,26,3.000,1,0,0,0,0,27,TYAGI A
CSCE-312-201,9,7,4,2,0,22,3.045,0,0,0,1,0,23,TYAGI A
CSCE-313-700,14,12,11,5,2,44,2.704,0,0,0,1,0,45,AHMED S
CSCE-314-700,56,24,5,0,0,85,3.600,0,0,0,0,0,85,LUPOLI S
