Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
MATH-140-202,0,2,3,0,0,5,2.400,0,0,0,0,0,5,ACERO-SCHERTZER C
MATH-142-101,0,2,9,0,2,13,1.846,0,0,0,1,0,14,ARISTIDOU M
MATH-147-100,6,2,0,0,0,8,3.750,0,0,0,1,0,9,QIU L
MATH-150-401,2,5,1,0,1,9,2.777,0,0,0,0,0,9,PANGEMANAN A
MATH-152-401,4,4,2,1,3,14,2.357,0,0,0,0,0,14,BROWN P
PHYS-201-101,6,5,5,3,0,19,2.736,0,0,0,2,0,21,BOULAHOUACHE C
PHYS-202-200,14,5,2,0,1,22,3.409,0,0,0,0,0,22,RANTSCHLER J
PHYS-206-301,3,5,2,1,1,12,2.666,0,0,0,1,0,13,BOULAHOUACHE C
DEPARTMENT TOTAL:,35,30,24,5,8,102,2.814,0,0,0,5,0,107,
ANTH-210-700,6,7,2,1,2,18,2.777,0,0,0,2,0,20,FURTH B
COMM-203-301,7,3,0,0,1,11,3.363,0,0,0,0,0,11,VISER V
ENGL-104-100,8,1,0,0,1,10,3.500,0,0,0,0,0,10,PRESSWOOD P
ENGL-104-102,6,0,0,0,1,7,3.428,0,0,0,0,1,8,PRESSWOOD P
ENGL-104-200,3,2,0,0,0,5,3.600,0,0,0,0,0,5,PRESSWOOD P
ENGL-104-201,7,1,0,0,0,8,3.875,0,0,0,0,0,8,PRESSWOOD P
ENGL-104-202,8,1,0,0,0,9,3.888,0,0,0,0,0,9,PRESSWOOD P
HIST-105-700,6,6,3,0,0,15,3.200,0,0,0,2,0,17,FALVO K
HIST-106-701,7,4,1,4,0,16,2.875,0,0,0,1,0,17,FALVO K
KINE-282-200,1,3,1,0,0,5,3.000,0,0,0,0,0,5,SLATTON K
MAST-345-700,2,2,0,0,2,6,2.333,0,0,0,0,0,6,JOSVOLL K
MAST-485-100,5,0,0,0,0,5,4.000,0,0,0,0,0,5,PINTACUDA J
MUSC-226-700,21,0,0,0,0,21,4.000,0,0,0,0,0,21,KATES-HAMMOND C
POLS-206-399,3,3,9,3,2,20,2.100,0,0,0,0,0,20,HANEY A
POLS-207-399,3,10,6,1,3,23,2.391,0,0,0,6,0,29,HANEY A
POLS-207-701,2,10,8,2,1,23,2.434,0,0,0,0,0,23,HANEY A
DEPARTMENT TOTAL:,95,53,30,11,13,202,3.019,0,0,0,11,1,214,
MARE-306-100,3,1,0,1,0,5,3.200,0,0,0,0,0,5,KHAN I
DEPARTMENT TOTAL:,3,1,0,1,0,5,3.200,0,0,0,0,0,5,
ACCT-229-100,10,4,0,2,0,16,3.375,0,0,0,1,0,17,KNOX K
ACCT-230-401,5,8,2,0,0,15,3.200,0,0,0,0,0,15,KNOX K
ECON-202-399,11,15,2,0,0,28,3.321,0,0,0,0,0,28,MYKONIATIS N
ECON-323-399,3,8,2,0,0,13,3.076,0,0,0,1,0,14,MYKONIATIS N
ECON-452-499,19,4,0,0,0,23,3.826,0,0,0,0,0,23,BRHO M
MARA-250-200,5,3,0,0,0,8,3.625,0,0,0,0,0,8,CONWAY S
MARA-301-399,12,5,0,0,0,17,3.705,9,0,0,0,0,26,BOUDREAUX L
MARA-363-399,19,11,5,0,0,35,3.400,0,0,0,2,0,37,NWABUEZE U
MARA-373-299,5,10,0,0,0,15,3.333,1,0,0,3,0,19,NWABUEZE U
MARA-416-299,10,3,2,1,4,20,2.700,0,0,0,0,0,20,BOUDREAUX L
MARA-421-399,17,0,1,1,2,21,3.380,0,0,0,1,0,22,WOODS K
MARA-424-700,11,1,0,0,0,12,3.916,0,0,0,0,0,12,BRHO M
MARA-440-900,6,1,0,0,0,7,3.857,0,0,0,0,0,7,MILESKI J
MARA-466-999,3,24,3,0,0,30,3.000,0,0,0,0,0,30,NWABUEZE U
MARA-475-100,9,5,1,0,0,15,3.533,0,0,0,0,0,15,CONWAY S
MARA-485-300,7,0,0,0,0,7,4.000,0,0,0,1,0,8,DEWITTE P
MARA-627-200,3,5,1,0,0,9,3.222,0,0,0,1,0,10,GALVAO C
MARA-640-700,13,2,0,0,0,15,3.866,0,0,0,0,0,15,BRHO M
MARA-641-300,3,7,0,0,1,11,3.000,1,0,0,0,0,12,BRHO M
MARA-650-600,3,5,0,0,0,8,3.375,0,0,0,0,0,8,WANG P
MARA-664-699,3,2,0,0,0,5,3.600,0,0,0,0,0,5,WANG P
MGMT-481-100,3,5,0,0,0,8,3.375,0,0,0,0,0,8,KNOX K
SCMT-303-199,2,3,3,1,1,10,2.400,0,0,0,0,0,10,HUFTON A
SCMT-364-199,9,3,6,1,1,20,2.900,0,0,0,1,0,21,WANG P
MART-485-101,3,2,0,0,0,5,3.600,0,0,0,0,0,5,ROTH A
DEPARTMENT TOTAL:,3,2,0,0,0,5,3.600,0,0,0,0,0,5,
COLLEGE TOTAL:,327,220,82,23,30,682,3.149,11,0,0,27,1,721,
