Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
CHEN-432-900,6,0,0,0,0,6,4.000,0,0,0,0,0,6,SALAMA G
DEPARTMENT TOTAL:,6,0,0,0,0,6,4.000,0,0,0,0,0,6,
ASCC-289-300,5,10,1,0,0,16,3.250,0,0,0,0,0,16,ELSHEIKH A
COMM-335-300,15,0,0,0,0,15,4.000,0,0,0,0,0,15,HILLMAN S
ENGL-104-301,8,1,0,0,0,9,3.888,0,0,0,0,0,9,SCHMALSTIG A
ENGL-104-302,3,2,0,0,0,5,3.600,0,0,0,0,0,5,ABBAS N
ENGL-210-301,5,0,0,0,0,5,4.000,0,0,0,0,0,5,QUEEN M
ENGL-219-300,8,0,1,0,0,9,3.777,0,0,0,0,0,9,RUDD L
ENGL-219-302,16,0,0,0,1,17,3.764,0,0,0,0,0,17,SCHMALSTIG A
HIST-230-302,6,2,0,0,0,8,3.750,0,0,0,1,0,9,MAKOWICKI S
HIST-258-300,10,7,2,0,0,19,3.421,0,0,0,0,0,19,VAN DE LOGT M
POLS-206-300,6,2,0,0,0,8,3.750,0,0,0,0,0,8,BASHIR H
POLS-207-300,13,1,0,0,0,14,3.928,0,0,0,0,0,14,GRAY P
MATH-151-301,2,6,4,2,0,14,2.571,0,0,0,2,0,16,ELGINDI A
MATH-152-301,2,6,6,3,1,18,2.277,0,0,0,1,0,19,SOUKIASSIAN Y
MATH-152-302,8,6,5,2,0,21,2.952,0,0,0,1,0,22,SOUKIASSIAN Y
MATH-152-303,6,4,5,3,1,19,2.578,0,0,0,1,0,20,SOUKIASSIAN Y
MATH-308-300,11,8,4,1,0,24,3.208,0,0,0,0,0,24,ELGINDI A
MATH-311-300,5,11,7,0,0,23,2.913,0,0,0,0,0,23,HUANG T
PHYS-206-300,12,20,20,3,3,58,2.603,0,0,0,1,0,59,BELIC M
PHYS-207-300,8,3,5,2,2,20,2.650,0,0,0,3,0,23,NHA H
DEPARTMENT TOTAL:,54,64,56,16,7,197,2.708,0,0,0,9,0,206,
ECEN-214-301,2,5,3,0,0,10,2.900,0,0,0,0,0,10,ZILANY M
ECEN-214-302,2,4,3,0,0,9,2.888,0,0,0,0,0,9,ZILANY M
ECEN-314-300,8,3,0,0,0,11,3.727,0,0,0,0,0,11,SERPEDIN E
ECEN-370-300,2,4,0,0,0,6,3.333,0,0,0,0,0,6,JI J
ECEN-403-900,5,0,0,0,0,5,4.000,0,0,0,0,0,5,ABU-RUB H
ECEN-446-300,4,12,0,0,0,16,3.250,0,0,0,0,0,16,BOUTROS J
ENGR-102-300,3,5,2,0,1,11,2.818,0,0,0,0,0,11,ALNUWEIRI H
DEPARTMENT TOTAL:,26,33,8,0,1,68,3.212,0,0,0,0,0,68
ENGR-217-302,1,2,2,0,0,5,2.800,0,0,0,0,0,5,ZILANY M
DEPARTMENT TOTAL:,1,2,2,0,0,5,2.800,0,0,0,0,0,5,
ENGR-216-301,1,4,1,0,1,7,2.571,0,0,0,0,0,7,KARKOUB M
ENGR-216-303,5,4,0,0,0,9,3.555,0,0,0,0,0,9,KARKOUB M
ENGR-216-304,6,2,1,0,0,9,3.555,0,0,0,0,0,9,KARKOUB M
ENGR-216-306,3,5,2,0,0,10,3.100,0,0,0,0,0,10,KARKOUB M
ENGR-216-307,4,4,1,0,0,9,3.333,0,0,0,1,0,10,KARKOUB M
MEEN-315-300,8,4,0,0,0,12,3.666,0,0,0,0,0,12,SCHULLER M
MEEN-461-300,8,4,1,0,0,13,3.538,0,0,0,0,0,13,SCHULLER M
PETE-311-300,3,3,2,0,0,8,3.125,0,0,0,0,0,8,FADLELMULA M
DEPARTMENT TOTAL:,3,3,2,0,0,8,3.125,0,0,0,0,0,8,
COLLEGE TOTAL:,220,154,78,16,10,478,3.134,0,0,0,11,0,489,
