Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
ARCH-249-700,34,10,3,1,0,48,3.604,0,0,0,0,0,48,CAFFEY S
ARCH-250-700,19,9,2,0,0,30,3.566,0,0,0,0,0,30,CAMPAGNOL G
ARCH-331-100,2,4,0,0,1,7,2.857,0,0,0,0,0,7,DUDLEY D
ARCH-335-101,2,3,1,0,0,6,3.166,1,0,0,0,0,7,HABERL J
ARCH-406-101,7,9,0,0,0,16,3.437,0,0,0,0,0,16,TRIPP A
ARCH-603-300,1,4,1,0,0,6,3.000,1,0,0,0,0,7,HAWKINS A
ENDS-101-200,14,2,1,0,0,17,3.764,0,0,0,0,0,17,CAFFEY S
ENDS-101-700,53,16,0,0,1,70,3.714,0,0,0,1,0,71,BILLINGSLEY A
ENDS-101-G00,36,3,0,0,0,39,3.923,0,0,0,0,0,39,CAFFEY S
ENDS-105-100,1,9,0,0,0,10,3.100,0,0,0,0,0,10,BORGES GONZALEZ A
ENDS-108-200,3,8,1,0,0,12,3.166,0,0,0,0,0,12,BORGES GONZALEZ A
ENDS-108-201,6,3,0,0,0,9,3.666,0,0,0,0,0,9,DE LIMA VAZ XAVIER
ENDS-115-100,1,9,0,0,0,10,3.100,0,0,0,0,0,10,DE LIMA VAZ XAVIER
CARC-311-150,14,0,0,0,0,14,4.000,0,0,0,0,0,14,KLEIN B
CARC-311-151,9,2,0,0,0,11,3.818,0,0,0,0,0,11,GIUSTI C
CARC-311-152,12,0,0,0,0,12,4.000,0,0,0,0,0,12,DAVIS D
CARC-311-153,13,0,0,0,0,13,4.000,0,0,0,0,0,13,AITANI K
CARC-311-154,14,1,0,0,0,15,3.933,0,0,0,0,0,15,ROLDAN M
CARC-311-155,14,0,0,0,0,14,4.000,0,0,0,0,0,14,GODDARD T
CARC-311-250,10,3,0,0,0,13,3.769,1,0,0,0,0,14,HUANG C
CARC-311-251,15,0,0,0,0,15,4.000,0,0,0,0,0,15,AITANI K
CARC-331-150,14,0,0,0,0,14,4.000,0,0,0,0,0,14,KLEIN B
CARC-331-151,9,2,0,0,0,11,3.818,0,0,0,0,0,11,GIUSTI C
CARC-331-152,12,0,0,0,0,12,4.000,0,0,0,0,0,12,DAVIS D
CARC-331-153,13,0,0,0,0,13,4.000,0,0,0,0,0,13,AITANI K
CARC-331-155,14,1,0,0,0,15,3.933,0,0,0,0,0,15,ROLDAN M
CARC-331-156,14,0,0,0,0,14,4.000,0,0,0,0,0,14,GODDARD T
CARC-331-250,15,0,0,0,0,15,4.000,0,0,0,0,0,15,AITANI K
CARC-331-251,8,5,0,0,0,13,3.615,1,0,0,0,0,14,HUANG C
CARC-484-350,6,0,0,0,0,6,4.000,0,0,0,0,0,6,HOLLIDAY S
CARC-489-101,9,0,0,0,0,9,4.000,0,0,0,0,0,9,ELLIS D
COSC-222-900,6,0,0,0,0,6,4.000,0,0,0,0,0,6,ELLIS D
COSC-275-100,7,8,2,0,0,17,3.294,0,0,0,0,0,17,PALMER R
COSC-301-101,6,0,0,0,0,6,4.000,0,0,0,0,0,6,HARTELL J
COSC-375-200,7,16,11,0,0,34,2.882,0,0,0,1,0,35,BOLDT G
COSC-421-100,10,14,2,0,0,26,3.307,0,0,0,0,0,26,DUDLEY D
COSC-442-900,13,5,1,0,0,19,3.631,0,0,0,0,0,19,BOLDT G
COSC-443-901,17,0,0,0,0,17,4.000,0,0,0,0,0,17,WHITMAN J
COSC-461-101,20,3,0,0,0,23,3.869,0,0,0,1,0,24,ARYAL A
COSC-463-950,4,3,0,0,0,7,3.571,0,0,0,0,0,7,DAIGNEAULT M
COSC-464-100,23,10,3,0,0,36,3.555,0,0,0,0,0,36,MCGOWAN A
COSC-464-101,25,8,1,0,0,34,3.705,1,0,0,0,0,35,MCGOWAN A
COSC-465-200,16,19,7,0,0,42,3.214,0,0,0,0,0,42,MCCLOSKEY A
COSC-474-300,5,0,0,0,0,5,4.000,0,0,0,0,0,5,LAVY S
COSC-475-100,7,20,14,0,0,41,2.829,0,0,0,1,0,42,MCGINN L
COSC-477-100,11,15,15,0,0,41,2.902,0,0,0,0,0,41,FICKEL L
COSC-485-301,4,1,0,0,0,5,3.800,0,0,0,0,0,5,ELLIS D
COSC-685-303,5,0,0,0,0,5,4.000,0,0,0,0,0,5,ARYAL A
LAND-240-700,42,16,3,0,0,61,3.639,0,0,0,0,0,61,NEWMAN G
LAND-630-700,11,1,1,0,0,13,3.769,0,0,0,0,0,13,NEWMAN G
PLAN-612-700,11,1,0,0,0,12,3.916,2,0,0,1,0,15,WEI L
URPN-201-701,4,12,1,1,0,18,3.055,0,0,0,1,0,19,PAP M
URPN-202-701,19,3,0,1,1,24,3.583,0,0,0,0,0,24,CAMPAGNOL G
URPN-202-901,5,3,0,0,1,9,3.222,0,0,0,2,0,11,DAVIS D
URPN-203-700,11,3,0,0,0,14,3.785,0,0,0,0,0,14,WEI L
URPN-361-700,19,3,1,0,0,23,3.782,0,0,0,0,0,23,KIM S
URPN-369-700,10,1,0,0,1,12,3.583,0,0,0,0,0,12,WEI L
URPN-370-700,42,10,2,0,0,54,3.740,0,0,0,1,0,55,NEWTON K
URPN-370-701,20,2,1,0,0,23,3.826,0,0,0,0,0,23,NEWTON K
URPN-370-702,8,1,0,0,0,9,3.888,0,0,0,0,0,9,NEWTON K
ARTS-149-700,52,10,0,1,1,64,3.734,0,0,0,1,0,65,SUTHERLAND S
ARTS-150-700,16,3,0,1,2,22,3.363,0,0,0,0,0,22,CARLETTI S
VIST-205-300,25,0,0,0,0,25,4.000,0,0,0,0,0,25,RAMADAN H
VIST-271-300,7,2,2,0,0,11,3.454,0,0,0,0,0,11,TAO J
VIST-305-300,7,3,0,0,0,10,3.700,0,0,0,0,0,10,WALSH M
VIST-405-300,2,4,1,0,0,7,3.142,0,0,0,0,0,7,WALSH M
VIST-485-300,7,0,0,0,0,7,4.000,0,0,0,0,0,7,ANDREASSON M
VIZA-627-100,16,0,0,0,0,16,4.000,0,0,0,0,0,16,ANDREASSON M
VIZA-627-200,15,0,0,0,0,15,4.000,0,0,0,0,0,15,ANDREASSON M
DEPARTMENT TOTAL:,147,22,3,2,3,177,3.736,0,0,0,1,0,178,
COLLEGE TOTAL:,929,303,77,5,8,1322,3.610,7,0,0,10,0,1339,
