Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
ATMO-370-150,23,0,0,0,0,23,4.000,0,0,0,0,0,23,CONLEE D
DEPARTMENT TOTAL:,23,0,0,0,0,23,4.000,0,0,0,0,0,23,
GEOS-380-210,12,0,0,0,0,12,4.000,0,0,0,0,0,12,ROARK E
GEOS-491-301,5,0,0,0,0,5,0.000,0,0,0,0,0,5,ROARK E
GEOS-611-776,6,0,0,0,0,6,4.000,0,0,0,0,0,6,BELABBASSI L
DEPARTMENT TOTAL:,23,0,0,0,0,23,4.000,0,0,0,0,0,23,
GEOG-201-199,33,14,3,0,0,50,3.600,0,0,0,1,0,51,BREYER E
GEOG-202-199,138,15,4,3,1,161,3.776,0,0,0,1,0,162,BRYSCH C
GEOG-202-G00,25,20,2,0,0,47,3.489,0,0,0,0,0,47,SMITH J
GEOG-203-299,95,46,13,3,1,158,3.462,1,0,0,4,0,163,LOISEL J
GEOG-205-199,22,6,0,0,0,28,3.785,1,0,0,1,0,30,PROUT E
GEOG-213-299,33,5,1,1,3,43,3.488,0,0,0,3,0,46,LAWRENCE B
GEOG-304-200,16,11,5,2,5,39,2.794,0,0,0,0,0,39,KEEGAN C
GEOG-380-299,7,2,0,0,1,10,3.400,0,0,0,1,0,11,GHATAK D
GEOG-430-199,11,5,3,0,1,20,3.250,0,0,0,0,0,20,BREYER E
GEOG-450-100,6,4,2,0,0,12,3.333,1,0,0,1,0,14,PROUT E
GEOG-659-775,4,1,0,0,0,5,3.800,0,0,0,0,0,5,ZOU L
GEOG-660-775,5,0,0,0,0,5,4.000,0,0,0,0,0,5,CAI H
GEOL-101-299,95,17,1,1,1,115,3.773,0,0,0,1,0,116,LENZ B
GEOL-102-200,35,5,1,1,1,43,3.674,0,0,0,2,0,45,CHRPA M
GEOL-207-200,90,1,0,0,0,91,3.989,0,0,0,1,0,92,NEELY S
DEPARTMENT TOTAL:,220,23,2,2,2,249,3.856,0,0,0,4,0,253,
OCNG-251-399,32,11,5,0,0,48,3.562,0,0,0,0,0,48,RATTANASRIAMPAIPONG
OCNG-252-199,11,9,6,0,0,26,3.192,0,0,0,1,0,27,WIEDERWOHL C
OCNG-491-201,11,0,0,0,0,11,0.000,0,0,0,0,0,11,WIEDERWOHL C
DEPARTMENT TOTAL:,54,20,11,0,0,85,3.505,0,0,0,1,0,86,
COLLEGE TOTAL:,715,172,46,11,14,958,3.634,3,0,0,17,0,978,
