Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
ITDE-689-600,0,0,0,0,34,4.000,0,0,0,0,34,SEARS N
DEPARTMENT TOTAL:,0,0,0,0,34,4.000,0,0,0,0,34,
COLLEGE TOTAL:,0,0,0,0,34,4.000,0,0,0,0,34,
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
IMED-800-310,3,14,0,0,17,3.176,18,0,0,0,35,CLEWING J
IMED-800-31D,1,4,0,0,5,3.200,0,0,0,0,5,CLEWING J
IMED-800-31H,5,3,0,0,8,3.625,0,0,0,0,8,CLEWING J
IMED-800-32D,2,9,0,0,11,3.181,0,0,0,0,11,CLEWING J
IMED-800-32H,1,14,0,0,15,3.066,0,0,0,0,15,CLEWING J
IMED-800-32T,0,8,0,0,8,3.000,1,0,0,0,9,CLEWING J
MEID-608-300,26,141,2,1,170,3.111,0,0,0,0,170,WINZER-SERHAN U
MEID-608-30H,7,40,1,0,48,3.104,0,0,0,0,48,TSAI R
MEID-609-300,25,144,0,0,169,3.147,0,0,0,0,169,WELLS G
MEID-609-30H,3,45,0,0,48,3.062,0,0,0,0,48,MOCZYGEMBA M
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
MEID-616-300,24,132,0,2,158,3.113,11,0,0,0,169,HEIN T
MEID-616-30H,8,40,0,0,48,3.166,0,0,0,0,48,TONG C
MEID-618-31B,25,145,0,0,170,3.147,0,0,0,0,170,MAXWELL S
MEID-618-31H,8,40,0,0,48,3.166,0,0,0,0,48,CRISCIONE J
MEID-620-30B,26,142,0,0,168,3.154,2,0,0,0,170,LEWIS R
MEID-620-30H,8,40,0,0,48,3.166,0,0,0,0,48,PATHAM B
MFCM-800-30B,5,12,0,0,17,3.294,18,0,0,0,35,NEAL G
MFCM-800-31H,1,5,0,0,6,3.166,1,0,0,0,7,NEAL G
MFCM-800-32H,3,5,0,0,8,3.375,0,0,0,0,8,NEAL G
MFCM-800-32R,2,3,0,0,5,3.400,0,0,0,0,5,GOODE J
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
MFCM-800-33H,0,5,0,0,5,3.000,0,0,0,0,5,NEAL G
MFCM-800-33T,0,5,0,0,5,3.000,0,0,0,0,5,NEAL G
MFCM-800-34D,1,4,0,0,5,3.200,1,0,0,0,6,NEAL G
MFCM-800-34H,0,7,0,0,7,3.000,1,0,0,0,8,NEAL G
MHUM-815-30,16,0,0,0,16,4.000,0,0,0,0,16,WATSON P
MPED-800-30B,9,7,0,0,16,3.562,18,0,0,0,34,FREEMAN R
MPED-800-31D,1,5,0,0,6,3.166,0,0,0,0,6,FREEMAN R
MPED-800-31T,2,3,0,0,5,3.400,0,0,0,0,5,FREEMAN R
MPED-800-32D,3,2,0,0,5,3.600,0,0,0,0,5,FREEMAN R
MPED-800-32R,3,3,0,0,6,3.500,0,0,0,0,6,FREEMAN R
MPED-800-33D,4,2,0,0,6,3.666,0,0,0,0,6,FREEMAN R
MPED-800-33H,4,4,0,0,8,3.500,0,0,0,0,8,FREEMAN R
MPED-800-33T,2,3,0,0,5,3.400,1,0,0,0,6,FREEMAN R
MPED-800-34T,5,6,0,0,11,3.454,0,0,0,0,11,FREEMAN R
MPSY-800-30B,2,15,0,0,17,3.117,18,0,0,0,35,KELT S
MPSY-800-31H,3,3,0,0,6,3.500,0,0,0,1,7,KELT S
MPSY-800-32D,1,4,0,0,5,3.200,0,0,0,0,5,KELT S
MPSY-800-32T,0,5,0,0,5,3.000,0,0,0,0,5,KELT S
MPSY-800-33D,2,4,0,0,6,3.333,0,0,0,0,6,KELT S
MPSY-800-33H,1,6,0,0,7,3.142,1,0,0,0,8,KELT S
MPSY-800-33T,0,5,0,0,5,3.000,0,0,0,0,5,KELT S
MPSY-800-34D,1,6,0,0,7,3.142,0,0,0,0,7,KELT S
MPSY-800-34H,2,7,0,0,9,3.250,1,0,0,0,10,KELT S
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
MPSY-800-34R,1,4,0,0,5,3.200,0,0,0,0,5,KELT S
MRAD-800-31D,18,17,0,0,35,3.514,0,0,0,0,35,SULTENFUSS M
MRAD-800-31H,15,19,0,0,34,3.428,0,0,0,2,36,SULTENFUSS M
MRAD-800-31R,6,3,0,0,9,3.666,0,0,0,0,9,TABOADA J
MRAD-800-31T,16,1,0,0,17,3.941,0,0,0,0,17,BIRKEMEIER K
OBGY-800-30B,2,15,0,0,17,3.117,17,0,0,0,34,HARMS K
OBGY-800-31D,2,5,0,0,7,3.285,0,0,0,0,7,HARMS K
OBGY-800-31H,0,5,0,0,5,3.000,0,0,0,0,5,HARMS K
OBGY-800-32D,1,5,0,0,6,3.166,0,0,0,0,6,HARMS K
OBGY-800-32H,1,4,0,0,5,3.200,1,0,0,0,6,HARMS K
OBGY-800-32T,0,5,0,0,5,3.000,0,0,0,0,5,HARMS K
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
OBGY-800-33D,0,6,0,0,6,3.000,0,0,0,0,6,HARMS K
OBGY-800-33H,1,8,0,0,9,3.111,1,0,0,0,10,HARMS K
OBGY-800-34D,2,6,0,0,8,3.250,0,0,0,0,8,HARMS K
OBGY-800-34H,4,7,0,0,11,3.375,0,0,0,0,11,HARMS K
OBGY-800-34R,4,1,0,0,5,3.800,0,0,0,0,5,HARMS K
OBGY-800-34T,2,3,0,0,5,3.400,0,0,0,0,5,HARMS K
SURG-800-30B,9,8,0,0,17,3.529,17,0,0,0,34,FUNK G
SURG-800-31H,5,6,0,0,11,3.454,0,0,0,0,11,LITTLE D
SURG-800-31T,2,6,0,0,8,3.250,0,0,0,0,8,LITTLE D
SURG-800-32D,3,7,0,0,10,3.300,1,0,0,0,11,FUNK G
SURG-800-32H,4,14,0,0,18,3.222,0,0,0,0,18,LITTLE D
SURG-800-32T,3,5,0,0,8,3.375,0,0,0,0,8,LITTLE D
SECTION,H,P,F/P,F,,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
DEPARTMENT TOTAL:,346,1257,3,3,,1609,3.189,129,0,0,3,1741,
COLLEGE TOTAL:,346,1257,3,3,,1609,3.189,129,0,0,3,1741,
