Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
LAW-618-701,19,7,1,0,1,28,3.535,0,0,0,0,0,28,MARLETT D
LAW-618-702,3,3,0,0,0,6,3.500,0,0,0,0,0,6,MARLETT D
LAW-621-701,27,0,0,0,0,27,4.000,1,0,0,0,0,28,BURT J
LAW-657-701,29,7,1,0,1,38,3.657,0,0,0,0,0,38,EMMERT W
LAW-661-701,3,6,2,0,0,11,3.090,0,0,0,0,0,11,MARVIN E
LAW-663-701,32,0,0,0,0,32,4.000,2,0,0,0,0,34,POE K
LAW-663-702,29,1,0,0,0,30,3.966,1,0,0,0,0,31,POE K
LAW-667-701,15,4,0,0,0,19,3.789,0,0,0,0,0,19,PITTMAN M
LAW-689-701,5,6,0,0,0,11,3.454,0,0,0,0,0,11,WURTZ K
LAW-689-702,5,0,0,0,0,5,4.000,0,0,0,0,0,5,GELFUSO A
LAW-689-703,27,2,0,0,0,29,3.931,1,0,0,0,0,30,DEWITTE P
LAW-689-704,11,2,0,0,0,13,3.846,0,0,0,0,0,13,DEWITTE P
LAW-689-705,21,7,2,0,0,30,3.633,0,0,0,0,0,30,LOPEZ C
LAW-689-706,13,3,0,0,0,16,3.812,0,0,0,0,0,16,POWELL J
LAW-689-707,13,5,2,0,0,20,3.550,0,0,0,0,0,20,HACKNEY D
LAW-689-708,3,6,0,0,0,9,3.333,0,0,0,0,0,9,HINTZKE D
LAW-696-701,28,2,0,0,0,30,3.933,0,0,0,0,0,30,DANCY J
LAW-696-702,17,8,0,0,0,25,3.680,0,0,0,0,0,25,DANCY J
LAW-764-701,29,0,0,0,1,30,3.866,0,0,0,0,0,30,HELGE K
LAW-764-702,27,1,0,0,0,28,3.964,0,0,0,0,0,28,HELGE K
LAW-764-703,27,1,0,0,0,28,3.964,0,0,0,0,0,28,HELGE K
LAW-764-704,30,0,0,0,0,30,4.000,0,0,0,0,0,30,HELGE K
LAW-764-705,12,0,0,0,0,12,4.000,0,0,0,0,0,12,HELGE K
LAW-767-701,18,0,0,0,0,18,4.000,1,0,0,0,0,19,GUZELIAN C
LAW-768-701,14,0,0,0,0,14,4.000,0,0,0,0,0,14,MENTZ G
LAW-769-701,23,0,0,0,0,23,4.000,0,0,0,0,0,23,MUNRO R
LAW-771-701,29,0,0,0,0,29,4.000,0,0,0,0,0,29,KRAVITZ R
LAW-771-702,24,3,0,0,0,27,3.888,0,0,0,1,0,28,KRAVITZ R
LAW-772-701,29,0,0,0,0,29,4.000,0,0,0,0,0,29,KRAVITZ R
LAW-772-702,28,0,0,0,0,28,4.000,0,0,0,1,0,29,KRAVITZ R
LAW-772-703,27,1,0,0,0,28,3.964,0,0,0,0,0,28,KRAVITZ R
LAW-774-701,29,0,0,0,0,29,4.000,0,0,0,0,0,29,MENTZ G
DEPARTMENT TOTAL:,646,75,8,0,3,732,3.839,6,0,0,2,0,740
COLLEGE TOTAL:,646,75,8,0,3,732,3.839,6,0,0,2,0,740
