Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
LAW-7056-601   0,0   3,3,1,,,0,0,0,0,0,0,0,0,7,3.428,0,0,0,7
CHATMAN C 0.00%,0.00% 42.86% 42.86% 14.29%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
0.00%,0.00% 42.86% 42.86% 14.29%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
LAW-7080-601   0,3   1,6,2,,,0,0,0,0,0,0,0,0,12,3.470,0,0,0,12
WONSOWICZ P 0.00% 25.00%,8.33% 50.00% 16.67%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
0.00% 25.00%,8.33% 50.00% 16.67%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
DEPARTMENT 0,3 4,9,3,,,0,0,0,0,0,0,0,0,19,3.457,0,0,0,19
TOTAL: 0.00% 15.79% 21.05% 47.37% 15.79%,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
COLLEGE 0,3 4,9,3,,,0,0,0,0,0,0,0,0,19,3.457,0,0,0,19
TOTAL: 0.00% 15.79% 21.05% 47.37% 15.79%,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
