Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
ATMO-201-501,59,88,12,0,0,159,3.295,0,0,0,2,0,161,LOGAN T
ATMO-201-502,13,7,7,2,0,29,3.068,0,0,0,2,0,31,CONLEE D
ATMO-201-504,43,11,4,2,0,60,3.583,0,0,0,0,0,60,SANGER N
ATMO-201-506,68,79,12,0,0,159,3.352,0,0,0,1,0,160,LOGAN T
ATMO-201-508,16,26,12,2,0,56,3.000,0,0,0,3,0,59,BOWMAN K
ATMO-201-509,76,76,13,0,0,165,3.381,0,0,0,2,0,167,LOGAN T
ATMO-202-501,12,5,2,0,0,19,3.526,0,0,0,2,0,21,LOGAN T
ATMO-202-502,17,1,0,0,0,18,3.944,0,0,0,0,0,18,LOGAN T
ATMO-202-504,15,7,0,0,1,23,3.521,0,0,0,0,0,23,LOGAN T
ATMO-202-506,18,5,1,0,0,24,3.708,0,0,0,1,0,25,LOGAN T
ATMO-202-507,13,5,3,0,0,21,3.476,0,0,0,0,0,21,LOGAN T
ATMO-203-502,7,6,2,0,0,15,3.333,0,0,0,0,0,15,CONLEE D
ATMO-251-501,6,7,6,2,0,21,2.809,0,0,0,0,0,21,CONLEE D
ATMO-251-502,7,11,1,2,0,21,3.095,0,0,0,0,0,21,CONLEE D
ATMO-321-500,6,9,6,0,0,21,3.000,0,0,0,0,0,21,BOWMAN K
ATMO-335-501,8,11,5,2,0,26,2.961,0,0,0,2,0,28,SZUNYOGH I
ATMO-336-501,5,6,1,2,0,14,3.000,0,0,0,0,0,14,PANETTA R
ATMO-336-502,0,4,2,0,0,6,2.666,0,0,0,1,0,7,PANETTA R
ATMO-363-500,5,25,8,3,1,42,2.714,0,0,0,0,0,42,SCHADE G
ATMO-443-500,6,8,2,0,0,16,3.250,0,0,0,1,0,17,SCHUMACHER C
ATMO-446-500,9,6,9,1,2,27,2.703,0,0,0,0,0,27,RAPP A
ATMO-459-900,6,5,0,0,0,11,3.545,0,0,0,0,0,11,KORTY R
ATMO-459-901,5,3,4,0,0,12,3.083,0,0,0,0,0,12,KORTY R
ATMO-601-600,6,4,0,0,0,10,3.600,0,0,0,0,0,10,EPIFANIO C
ATMO-602-600,6,3,0,0,0,9,3.666,0,0,0,0,0,9,XU Y
ATMO-606-600,7,3,0,0,0,10,3.700,0,0,0,0,0,10,SCHADE G
ATMO-657-600,7,2,1,0,0,10,3.600,0,0,0,0,0,10,NOWOTARSKI C
DEPARTMENT TOTAL:,446,423,113,18,4,1004,3.254,0,0,0,17,0,1021,
GEOS-101-501,14,2,1,0,1,18,3.555,0,0,0,0,0,18,LEVAY L
GEOS-101-502,15,1,0,0,0,16,3.937,0,0,0,0,0,16,TCHAKERIAN V
GEOS-101-504,17,0,0,0,0,17,4.000,0,0,0,0,0,17,PATZEWITSCH W
GEOS-101-511,20,0,0,0,0,20,4.000,0,0,0,0,0,20,JEPSON W
GEOS-101-512,20,0,0,0,0,20,4.000,0,0,0,0,0,20,LOGAN T
GEOS-105-500,15,32,26,1,4,78,2.679,0,0,0,2,0,80,TCHAKERIAN V
GEOS-205-500,22,1,0,0,0,23,3.956,0,0,0,2,0,25,ROARK E
GEOS-210-500,38,29,3,0,0,70,3.500,0,0,0,1,0,71,WILLIAMS T
GEOS-210-501,22,21,11,3,1,58,3.034,0,0,0,3,0,61,DESSLER A
GEOS-401-500,22,0,0,0,0,22,4.000,0,0,0,0,0,22,ORSI A
GEOS-405-901,7,6,1,0,0,14,3.428,1,0,0,0,0,15,JOCHENS A
GEOS-405-902,4,9,1,0,0,14,3.214,0,0,0,0,0,14,GOLD BOUCHOT G
GEOS-405-905,6,3,0,0,1,10,3.300,0,0,0,0,0,10,GOLD BOUCHOT G
GEOS-410-500,33,3,0,0,0,36,3.916,0,0,0,0,0,36,ROARK E
