Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
IMED-800-30B,0,13,0,0,13,3.000,0,0,0,0,13,PIERATT W
IMED-800-33D,2,11,0,0,13,3.153,0,0,0,0,13,PIERATT W
IMED-800-33H,1,7,0,0,8,3.125,0,0,0,0,8,PIERATT W
IMED-800-33R,1,5,0,0,6,3.166,0,0,0,0,6,PIERATT W
IMED-800-33T,2,14,0,0,16,3.125,0,0,0,0,16,PIERATT W
IMED-800-34D,1,10,0,0,11,3.090,1,0,0,0,12,PIERATT W
IMED-800-34H,0,6,0,0,6,3.000,1,0,0,1,8,PIERATT W
IMED-800-34R,0,6,0,0,6,3.000,1,0,0,0,7,PIERATT W
IMED-800-34T,2,13,0,0,15,3.133,1,0,0,0,16,PIERATT W
MEID-605-300,4,120,0,11,135,2.785,0,0,0,0,135,CHICO D
MEID-606-300,19,110,1,1,131,3.106,0,0,0,0,131,MAXWELL S
SECTION,H,P,F/P,F,,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
MEID-607-300,20,110,0,1,,131,3.129,0,0,0,0,131,CHEN W
MEID-619-30B,19,112,0,0,,131,3.145,0,0,0,0,131,WATSON P
MEID-701-300,17,63,0,0,,80,3.212,0,0,0,0,80,CANNADAY R
MEID-701-301,5,42,0,0,,47,3.106,0,0,0,0,47,CANNADAY R
MEID-701-303,1,28,0,0,,29,3.034,0,0,0,0,29,CANNADAY R
MEID-704-300,18,60,2,0,,80,3.176,0,0,0,0,80,JONES K
MEID-704-301,3,43,1,0,,47,3.021,0,0,0,0,47,JONES K
MEID-704-303,3,25,1,0,,29,3.034,0,0,0,0,29,JONES K
SECTION,H,P,F/P,F,,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
MEID-706-300,19,61,0,0,,80,3.237,0,0,0,0,80,GLASER S
MEID-706-301,3,44,0,0,,47,3.063,0,0,0,0,47,GLASER S
MEID-706-303,2,27,0,0,,29,3.068,0,0,0,0,29,GLASER S
MEID-707-300,16,61,3,0,,80,3.125,0,0,0,0,80,BRANDT P
MEID-707-301,5,40,2,0,,47,3.021,0,0,0,0,47,BRANDT P
MEID-707-303,2,26,1,0,,29,3.000,0,0,0,0,29,BRANDT P
MEID-708-300,14,66,0,0,,80,3.175,0,0,0,0,80,MEININGER C
MEID-708-301,8,39,0,0,,47,3.170,0,0,0,0,47,MEININGER C
MEID-708-303,2,27,0,0,,29,3.068,0,0,0,0,29,MEININGER C
SECTION,H,P,F/P,F,,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
MEID-710-30B,6,72,0,0,,78,3.076,2,0,0,0,80,BORCHARDT C
MEID-710-30D,4,43,0,0,,47,3.085,0,0,0,0,47,BORCHARDT C
MEID-710-30T,6,23,0,0,,29,3.206,0,0,0,0,29,BORCHARDT C
MEID-711-300,80,0,0,0,,80,4.000,0,0,0,0,80,MASICA A
MEID-711-301,46,1,0,0,,47,3.978,0,0,0,0,47,MASICA A
MEID-711-303,29,0,0,0,,29,4.000,0,0,0,0,29,MASICA A
MFCM-800-35D,2,5,0,0,,7,3.285,0,0,0,0,7,VIA R
MFCM-800-35T,2,6,0,0,,8,3.250,0,0,0,0,8,VIA R
MFCM-800-36H,1,4,0,0,,5,3.200,0,0,0,0,5,VIA R
MFCM-800-36T,1,6,0,0,,7,3.142,1,0,0,0,8,VIA R
MFCM-800-37D,3,3,0,0,6,3.500,0,0,0,0,6,VIA R
MFCM-800-37T,1,5,0,0,6,3.166,0,0,0,0,6,VIA R
MFCM-800-38D,0,5,0,0,5,3.000,0,0,0,0,5,VIA R
MFCM-800-38T,0,7,0,0,7,3.000,0,0,0,0,7,VIA R
MPED-800-35D,2,3,0,0,5,3.400,0,0,0,0,5,PARR J
MPED-800-35H,0,5,0,0,5,3.000,0,0,0,0,5,PARR J
MPED-800-35T,2,5,0,0,7,3.285,1,0,0,0,8,PARR J
MPED-800-36D,2,3,0,0,5,3.400,1,0,0,0,6,PARR J
MPED-800-36T,3,5,0,0,8,3.375,0,0,0,0,8,PARR J
MPED-800-37D,3,3,0,0,6,3.500,0,0,0,0,6,PARR J
MPED-800-37T,1,4,0,0,5,3.200,1,0,0,0,6,PARR J
MPED-800-38D,1,6,0,0,7,3.142,0,0,0,0,7,PARR J
MPED-800-38T,2,6,0,0,8,3.250,0,0,0,0,8,PARR J
MPSY-800-35D,1,4,0,0,5,3.200,0,0,0,0,5,MCLAUGHLIN D
MPSY-800-35T,3,5,0,0,8,3.375,0,0,0,0,8,MCLAUGHLIN D
MPSY-800-36D,2,4,0,0,6,3.333,0,0,0,0,6,MCLAUGHLIN D
MPSY-800-36T,1,7,0,0,8,3.125,0,0,0,0,8,MCLAUGHLIN D
MPSY-800-37T,1,5,0,0,6,3.166,1,0,0,0,7,MCLAUGHLIN D
MPSY-800-38D,0,6,0,0,6,3.000,0,0,0,0,6,MCLAUGHLIN D
MPSY-800-38T,2,3,0,0,5,3.400,0,0,0,0,5,MCLAUGHLIN D
MRAD-800-30D,16,37,0,0,53,3.301,0,0,0,0,53,PHILIP J
MRAD-800-30H,13,16,0,0,29,3.448,4,0,0,0,33,PHILIP J
MRAD-800-30R,7,11,0,0,18,3.388,4,0,0,0,22,PHILIP J
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
MRAD-800-30T,19,24,0,0,43,3.441,1,0,0,0,44,PHILIP J
OBGY-800-35D,1,4,0,0,5,3.200,1,0,0,0,6,BROWNING A
OBGY-800-35T,2,6,0,0,8,3.250,1,0,0,0,9,BROWNING A
OBGY-800-36D,2,3,0,0,5,3.400,0,0,0,0,5,BROWNING A
OBGY-800-36T,1,5,0,0,6,3.166,0,0,0,0,6,BROWNING A
OBGY-800-37D,0,6,0,0,6,3.000,0,0,0,0,6,BROWNING A
OBGY-800-37H,1,4,0,0,5,3.200,0,0,0,0,5,BROWNING A
OBGY-800-37T,5,3,0,0,8,3.625,0,0,0,0,8,BROWNING A
OBGY-800-38D,1,5,0,0,6,3.166,0,0,0,0,6,BROWNING A
OBGY-800-38T,1,5,0,0,6,3.166,0,0,0,0,6,BROWNING A
