Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
AGCJ-105-501,36,17,0,0,0,53,3.679,0,0,0,0,0,53,WALTHER D
AGCJ-105-502,32,9,2,0,1,44,3.613,0,0,0,1,0,45,WALTHER D
AGCJ-281-500,45,25,8,2,0,80,3.412,0,0,0,1,0,81,DUNSFORD D
AGCJ-305-599,19,27,7,2,1,56,3.089,0,0,0,0,0,56,DUNSFORD D
AGCJ-305-700,1,3,1,0,0,5,3.000,0,0,0,0,0,5,DUNSFORD D
AGCJ-307-501,16,11,4,2,1,34,3.147,0,0,0,0,0,34,WAGNER S
AGCJ-307-700,5,8,1,0,0,14,3.285,0,0,0,4,0,18,TOPP K
AGCJ-308-501,14,5,1,0,0,20,3.650,0,0,0,0,0,20,REDWINE T
AGCJ-312-501,29,4,0,0,0,33,3.878,0,0,0,0,0,33,WALTHER D
AGCJ-312-700,3,2,6,0,0,11,2.727,0,0,0,1,0,12,MCGRATH P
AGCJ-313-901,5,5,5,0,0,15,3.000,0,0,0,0,0,15,LEGGETTE H
AGCJ-313-902,9,3,1,0,0,13,3.615,0,0,0,1,0,14,LEGGETTE H
AGCJ-313-903,3,5,4,0,0,12,2.916,0,0,0,1,0,13,LEGGETTE H
AGCJ-314-901,9,10,1,0,0,20,3.400,0,0,0,0,0,20,REDWINE T
AGCJ-314-902,12,5,3,0,0,20,3.450,0,0,0,0,0,20,REDWINE T
AGCJ-366-501,7,7,0,0,0,14,3.500,0,0,0,0,0,14,CHIVVIS J
AGCJ-404-599,19,0,1,0,1,21,3.714,0,0,0,2,0,23,JARVIS H
AGCJ-405-501,9,1,0,0,0,10,3.900,0,0,0,0,0,10,NORRIS S
AGCJ-405-502,8,1,0,0,0,9,3.888,0,0,0,0,0,9,NORRIS S
AGCJ-406-500,8,19,0,0,1,28,3.178,0,0,0,1,0,29,DUNSFORD D
AGCJ-408-700,6,14,1,0,0,21,3.238,0,0,0,0,0,21,WEGENER R
AGCJ-411-500,18,3,0,0,1,22,3.681,0,0,0,0,0,22,PINA M
AGCJ-413-500,8,3,2,0,0,13,3.461,0,0,0,0,0,13,HOMEYER M
AGCJ-481-500,38,2,0,0,0,40,3.950,0,0,0,0,0,40,WALTHER D
AGCJ-494-516,5,0,1,0,0,6,3.684,0,0,0,0,0,6,DUNSFORD D
AGCJ-494-556,7,1,2,0,0,10,3.594,0,0,0,0,0,10,DUNSFORD D
AGSC-302-500,1,12,2,1,0,16,2.812,0,0,0,0,0,16,MCCUBBINS A
AGSC-373-500,9,1,0,1,0,11,3.636,0,0,0,0,0,11,HANCOCK J
AGSC-383-501,8,2,2,0,0,12,3.500,0,0,0,0,0,12,HANCOCK J
AGSC-402-900,15,7,2,0,0,24,3.541,0,0,0,0,0,24,MOORE L
AGSC-405-500,16,8,0,0,0,24,3.666,0,0,0,0,0,24,MURPHY T
AGSC-425-502,6,4,2,0,0,12,3.333,0,0,0,0,0,12,MURPHY T
AGSC-436-502,10,2,0,0,0,12,3.833,0,0,0,0,0,12,MURPHY T
AGSC-481-501,10,2,0,0,0,12,3.833,0,0,0,0,0,12,MURPHY T
AGSC-484-501,8,3,1,0,0,12,3.583,0,0,0,0,0,12,MURPHY T
ALEC-201-501,51,37,6,2,2,98,3.357,0,0,0,2,0,100,MASTROGIOVANNI M
ALEC-350-500,5,7,1,0,1,14,3.071,0,0,0,1,0,15,ELLIOT J
ALEC-380-500,20,3,0,0,1,24,3.708,0,0,0,0,0,24,MURPHY T
ALEC-425-700,8,16,7,0,0,31,3.032,0,0,0,0,0,31,PATIL V
ALEC-607-699,5,6,0,0,0,11,3.454,0,0,0,0,0,11,BOYD B
ALEC-607-700,5,1,0,1,0,7,3.428,0,0,0,0,0,7,BOYD B
