Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
CEHD-603-600,12,0,0,0,0,12,4.000,0,0,0,0,0,12,GOODSON P
DEPARTMENT TOTAL:,12,0,0,0,0,12,4.000,0,0,0,0,0,12,
EDAD-601-600,3,2,0,0,0,5,3.600,0,0,0,0,1,6,PONJUAN L
EDAD-603-600,16,1,0,0,0,17,3.941,0,0,0,0,0,17,BAILEY K
EDAD-605-700,41,8,2,0,1,52,3.692,0,0,0,0,0,52,IRBY B
EDAD-605-701,10,2,0,0,0,12,3.833,0,0,0,0,0,12,HOLLEY S
EDAD-606-700,45,0,1,0,0,46,3.956,0,0,0,0,0,46,FAHRENWALD C
EDAD-608-700,42,0,0,0,0,42,4.000,4,0,0,0,0,46,BARTANEN B
EDAD-610-600,16,0,0,0,0,16,4.000,0,0,0,0,0,16,BROWN J
EDAD-611-600,10,1,0,0,0,11,3.909,0,0,0,0,0,11,MUSOBA G
EDAD-612-600,11,4,0,0,0,15,3.733,0,0,0,0,0,15,LECHUGA V
EDAD-624-700,12,0,0,0,0,12,4.000,0,0,0,0,0,12,FAHRENWALD C
EDAD-631-600,12,2,0,0,0,14,3.857,0,0,0,0,0,14,BAILEY K
EDAD-635-700,41,9,0,0,1,51,3.745,1,0,0,0,0,52,SAAVEDRA A
EDAD-638-700,12,0,0,0,0,12,4.000,0,0,0,0,0,12,WEBB-JOHNSON G
EDAD-639-601,9,0,0,0,0,9,4.000,0,0,0,0,0,9,LECHUGA V
EDAD-639-700,11,0,0,0,0,11,4.000,0,0,0,0,0,11,FAHRENWALD C
EDAD-650-600,5,0,0,0,0,5,4.000,0,0,0,0,0,5,STANLEY C
EDAD-653-601,11,0,0,0,0,11,4.000,1,0,0,0,0,12,MADSEN J
EDAD-655-600,11,0,0,0,0,11,4.000,1,0,0,0,0,12,STANLEY C
EDAD-669-600,15,0,0,0,0,15,4.000,0,0,0,0,0,15,HAYNES DAVISON C
EDAD-683-600,5,0,0,0,0,5,4.000,0,0,0,0,0,5,WOODRUFF T
EDAD-683-601,10,0,0,0,0,10,4.000,0,0,0,0,0,10,WOODRUFF T
EDAD-687-600,10,0,0,0,0,10,4.000,1,0,0,0,0,11,MADSEN J
EDAD-687-700,38,6,0,0,0,44,3.863,1,0,0,0,0,45,WEBB-JOHNSON G
EHRD-203-501,28,11,2,1,0,42,3.571,0,0,0,0,0,42,MARK C
EHRD-203-502,28,16,3,0,1,48,3.458,0,0,0,0,0,48,MARK C
EHRD-203-598,16,20,2,1,1,40,3.225,1,0,0,0,0,41,MARK C
EHRD-203-599,28,12,3,1,1,45,3.444,0,0,0,1,0,46,RICKETTS C
EHRD-210-500,36,3,1,0,1,41,3.780,0,0,0,0,0,41,COLE S
EHRD-210-597,34,7,1,1,1,44,3.636,0,0,0,0,0,44,MCNAUGHTEN D
EHRD-315-500,26,9,0,1,0,36,3.666,0,0,0,0,0,36,MARK C
EHRD-315-597,18,9,2,0,1,30,3.433,0,0,0,0,0,30,MARK C
EHRD-371-902,21,3,3,0,2,29,3.413,0,0,0,0,0,29,RAY S
EHRD-371-920,15,6,7,0,0,28,3.285,0,0,0,2,0,30,SANTOS R
EHRD-371-999,25,1,2,0,0,28,3.821,0,0,0,1,0,29,SANTOS R
EHRD-372-500,41,0,0,0,0,41,4.000,0,0,0,0,0,41,MUYIA M
EHRD-372-501,23,4,1,0,0,28,3.785,0,0,0,0,0,28,MUYIA M
EHRD-372-569,24,11,4,0,0,39,3.512,0,0,0,0,0,39,MUYIA M
EHRD-374-599,21,15,5,0,0,41,3.390,0,0,0,0,0,41,MUYIA M
EHRD-391-501,7,16,5,0,0,28,3.071,0,0,0,1,0,29,SANDLIN J
EHRD-391-502,9,15,10,1,1,36,2.833,0,0,0,0,0,36,SANDLIN J
EHRD-405-599,31,6,3,0,0,40,3.700,0,0,0,0,0,40,FERGUSON-CAMMARATA
EHRD-408-500,32,6,0,2,0,40,3.700,0,0,0,0,0,40,COLE S
EHRD-408-550,8,7,6,4,1,26,2.653,0,0,0,0,0,26,SANDLIN J
EHRD-413-500,25,0,0,0,0,25,4.000,0,0,0,0,4,29,IRELAND J
EHRD-413-501,31,1,0,0,0,32,3.968,0,0,0,0,0,32,BIAN X
EHRD-477-500,34,2,3,0,0,39,3.794,0,0,0,0,0,39,SMITH B
EHRD-477-599,28,4,2,0,1,35,3.657,0,0,0,0,0,35,SMITH B
EHRD-481-500,37,3,1,1,0,42,3.809,0,0,0,1,0,43,FOWLER R
EHRD-481-501,36,4,1,0,0,41,3.853,0,0,0,0,0,41,FOWLER R
EHRD-490-901,7,15,12,1,0,35,2.800,0,0,0,0,0,35,SANDLIN J
EHRD-490-920,18,14,3,0,1,36,3.333,0,0,0,0,0,36,BOWEN D
EHRD-601-600,9,1,0,0,0,10,3.900,0,0,0,0,0,10,WANG J
EHRD-603-700,10,4,0,0,0,14,3.714,0,0,0,0,0,14,DOOLEY L
EHRD-612-700,24,2,0,0,0,26,3.923,0,0,0,0,0,26,DOOLEY L
EHRD-613-600,22,0,0,0,0,22,4.000,0,0,0,0,0,22,SHEHANE M
EHRD-614-700,18,3,0,0,0,21,3.857,0,0,0,0,0,21,XIE L
EHRD-616-700,12,0,0,0,0,12,4.000,0,0,0,0,0,12,ROUMELL E
EHRD-618-700,19,2,2,0,1,24,3.583,0,0,0,0,0,24,DIRANI K
EHRD-619-600,10,1,1,0,0,12,3.750,0,0,0,0,0,12,WATSON N
EHRD-624-700,7,3,0,0,0,10,3.700,0,0,0,0,1,11,OPENGART R
EHRD-625-700,21,7,0,1,0,29,3.655,0,0,0,0,0,29,MORRIS L
EHRD-627-600,15,1,0,0,1,17,3.705,0,0,0,1,0,18,DIRANI K
EHRD-630-600,14,0,0,0,0,14,4.000,0,0,0,0,0,14,ALFRED M
EHRD-630-700,16,0,0,0,0,16,4.000,1,0,0,0,0,17,STEPHENS M
EHRD-636-600,15,0,0,0,0,15,4.000,0,0,0,0,0,15,WOODS C
EHRD-643-700,13,4,1,0,1,19,3.473,0,0,0,0,0,19,ROUMELL E
EHRD-651-602,11,0,0,0,0,11,4.000,0,0,0,0,0,11,HAYNES DAVISON C
TCMG-272-500,12,24,4,0,0,40,3.200,0,0,0,0,0,40,MENDOZA DIAZ N
TCMG-272-501,6,21,3,0,0,30,3.100,0,0,0,0,0,30,LI X
TCMG-274-599,57,0,0,0,0,57,4.000,0,0,0,1,0,58,WORKMAN M
TCMG-303-500,35,2,0,0,0,37,3.945,1,0,0,0,0,38,WALKER D
TCMG-308-500,7,6,2,2,0,17,3.058,0,0,0,1,0,18,MAI B
TCMG-308-598,14,16,3,3,0,36,3.138,0,0,0,0,0,36,MAI B
TCMG-316-500,20,1,1,1,0,23,3.739,4,0,0,1,0,28,WALKER D
TCMG-402-598,16,9,2,0,0,27,3.392,0,0,0,1,1,29,QUIROZ R
TCMG-402-599,11,14,3,0,0,28,3.285,0,0,0,1,0,29,QUIROZ R
TCMG-412-599,38,0,0,0,3,41,3.707,0,0,0,0,0,41,WORKMAN M
TCMG-476-500,10,22,3,0,2,37,3.027,0,0,0,1,0,38,SWEENEY D
BEFB-472-500,14,0,0,0,0,14,4.000,0,0,0,0,0,14,WALICHOWSKI M
BEFB-474-500,14,0,0,0,0,14,4.000,0,0,0,0,0,14,WALICHOWSKI M
BEFB-482-500,14,0,0,0,0,14,4.000,0,0,0,0,0,14,WALICHOWSKI M
BIED-611-700,8,6,0,0,0,14,3.571,1,0,0,0,0,15,PADRON Y
BIED-613-700,8,0,0,0,1,9,3.555,0,0,0,0,0,9,ACOSTA S
BIED-614-701,45,0,0,0,0,45,4.000,0,0,0,0,0,45,LARA-ALECIO R
BIED-619-600,8,0,0,0,0,8,4.000,0,0,0,0,0,8,ACOSTA S
BIED-620-600,7,0,0,0,0,7,4.000,0,0,0,0,0,7,RIVERA H
BIED-632-700,3,2,0,0,0,5,3.600,0,0,0,0,0,5,JIMENEZ D
BIED-632-701,40,3,0,0,0,43,3.930,2,0,0,0,0,45,JIMENEZ D
BIED-683-602,5,0,0,0,0,5,4.000,0,0,0,0,0,5,TONG F
BIED-689-700,49,0,0,0,0,49,4.000,3,0,0,0,0,52,JIMENEZ D
CPSY-602-700,24,2,0,0,0,26,3.923,0,0,0,0,0,26,MCCORMICK A
CPSY-626-600,7,2,0,0,0,9,3.777,0,0,0,0,0,9,ELLIOTT T
CPSY-631-600,5,0,0,0,0,5,4.000,0,0,0,0,0,5,BROSSART D
CPSY-635-600,8,0,0,0,0,8,4.000,0,0,0,0,0,8,ELLIOTT T
CPSY-664-600,5,0,0,0,0,5,4.000,0,0,0,0,0,5,BROSSART D
CPSY-683-700,27,0,0,0,0,27,4.000,0,0,0,0,0,27,MCCORMICK A
EDTC-602-700,16,2,1,0,0,19,3.789,0,0,0,0,0,19,PEDERSEN S
EDTC-613-700,20,1,0,0,0,21,3.952,1,0,0,0,0,22,SWEANY N
EDTC-641-700,9,0,0,0,0,9,4.000,0,0,0,0,0,9,PEDERSEN S
EDTC-645-700,17,1,1,0,0,19,3.842,0,0,0,0,0,19,SWEANY N
EDTC-655-700,6,1,0,0,0,7,3.857,0,0,0,0,0,7,SWEANY N
EPFB-210-500,13,3,3,0,0,19,3.526,0,0,0,0,0,19,MONTAGUE M
EPFB-210-501,20,13,1,1,1,36,3.388,1,0,0,0,0,37,MONTAGUE M
EPSY-320-500,20,1,0,0,0,21,3.952,0,0,0,0,0,21,JUNTUNE J
EPSY-320-700,38,7,0,0,1,46,3.760,0,0,0,2,0,48,JUNTUNE J
